word,af,as,be,bg,bn,br,cy,da,de,el,en,es,fa,fo,fr,fy,ga,gd,gl,gv,hi,hy,is,it,ku,lb,lt,lv,mk,nl,nn,oc,pl,ps,pt,ro,ru,sa,sk,sl,sq,sv,tg,uk,ur,yi
not,ni,nɔ.ɦɔɛ,nʲe,nɛ,,,dɪm,ekə,nɪçt,ðe̞,nɒt,no,næ,ˈɪʰtʃːɪ,nə,nɛt,n̠ʲiː,,ˈnʊŋ,,nə.ɦĩː,t͡ʃʰ,ˈɛhcɪ,non,,,,,,nit,²ɪçːə,,ɲɛ,,nɐ̃w̃,nu,nʲɪ,n̪ɐ́,,nɛ́,nʊk,ˈɪnˌtɛ,,ˈnɛ,nəɦĩː,nit
all,,xɔ.kɔ.lʊ,,,,,ɪˈɡiːd,alə,al,,ɔːl,ˈtodos,hæˈme,ˈat.lʊɹ,tus,,ˈɪlʲə,,,,səb,bɔˈlɔɾ,,ˈtutto,,,ˈvʲɪ.sɐs,,ˈsitɛ,ɑl,,tut,ˈfʂɨ.stɛk,,ˈto.ðu,tot,vʲesʲ,s̪ɐ́ɽ.ʋɐ,ˈfʃɛtɔk,ʋə́s,ɟʝiθ(ə),ˈalˌa,,,,ˈalə
many,bajə,,,,,,ˈɬau̯.ɛr,manɡə,ˈfiːlə,,ˈmɛni,ˈmut͡ʃos,zɪˈjɒːd,ˈmɛŋkʊɹ,bo.ku,,əˈl̪ˠɑːnˠ,ˈiməɣ,,,bɔˈhɔt̪,ʃɑt,ˈmarkʏr,,ˈɡɛlɛk,,dɐuɡ,dāūdz,ˈmnɔɡu,veːl,,,ˈvʲɛ.lɛ,ɖer,ˈmũj̃.tuʃ,mult͡sʲ,ˈmnoɡə,bɐ.ɦú,,ʋɛlìːkɔ,,,,bɐˈɦɑtɔ,,aˈsax
some,,,,,,,,noən,,,sʌm,,,,dy,,ɾˠəɪn̠ʲtʲ,,,,t̪ʰoɽaː,,,,,,,,,ʋɑt,,,ˈtrɔ.xɛ,,al.ˈɡũʃ,,nʲɪˈmnoɡə,,ˈɲi̯ɛkɔʎkɔ,,,ˈnoːˌ(ɡ)ra,,ˈkilʲka,,
few,,,,,,,əˈχədɨ̞ɡ,fɔː,ˈveːnɪç,ˈliɣos,fjuː,,kʲæm,,pø,,bʲɔɡ,,,,kʊt͡ʃʰ,kʰitʃʰ,,ˈpɔ.ko,,,,,ˈmaɫku,ˈʋɛi̯nəx,,,ˈma.wɔ,ləɡ,ˈpow.kuʃ,puˈt͡sin,nʲɪˈmnoɡʲɪj,,ˈmaːlo,màːlɔ,,foː,,ˈmɑlo,,
other,,an,ˈjinʂɨ,druk,,ˈalː,ˈaraɬ,andrə,ˈʔandəʀə,,ˈʌðə(ɹ),ˈotɾo,diːˈɡʲæɾ,,otʁ,,ˈɛlʲə,ˈelə,,,ənj,ɑjl,,ˈal.tro,,,,,,ˈɑn.dər,,,ˈin.nɨ,bəl,ˈo(w).tɾu,alt,drʊˈɡoj,,ˈdruɦiː,drùːɡi,,,,ˈinʃɪj,,
one,,ɛk,,,æk,ˈỹː.nãn,ɨːn,,aɪ̯ns,ˈe̞na,wʌn,ˈuno,jekʲ,,œ̃,,iːnˠ,ɯːn,,nɛːn,,mɛk,eitn,ˈuno,ˈjɛk,eːn,,viɛ̂ns,,eːn,,,ˈjɛ.dɛn,,ˈũ,ˈu.nu,ɐˈdʲin,ɐ́j.kɐ,ˈjeden,,ɲə,ɛt,,oˈdɪn,,
two,tvɪə̯,dui,dva,,,,daɨ̯,toː,t͡svaɪ̯,ˈði.o,tuː,dos,duː,,dø,,d̪ˠoː,,,d̪eː,,jɛɾˈku,tʰveiːr,ˈdu.e,,t͡sweː,,,,tʋeː,,,dva,dwa,ˈdojʃ,doj,dva,,ˈdva.ja,dʋáː,dy,tvoː,,ˈdʋɑ,,tsvɛj
three,,tini,,,,,triː,,dʁaɪ̯,ˈtri.a,θɹiː,tɾes,,trʊdʒɪr,tʁwɑ,,tʲɾʲiː,,,,t̪in,jɛˈɾɛkʰ,θriːr,tre,,dʀæi̯,,trîːs,,dri,,tres,tʂɨ,d̪re,ˈtɾeʃ,trej,trʲi,t̪ɽí,ˈtri,tríːjɛ,tɾɛ,treː,,trɪ,,dʁaj
four,,sa.ɹi,t͡ʂaˈtɨrɨ,,,,ˈpɛdwar,fiːrə,fiːɐ̯,ˈte.se.ra,fɔː,ˈkwatɾo,tʃæˈhɒːɾ,ˈfʊiːɹa,katʁ,,ˈcahəɾʲ,,,kʲeːə(r),,t͡ʃʰɔɾs,ˈfjouːrir,ˈkwat.tro,,ˈfɜɪ̯ɐ,kʲɛt̪ʊˈrʲɪ,tsætri,,vir,,ˈkatre,ˈt͡ʂtɛ.rɨ,t͡sa.lor,ˈkwa.tɾu,ˈpa.tru,t͡ɕɪˈtɨrʲe,t͡ɕɐ́.t̪uɽ,ˈʃtiri,ʃtìːrjɛ,ˈkatəɾ,ˈfyːˌra,,t͡ʃoˈtɪrɪ̞,,fiʀ
five,,pãs,,,,ˈpɛmp,pɨ̞mp,,fʏnf,ˈpe̞(n)de̞,faɪv,ˈθinko,pʰænd͡ʒ,fɪmː,sɛ̃k,,kuːɟ,koːɡ̊ʲ,,kwɛɡ,pɑ̃ːt͡ʃ,hiŋɡ,fɪmː,ˈt͡ʃin.kwe,,ˈfenef,,pìɛtsi,,vɛi̯f,,siŋk,pʲɛɲt͡ɕ,pinˈdzə,ˈsĩ.ku,t͡ʃint͡ʃʲ,pʲætʲ,pɐ́ɲ.t͡ɕɐn̪,ˈpɛc,péːt,pɛs(ə),fɛm,,ˈpjɑtʲ,pãtʃ,fɪnf
big,,daŋɔɹ,,,,,,,ɡʁoːs,,bɪɡ,maˈɟ͡ʝoɾ,,,ɡʁɑ̃,,,,,,,mɛt͡s,,ˈɡran.de,,,,,ˈɡɔlɛm,,,,dɔˈrɔ.swɨ,ɣaʈ,mɐjˈɔɾ,,bɐlʲˈʂoj,,,,,ˈvɵkˌsɛn,,ʋeˈlɪkei̯,,
long,fɛr,,ˈdou̯ɣʲi,ˈdɤlək,,,hiːr,lanɡ,laŋ,,ˈlɒŋ,ˈlarɡo,,ˈlɛŋkʊɹ,lɔ̃,,ˈfˠɑd̪ˠə,fad̪̊ə,,,,jɛɾˈkɑɾ,ˈlaŋkʏr,ˈlunɡo,ˈdɯɾeːʒ,laːŋ,,,,lɑŋ,,,ˈdwu.ɡʲi,uʐd̪,ˈlõ.ɡu,luŋɡ,ˈdlʲinːɨj,,ˈdl̩ɦiː,dɔ́ːʋk,,lɔŋ,,ˈdɔu̯ɦei̯,,laŋ(ɡ)
wide,,bɔ.ɦɔl,ʂɨˈrokʲi,ʃiˈrɔk,,,ˈɬədan,,bʀaɪ̯t,,waɪd,ˈant͡ʃo,,ˈpɹaijʊɹ,laʁʒ,,ˈl̠ʲahənˠ,,,,t͡ʃɔː.ɽɑː,lɑjn,ˈpreiːðʏr,ˈlarɡo,,bʀeːt,,plats,,,,,ʂɛˈrɔ.kʲi,,ˈlaɾ.ɡu,larɡ,ʂɨˈrokʲɪj,pr̩.t̪ʰú,,ʃirɔ́k,ˈɟɛ.ɾə,viːd,,ʃeˈrɔkei̯,,
thick,,,ˈtou̯stɨ,dɛˈbɛl,,,teːu̯,tyk,dɪk,,θɪk,ˈɡɾweso,,t͡ʃʰʏʰkːʊɹ,e.pɛ,,tʲuː,tʰʲu,,,,hɑst,ˈθjɛhtʏr,ˈspes.so,,,,,,dɪk,çʊkː,,ˈɡru.bɨ,ɖaˈbəl,iʃ.ˈpe.su,ɡros,ˈtolstɨj,,ˈtɫ̩stiː,dɛ̀ːbɛʋ,,ɕɔk,,,,
