word,af,as,be,bg,bn,br,cy,da,de,el,en,es,fa,fo,fr,fy,ga,gd,gl,gv,hi,hy,is,it,ku,lb,lt,lv,mk,nl,nn,oc,pl,ps,pt,ro,ru,sa,sk,sl,sq,sv,tg,uk,ur,yi
forest,bɔs,ɦa.bi,lʲes,ɡoˈra,,ˈkwɑːt,ˈkɔɨ̯dwɪɡ,,valt,ˈðasɔs,ˈfɒɹɪst,ˈboske,beːˈʃæ,,fɔ.ʁɛ,,kiːlʲ,ˈkʰɤʎə,ˈbɔske,kiːlʲ,,ɑnˈtɑr,ˈskouːʏr,,,beʃ,ˈmɪʂ.kɐs,,ˈʃuma,ʋɑu̯t,,,las,d͡zəŋɡəl,floˈɾɛs.ta,pə.ˈdu.ɾe,lʲes,ʋɐ́.n̪ɐ,ˈlɛs,ɡɔ́st,pyɫ,skuːɡ,beʃæ,,,
stick,,,,ˈprɤtʃkə,,,,kɛp,ʃtaːp,,stɪk,,t͡ʃoːb,,bɑ.tɔ̃,,ˈbˠat̪ˠə,,,,t͡ʃʰə.ɽiː,pʰɑjt,ˈstaːvʏr,basˈtone,,,lɐzˈdɐ,,stap,,,,kʲij,,ˈpaʊ,,ˈpalkə,,,,,ɕɛp,tʃɵb,,,
fruit,,,,plɔt,pʰɔl,fʁwɛs,fruːɨ̯θ,frɔɡt,fʁʊxt,,fɹuːt,ˈfɾuta,miːve,,fʁɥi,,ˈt̪ˠɔɾˠə,,ˈfɾojta̝,meːs,pʰəl,pəˈtuʁ,ˈauːvœxstʏr,ˈfru.tːo,,,ˈvai̯sʲʊs,âwɡlis,,vrʏxt,,,ˈɔ.vɔt͡s,,ˈfɾu.ta,,plot,pʰɐ́.l̪ɐ,ˈɔvɔt͡si̯ɛ,sáːdɛʃ,,ˈfrɵkt,mevæ,,pʰəl,fʁʊχt
seed,,,naˈsʲenʲːe,ˈsɛmɛ,,,haːd,sɛːd,ˈzaːmən,ˈspo̞ro̞s,siːd,,t̪ʰoχm,fɹɛaː,sə.mɑ̃s,,ʃiːl,,seˈmɛnte̝,,,sɛɾm,fraiː,ˈseme,ˈtov,zoːm,ˈsʲeːklɐ,,,zaːt,frøː,,naˈɕɛ.ɲɛ,,sɨˈmẽtɨ,səˈmɨntsə,ˈsʲemʲə,bíː.d͡ʑɐ,ˈsɛmɛnɔ,sèːmɛ,ˈfaːɾ,,tuxm,ˈsʲimjɐ,,ˈzɔɪ̯mn̩
leaf,blɑːr,,lʲist,,,ˈde.ljɛ̃n,ˈdei̯lɛn,blad,blat,ˈfilo̞,liːf,ˈoxa,bæɾɡ,blɛaː,fœj,,ˈdʲɪloːɡ,,ˈfo.ʎɐ,ˈd̪olʲaɡ,,tɛˈɾɛv,løyːv,ˈfɔʎʎa,,,,,,blɑt,,ˈfɥɛʎo,lʲiɕt͡ɕ,pɑˈɳa,ˈfo.ʎɐ,ˈfrun.zə,lʲist,pɐɽ.ɳɐ́,ˈlist,líːst,,,,,pətːiː,blat
root,,xia,ˈkoranʲ,ˈkɔrɛn,,,ɡwrai̯ð,roːd,ˈvʊʁt͡sl̩,,ɹuːt,raˈiθ,ɾeːʃæ,ɹɔuːt,ʁa.sin,,fʲɾʲeːvˠ,,raˈiθ,,d͡ʒəɽ,ɑɾˈmɑt,rouːt,raˈditʃe,ˈɾɛh,ˈvuə̯t͡səl,ʃɐkʲˈn̪ʲɪs̪,,,ˈʋɔr.təl,ruːt,rraˈis,ˈkɔ.ʐɛɲ,,ʁa.ˈis,,ˈkorʲɪnʲ,,ˈkɔrɛɲ,kɔrɛnìːna,rəːɲ,,reʃæ,ˈkɔrʲinʲ,d͡ʒəɽ,
bark,bɑs,ba.kɔ.li,kaˈra,koˈra,,,r̥ɪsɡl,bark,ˈbɔʁkə,,bɑːk,korˈteθa,,ˈpœɹ̥kʊɹ,e.kɔʁs,,ɾˠuːsˠk,,,ruːs,tʃʰaːl,kɛˈʁɛv,ˈpœr̥kʏr,korˈtettʃa,,ʃuəl,ʒʲɪəˈvʲěː,,,sxɔrs,,,ˈkɔ.ra,,,,kɐˈra,ʋɐl̪.kɐ́,ˈku̯o.ra,lùːbjɛ,,,pɵːst,,cʰal,
flower,,pʰul,,t͡svʲat,pʰul,blœ̃w,ˈblɔdɨ̞n,,ˈblyːtə,ˈanθɔs,ˈflaʊ.ə,ˈfloɾ,ɡʊl,ˈblɔuma,flœʁ,blom,bˠl̪ˠɑː,,,,pʰuːl,t͡sɑˈʁik,plouːm,,,blum,,,,blum,bluːm,,kfʲat,ɡwəl,ˈfloʁ,flo̯are,t͡svʲɪˈtok,púʂ.pɐ,ˈkvɛt,t͡sʋéːt,ˈlulɛ,blʊ.ma,ɡul,ˈkʋʲitkɐ,pʰul,blʊm
grass,,ɡʱãʱ,,trɛˈva,,ˈɡɛwt,ˈɡlaswɛɬd,,ɡʁaːs,,ɡɹɑːs,ˈpas.to,sæbze,kɹɛaːs,ɛʁb,ɡɛːs,fʲeːɾˠ,ˈfiəɾ,ˈɛɾβa̝,feːə,,χɔt,kraːs,ˈɛrba,,ɡʀaːs,ʒoˈlʲeː,,,ɣrɑs,ɡrɑːs,ˈɛrβo,ˈtra.va,,ˈɡɾɐ̃mɐ,ˈjar.bə,trɐˈva,t̪ŕ̩.ɳɐ,ˈtraːva,tràːʋa,baɾ,,sæbzæ,,,ɡʁɔz
rope,,zɔ.ɹi,vʲaˈrou̯ka,vəˈʒɛ,,kɔrdɛn,r̥aːf,tɔv,zaɪ̯l,,ɹəʊp,ˈkwerda,,,kɔʁd,,tʲiad̪ˠ,,,,ɖoː.ɾiː,pɑˈɾɑn,ˈreiːpɪ,ˈkɔrda,,zeːl,,àwkla,ˈjaʒɛ,,,,ˈlʲi.na,,ˈkɔɾ.dɐ,,vʲɪˈrʲɵfkə,,ˈɫanɔ,,liˈtaɾ,,ærʁæmtʃin,,,
skin,,sal,ˈskura,ˈkɔʒə,,ˈkʁoːχɛn,kroːɨ̯n,,haʊt,ˈðɛɾma,skɪn,,poːst,,po,,ˈkɾˠacən̪ˠ,,,ˈkraːɣən,t̪ʋə.t͡ʃɑː,mɑʃk,huːð,ˈpɛlle,ˈt͡ʃɛɾm,hæu̯t,ˈôːd̪ɐ,âːda,,ɦœy̯t,,pɛl,ˈsku.ra,,ˈpɛ.lɨ,ˈpjele,ˈkoʐə,,ˈkɔʒa,kòːʒa,ləkuɹə,hʉːd,pɵːst,,t̪ʋətʃaː,heɪt
meat,fləis,maŋxɔ,ˈmʲasa,mɛˈsɔ,maŋʃo,,kiːɡ,,flaɪ̯ʃ,ˈkre̞as,miːt,ˈkarne,ɡoːʃt,t͡ʃʰøːʰt,vjɑ̃d,flai̯s,fʲoːlʲ,,,feːlʲ,ɡoːʃt̪,mis,kʰjœːt,ˈkar.ne,,fleːʃ,,ɡaʎa,,vleːs,çøːt,,ˈmʲɛ̃.sɔ,ɣwaˈ.ʂa,ˈkaɻ.ne,ˈkarne,ˈmʲasə,mɑ̃ː.s̪ɐ́,ˈmæso,mɛsóː,miʃ,ɕœtː,ɡɵːʃt,ˈmjɑsɔ,,flɛɪʃ
blood,blut,,,krɤf,,ˈɡwaːt,ˈɡwaːi̯d,bloːd,bluːt,ˈema,blʌd,ˈsanɡɾe,xuːn,plɔuːw,sɑ̃,bluə̯t,fˠɪlʲ,,,folʲ,kʰuːn,ɑɾˈjun,plouːð,ˈsan.ɡwe,,blut,krɒ͜úˑjæs,asinis,kr̩f,blut,bluː,,krɛf,,ˈsɐ̃.ɡɨ,ˈsɨn.d͡ʒe,krofʲ,ɐ́.s̪r̩d͡ʑ,ˈkr̩w,kríː,ɟ͡ʝak,,xun,ˈkrɔu̯,,blʊt
bone,,,kosʲt͡sʲ,kɔst,,ˈas.kɔrn,ˈasɡʊrn,knɔɡlə,ˈknɔχn,o̞ˈsto̞,boʊn,ˈweso,ostoxɒn,bain,ɔs,,knɑːvʲ,,ˈɔso̝,kreːw,ɦəɖ.ɖiː,vɔsˈkɔɾ,ˈpeiːn,ˈɔsso,,ʃɑŋk,ˈkä̂ˑʊ̯ɫɐs̪,,,beːn,bæɪn,ˈɔs,kɔɕt͡ɕ,,ˈo.su,os,kosʲtʲ,ɐ́s̪.t̪ʰi,ˈkɔsc,kóːst,,ˈbeːn,ustuxɔːn,,,
fat,,xɔ.kɔt,,,tʃorbi,,ˈbrastɛr,fet,fɛt,ˈli.pos,fæt,ˈɡɾasa,tʃærbiː,ˈfiːtɪ,ɡʁɛs,,sˠail̠ʲ,,,,,t͡ʃɑɾp,ˈfɪːta,ˈɡras.so,,,rʲɪəbɐˈlɐɪ̯ˑ,,,vɛt,,,twuʂt͡ʂ,,ɡoɹ.ˈdu.ɾa,,ʐɨr,,tuk,,,fɛt,,,tʃərbiː,
egg,ˈəiər,kɔ.ni,ˈjajka,jəiˈt͡sɛ,ɖim,,uːɨ̯,ɛːɡ,aɪ̯,ta.oˈa,ɛɡ,ˈwebo,t̪ʰoχm,ɛkː,œf,aːj,uː,u,ˈɔ.βʊ,au,ən.ɖɑː,d͡zu,ˈɛkː,ˈwɔ.vo,,e,,uōla,ˈjajt͡sɛ,ɛi̯,ɛɡː,,ˈja.jɔ,həɡəi,ˈo.vu,ow,(j)ɪjˈt͡so,,ˈvajt͡sɛ,jàːjt͡sɛ,,ɛɡː,tuxm,,,
horn,,xiŋ,,,,,kɔrn,,hɔrn,,hɔːn,ˈkwerno,ʃɒx,hɔtn,kɔʁn,,əiɾˠk,,ˈkɔɾno̝,,siːŋɡ,jɛʁd͡ʒˈjuɾ,hɔrtn,ˈkɔr.no,,,ˈrä̌ːɡɐs̪,ɾaks,,ɦoːrn,hʊrn,,ruk,,ˈʃi.fɾɨ,korn,rok,ɕr̩ŋ.ɡɐ́,ˈrɔx,róːk,,,ʃɔːx,,sĩɡ,
tail,,nɛz,xvost,,,,ˈkənfɔn,haːlə,ʃvant͡s,,teɪl,ˈkola,dæm,,kø,,ˈɾˠɨbˠəl̪ˠ,,ˈraβo̝,,pũːt͡ʃʰ,pɔt͡ʃʰ,ˈhaːlɪ,ˈkoda,,,,astɛ,ˈɔpaʃka,staːrt,,,ˈɔ.ɡɔn,,ˈʁa.bu,ˈkʷadə,xvost,,ˈxvɔst,rɛ́p,,svans,dum,,,
feather,,pakʰi,,,,,plɨː,fjeːr,ˈfeːdəʁ,,ˈfɛð.ə(ɹ),ˈpluma,por,ˈfjøːvʊɹ,plym,,ˈclʲɛtʲə,,ˈplumɐ,,,pʰɛˈtuɾ,fjœːðʏr,ˈpjuma,,ˈfie̯deʀ,,spālva,,veːr,fjøːr,,ˈpʲu.rɔ,,,fulɡ,pʲɪˈro,pɐɽ.ɳɐ́,,pɛróː,,,pær,peˈrɔ,,
hair,,suli,ˈvoɫas,koˈsa,tʃul,,ɡwaːɬd,,haːɐ̯,,hɛə,kaˈbeʎo,mo,hɔaːɹ,ʃə.vø,,ɡɾˠuəɟ,,kaˈβ̞elʊ,,bɑːl,,hauːr,,,hoː(e)ʀ,,mats,ˈkɔsa,ɦaːr,hoːr,,ˈvwɔ.sɨ,,kɐ.ˈβe.lu,,ˈvoləsɨ,kɐ́j.ɕɐ,,láːs,ˈcimɛ,hoːr,,wɔˈlɔsʲːɐ,bɒːl,hɔʁ
head,,muɹ,ɣaɫaˈva,ɡləˈva,mat̪ʰa,pɛ̃n,pɛn,hoːvəd,kɔpf,ce̞ˈfali,hɛd,kaˈbeθa,sæɾ,hœtː,tɛt,ˈholə,caun̪ˠ,,ˈtɛsta̝,caun,sɪɾ,ɡəˈluχ,hœːvʏθ,ˈtɛs.ta,,,,ɡâlva,,ɦoːft,,kap,ˈɡwɔ.va,,kɐ.ˈβe.sɐ,kap,ɡəlɐˈva,ɕí.ɽɐs̪,ɦɫava,ɡlàːʋa,kɔkə,ˈhʉːˌvɵd,sær,ɦɔlɔˈu̯ɑ,,
ear,ʊə̯r,kan,ˈvuxa,uˈxɔ,,skwaʁn,klɨːst,øːrə,oːr,aˈfti,ɪə̯,oˈido,ɡoːʃ,ˈɔira,ɔ.ʁɛj,,klˠuəsˠ,,,kleːʃ,kɑːn,ɑˈkɑnd͡ʒ,ˈeira,ɔˈrekkjo,,ˈəʊ̯ɐ,ɐʊˈsʲɪs,àws,ˈuvɔ,oːr,,awˈɾeʎo,ˈu.xɔ,ɣwaɡ,o(w).ˈvi.ðu,uˈre.ke,ˈuxə,,ˈu.xɔ,uxóː,,øːra,ɡɵʃ,ˈwuxɔ,,ˈɔɪ.əʁ
eye,oəχ,sɔku,ˈvoka,oˈkɔ,tʃokʰ,ˈla.ɡat,ˈɬəɡad,øjə,ˈaʊ̯ɡə,ˈmati,aɪ,ˈoxo,tʃʰæʃm,ˈɛiːja,œj,ɪə̯x,sˠuːlʲ,s̪uːl,ˈoʎʊ,suːlʲ,ɑ̃ːkʰ,ɑt͡ʃʰkʰ,ˈøyːɣa,ˈɔk.kjo,,a,ɐˈkʲɪs,ats,ˈɔkɔ,oːx,²æʉɡə,,ˈɔ.kɔ,st̪ərˈɡa,ˈo.ʎu,okʲ,ɡlas,,ˈɔkɔ,ɔkóː,sɒj,ˈøːˌɡa,tʃaʃm,ˈɔkɔ,ɑ̃ŋkʰ,
nose,nɪøs,nak,,nɔs,,ˈfriː,truːɨ̯n,ˈnɛːsə,ˈnaːzə,ˈmiti,nəʊz,naˈɾiθ,,nøːs,ne,,sˠɾˠoːnˠ,s̪t̪ɾɔːn,naˈɾiθ,st̪rudʲnʲ,naːk,kʰitʰ,nɛːv,ˈna.zo,,nuəs,,,,nøːs,,,nɔs,,nɐˈɾiʃ,,nos,,,nóːs,,ˈnɛːsˌa,biˈniː,,,
mouth,mɔnt,mukʰ,rot,usˈta,mukʰ,ˈɡɵ̃ː.nu,keːɡ,mon,mʊnt,,maʊθ,ˈboka,d̪æˈhɒːn,,buʃ,ˈmulə,bʲia̯l̪ˠ,piaɫ̪,,ˈbiəl,mũːʱ,bɛˈɾɑn,ˈmʏnːʏr,ˈbokka,ˈdɛv,mont,bʊrˈnɐ,mutɛ,,mɔnt,,buko,ˈu.sta,xwlə,ˈbo.kɐ,,rot,ɑ́ːs̪,ˈuːsta,ùːsta,ˈɡɔjə,mɵn,dæˈhɔːn,ˈrɔt,,
tooth,,dãt,,zɤp,d̪ɑt̪,,dant,tan,t͡saːn,ˈðɔndi,tuːθ,ˈdjente,dændɒːn,tʰɔnː,dɑ̃,,ˈfʲiəkəlʲ,,,,d̪ɑ̃ːt̪,ɑˈtɑm,tʰœnː,ˈdɛnte,,,,zùops,,tɑnt,tɑnː,,zɔmp,ɣɑʂ,ˈdẽ.tɨ,ˈdinte,zup,d̪ɐ́n̪.t̪ɐ,ˈzup,zóːp,,ˈtand,dændɔːn,,d̪ãt̪,tsɔn
tongue,,zi.bʱa,jaˈzɨk,ɛˈzik,,ˈtɛwt,ˈtavɔd,tɔnɡə,ˈtsʊŋə,ˈɣlosa,tʌŋ,ˈlenɡwa,zæˈbɒ(ː)n,ˈtʰʊŋka,lɑ̃ɡ,,ˈtʲaŋə,tʰʲɛŋɡə,,ˈtʃɛnʲə,dʒiːbʱ,lɛˈzu,ˈtʰuŋka,ˈliŋ.ɡwa,ˈzɯmɑːn,t͡soŋ,,mɛ̀ːlɛ,ˈjazik,tɔŋ,,ˈleŋɡo,ˈjɛ̃.zɨk,ˈʒəbə,ˈlĩ.ɡwɐ,ˈlimbə,(j)ɪˈzɨk,d͡ʑiɦ.ʋɑ́ː,ˈja.zik,jɛ̀ːzik,ˈɟuhə,ˈtɵŋˌa,zæˈbɔːn,jɐˈzɪk,dʒiːbʱ,tsʊŋ(ɡ)
fingernail,,,paˈznoɣat͡sʲ,ˈnɔkət,nɔːkʰ,,,najl,ˈfɪŋɐnaːɡl̩,ˈniçi,ˈfɪŋɡɚˌneɪl,ˈu.ɲa,nɒːxon,,ɔ̃ɡl,,,,,,,jɛˈʁunɡ,nœkl,ˈun.ɡja,,ˈfaŋeʀˌnoːl,,,nɔkt,,,,pazˈnɔ.kʲɛt͡ɕ,,ˈu.ɲɐ,,ˈnoɡətʲ,n̪ɐ.kʰɐ́,ˈɲɛxt,nóːxt,,,nɔːxun,,,
foot,,,naˈɣa,stəˈpalo,,,troːɨ̯d,foːd,fuːs,ˈpoði,fʊt,pje,pɒː,ˈfɔuːtʊɹ,pje,,kɔsˠ,kʰas,ˈpɛ,,pɛːɾ,vɔtkʰ,,ˈpjɛ.de,ˈpiː,fou̯s,,,,vut,fuːt,pɛ,ˈstɔ.pa,,ˈpɛ,piˈt͡ʃjor,nɐˈɡa,pɐ́d̪,ˈnɔɦa,stɔpàːlɔ,kəm.bə,fuːt,pɔːj,,,fʊs
leg,,bʱɔ.ɹi,naˈɣa,krak,pa,ˈɡɑːr,koːɨ̯s,beːn,baɪ̯n,ˈpoði,lɛɡ,ˈpjerna,pɒː,,ʒɑ̃b,skoŋk,kɔsˠ,kʰas,,,,vɔtkʰ,ˈfouːtʏr,ˈɡamba,,,,kāːja,,beːn,bæɪn,ˈkambo,ˈnɔ.ɡa,,ˈpɛɾ.nɐ,,nɐˈɡa,,ˈnɔɦa,nɔ̀ːɡa,kəm.bə,ˈbeːn,,,,fʊs
knee,,atʰu,kaˈlʲena,koˈlʲano,ˈɦaʈu,ˈɡliːn,,,kniː,ˈɣɔnatɔ,niː,roˈdiʎa,zɒːˈnuː,knɛaː,ʒə.nu,,ɡl̪ˠuːnʲ,,ʃeˈonʎo̝,ɡlʲuːnʲ,ɡʱʊʈ.nɑː,t͡suŋk,n̥jɛː,dʒiˈnɔkkjo,,knɜɪ̯,ˈkʲæ̌ːlʲɪs,tsɛlis,,kni,,(d)ʒeˈnul,kɔˈla.nɔ,,ʒu.ˈe.ʎu,dʒeˈnunkʲ,kɐˈlʲenə,d͡ʑɑ́ː.n̪u,ˈkɔlɛnɔ,kɔlèːnɔ,,,zɔːnu,,,knɪ
hand,,,,rəˈka,ɦat̪,ˈdɔʁn,ɬaːu̯,hɔnˀ,hant,ˈçeɾi,hænd,ˈmano,dæst,hɔnt,mɛ̃,,l̪ˠɑːvˠ,ɫ̪ãːv,,,ɦaːt̪ʰ,d͡zɛrkʰ,hœnt,ˈmaːno,,hant,ɾɐŋˈkɐ,ɾùoka,,ɦɑnt,hɑnd,ma,ˈrɛŋ.ka,lɑs,ˈmɐ̃w̃,ˈmɨ.nə,rʊˈka,ɦɐ́s̪.t̪ɐ,ˈruka,rɔ̀ːka,dɔɹ,hand,,rʊˈkɑ,ɦat̪ʰ,hant
wing,,dɛu.ka,krɨˈɫo,kriˈlɔ,,ˈas.kɛl,ˈadai̯n,,ˈflyːɡl̩,,wɪŋ,ˈala,bɒːl,ˈvɔŋkʊɹ,ɛl,,ˈʃcɪhɑːn,,aː,ˈskiːən,,tʰɛv,ˈvaiŋkʏr,ˈala,,,,spàːɾns,,,,,ˈskʂɨ.dwɔ,,ˈa.zɐ,,krɨˈlo,pɐ́k.ʂɐ,ˈkriːdɫɔ,krìːlɔ,kɾa,ˈvɪŋˌɛ,bɔːl,,,
belly,,pɛt,,koˈrɛm,,ˈkofː,,,baʊ̯x,,bɛli,bäˈriɣä,ʃeˈkʲæm,,vɑ̃tʁ,,ˈbˠɔlˠəɡ,,banˈduʎo̝,,peːʈ,pʰɔɾ,ˈmaːjɪ,ˈpan.t͡ʃa,,,,,mɛf,bœy̯k,,,bʐux,nas,bɐ.ˈʁi.ɡɐ,,ʐɨˈvot,u.d̪ɐ́.ɽɐ,ˈbruxɔ,trèːbux,,²mɑːɡɛ,ʃikæm,,,bɔɪχ
guts,,,,,,,,,ˈaɪ̯nɡəvaɪ̯də,,ɡʌts,,,,ɑ̃t.ʁaj,,ˈɪn̠ʲiː,,,,,pʰoɾoˈtikʰ,,,,,,,ˈt͡srɛva,,,,,,,,kʲɪʂˈkʲi,,,,,,,,,
neck,,di.ŋi,,ˈʃijə,,ˈɡu.zuk,ɡʊðv,hals,hals,,nɛk,ˈkweʎo,ɡærdæn,,ku,,ˈmˠɪnɑːl,,pesˈkoθo̝,ˈmonal,,viz,hauls,ˈkɔl.lo,,,ˈkä̌ːklɐs̪,,vrat,,hɑls,,ˈʂɨ.ja,,pɨʃ.ˈko.su,ɡɨt,ˈʂɛjə,ɡɽiː.ʋɑ́ː,kr̩k,ʋráːt,ˈcafə,,ɡærdæn,ˈʃɪjɐ,,haldz
back,rœχ,pi.tʰi,ˈsʲpʲina,ɡrɤp,,ˈkɛjn,,,ˈʁʏkn̩,,bæk,esˈpal.da,pʰoʃt̪ʰ,,do,rɛːx,d̪ˠɾˠiːmʲ,kʰuːɫ̪,ˈlombo̝,d̪riːm,piːʈʰ,mɛt͡ʃʰkʰ,paːk,ˈskjɛna,,ʀek,ˈn̪ʊɡɐrɐ,,ɡr̩p,rʏx,,,ˈplɛ.t͡sɨ,,ˈkɔs.tas,,spʲɪˈna,,ˈxr̩baːt,xə̀rbət,ʃpiːn,rʏɡ,puʃt,,,
breast,bɔ(ː)rs,,,ɡərˈda,,,brɔn,brøst,bʁʊst,ˈstiθos,bɹɛst,ˈpet͡ʃo,pʰesˈt̪ʰɒːn,brœst,sɛ̃,,,kʰʲiəx,,,,kuɾt͡skʰ,prjoust,ˈse.no,,,,,ˈɡrada,bɔrst,,,pʲɛrɕ,,ˈsɐj.u,pjept,ɡrutʲ,,ˈpr̩sɲiːk,,,,,,pɪst̪an,
heart,,dil,ˈsert͡sa,sərˈt͡sɛ,,ˈkalɔ̃n,ˈkalɔn,jɛrtə,hɛʁts,karˈðʝa,hɑːt,koɾaˈθon,del,ˈjaɹ̥ʈa,kœʁ,hɛt,kɾˠiː,,,kriː,d̪ɪl,siɾt,ˈçar̥ta,ˈkwɔːre,,,ʃʲɪrʲˈdʲɪs,sîɾts,ˈsr̩t͡sɛ,ɦɑrt,²jɑrtə,kɔr,ˈsɛr.t͡sɛ,zɻə,ko.ɾa.ˈsɐ̃w̃,ˈinimə,ˈsʲert͡sə,ɦŕ̩.d̪ɐ.jɐ,sr̩tsɛ,sərt͡séː,ˈzɛməɾ,ˈjɛrˌta,dil,ˈsɛrt͡se,,
liver,,,ˈpʲet͡ʂanʲ,ˈtʃɛrɛn drɔp,,ˈɑːvy,ˈavɨ̞,leːvər,ˈleːbɐ,,lɪvə(ɹ),ˈiɡado,dʒeɡæɾ,ˈliːvʊɹ,fwa,,eː,,,eːn,,ljɑɾtʰ,ˈlɪːvʏr,ˈfeɡato,,ˈliəvɐ,,aknas,ˈd͡ʒiɡɛr,ˈleːvər,ˈleːʋɛr,,vɔnˈtrɔ.ba,,ˈfi.ɡɐ.du,,ˈpʲet͡ɕɪnʲ,jɐ́.kr̩t̪,ˈpɛtʃɛɲ,jèːtra,,,dʒiɡær,,,
drink,,pa.ni,,ˈpijə,,ˈe.vɑ̃,ˈəvɛd,drekə,ˈtʁɪŋkən,ˈpi.no,dɹɪŋk,beˈβeɾ,nuːʃiːˈdæn,ˈtɾɛʰkːa,bwaʁ,ˈdrɪŋkə,oːl̪ˠ,ɔːɫ̪ ,,,piːn̪ɑː,χəˈmɛl,ˈtrɛhka,ˈbe.re,ˈvɛxwɑːɾɯn,ˈdʀeŋken,ˈɡʲɛrʲ.tʲɪ,dzɛɾ̂t,ˈpi.ɛ,ˈdrɪŋkə(n),,ˈbewre,pʲit͡ɕ,,bɨ.ˈβeɾ,be̯a,pʲitʲ,pí.bɐ.t̪i,ˈpic,pìːti,pi,drɪkːa,nɵʃidæn,,,
eat,,,,,,,,spiːsə,ˈʔɛsn̩,ˈtro̞o̞,iːt,koˈmeɾ,,,mɑ̃.ʒe,,ɪ,,,,,uˈtɛl,,manˈdʒa.re,ˈxwɑːɾɯn,ˈie̯sen,,,ˈjadɛ,,,,,,ko.ˈme(ʁ),luˈa,jesʲtʲ,,,,,ˈɛːˌta,,,,
bite,,,kuˈsat͡sʲ,ot̪ˈxapvəm,,,knɔj,biːdə,ˈbaɪ̯sən,ðaŋˈɡono,baɪt,,,,mɔʁdʁ,,,,,,,kəˈtsɛl,ˈpiːta,ˈmɔr.de.re,,ˈbæi̯sen,,kuôst,ɔdˈɡrizuva,ˈbɛi̯tə(n),,,,,muɾˈðeɾ,muʃˈka,ɐtˈkusɨvətʲ,,,uɡrìːzniti,kafˈʃɔj,,ɡæzidæn,,,
suck,,,smaktat͡sʲ,,tʃoʃɑ,,,,ˈzaʊ̯ɡən,,sʌk,t͡ʃuˈpaɾ,mækʲiːˈdæn,,sy.se,,sˠuːɟ,ˈtʲo.al,t͡ʃuˈt͡ʃaɾ,,,t͡səˈt͡sɛl,ˈsjuːa,,ˈmeːʒiːn,,ˈtʲʃʲʊlʲpʲtʲɪ,sùːkt,ˈt͡sit͡sa,ˈzœy̯.ɣə(n),,,ssat͡ɕ,,,ˈsu.d͡ʒe,sɐˈsatʲ,,,səsàːti,θiθ,,mækidæn,,,
spit,,tʰu pɛ.lʊa,,,,,,spøtɘ,ˈʃpʊkŋ̩,ˈfti.nɔ,spɪt,eskuˈpiɾ,,,kʁa.ʃe,,,,kusˈpiɾ,,t̪ʰuːk.nɑː,tʰəˈkʰɛl,ˈr̥aiːca,spuˈtare,,,,spʎāwt,ˈpɫuka,,,,plut͡ɕ,,kuʃ.ˈpiɾ,,plʲɪˈvatʲ,,ˈpʎuc,,,,,,,
vomit,,bɔ.mi kɔ.ɹa,vanʲitaˈvat͡sʲ,,,,,,ˌyːbɐˈɡeːbən,,ˈvɒmɪt,,,,vɔ.miʁ,,ˈaʃɪɟ,,,,,,ˈaiːla,vo.miˈta.re,,ˈkɑtsən,,,ˈpɔvraca,,,,vɨ.mʲɔˈtɔ.vat͡ɕ,,vu.mi.ˈtaɾ,,blʲɪˈvatʲ,,,,,,,,,
blow,,,,,,,ˈχwəθɨ̞,blɛːsə,ˈblaːzn̩,,bləʊ,,,,su.fle,,ʃeːdʲ,,,,,pʰəˈt͡ʃʰɛl,,sofˈfjare,,,ˈpǔːsʲtʲɪ,,ˈduva,ˈblaːzə(n),,,ˈdmu.xat͡ɕ,,suˈpɾaɾ,,dutʲ,,,pìːxati,,,,,,
breathe,,,,,,,aˈnadlɨ,ɔnə,ˈaːtmən,a.naˈpne.o,bɹiːð,respiˈɾaɾ,,,ʁɛs.pi.ʁe,,,,,,,ʃənˈt͡ʃʰɛl,ˈanta,respiˈrare,,ˈoːtmən,,,,ˈaːdəmə(n),,,ɔdˈdɨ.xat͡ɕ,,ʁɨʃ.pi.ˈɾaɾ,,dɨˈʂatʲ,,ˈdiːxac,dìːxati,,,,,,
laugh,ɫɐχ,ɦɔɦa,,,,,,leː,ˈlaχn̩,,laːf,reˈiɾ,xænd̪iːˈd̪æn,,ʁiʁ,ˈlai̯tsjə,ɡɑːɾʲ,,,,ɦə̃s.nɑː,t͡sit͡sɑˈʁɛl,ˈl̥aiːja,ˈri.de.re,ˈkɛniːn,ˈlaːχən,,,sɛ ˈsmɛ.ɛ,ˈlɑxə(n),,,ɕmʲat͡ɕ,,ˈʁiɾ,,smʲɪˈjat͡sːə,,ˈsmi̯ac sa,smɛjàːti,cɛʃ,,xændidæn,,,
