word,ka,vro,xmf,sv,lzz,de,et,fi,en,da,sva
eat,tʃʼämä,ˈsːɨːmæ,tʃʼkʼɔmuä,ˈɛːˌta,ɔtʃʼkʼɔmu,ˈʔɛsn̩,ˈsøːmɑ,ˈsyødæ,iːt,spiːsə,lizwɛb
heart,guli,ˈsːyæ,guri,ˈjɛrˌta,guri,hɛʁts,ˈsydɑ,ˈsydæn,hɑːt,jɛrtə,gwi
husband,kʰmäri,ˈmiːsː,kʰɔmɔndʒi,ˈmɑːˌkɛ,kʰɔmɔli,,ˈmeːs,ˈmies,ˈhʌzbənd,mæn,tʃʼæʃ
sand,kʰviʃä,ˈliːv,kʰviʃä,,ʁumi,zant,ˈliːʋ,ˈhiekːɑ,sænd,san,kʰwiʃɛ
with,tʰän,ˈytːen,tsʼkʼɛlä,meː(d),kʼälä,mɪt,ˈkoːs,ˈkɑnsːɑ,wɪð,mɛd,tsäχæn
name,säχɛli,ˈnimi,säχɛli,namn,dʒɔχɔ,ˈnaːmə,ˈnimi,ˈnimi,neɪm,,ʒäχɛ
think,pʰikʰri,ˈmɤtːlɤmɑ,gurtʃämä,,ɔsimädu,ˈdɛŋkən,ˈmɤtlemɑ,ˈɑjɑtelːɑ,θɪŋk,,liskʼɔrɛ
I,mɛ,ˈmɑʔ,mä,ˈjɑː(ɡ),mä,ɪç,ˈminɑ,ˈminæ,aɪ,jaj,mi
near,äχlɔ,ˈlæhkːyn,χɔlɔ,,χɔlɔs,naː,ˈlæhedɑl,ˈlæhelːæ,nɪə(ɹ),nɛːr,pʰɛdiä
dull,blägvi,ˈnyhr,dʒärguliä,,dʒängulä,ʃtʊm(p)f,ˈnyri,ˈtylsæ,dʌl,sløːv,luwrɛ
knee,muχli,ˈpːɤlv,birguli,,burgili,kniː,ˈpɤlʋ,ˈpolʋi,niː,,kʰutʰul
dirty,tʃʼutʃʼqʼiäni,ˈmusːtːɤnuʔ,tsʼindämi,,lɛbɔni,ˈʃmʊt͡sɪç,ˈmust,ˈlikɑinen,ˈdɜːti,beskit,lətsʼid
come,mɔsvlä,ˈtːulɤmɑ,mɔulä,ˈkɔmːa,mɔlvä,ˈkɔmən,ˈtulemɑ,ˈtulːɑ,kʌm,kɔmə,liqʰɛd
egg,kʼvɛrtsχi,ˈmunɑ,märkʰväli,ɛɡː,mäkʰväli,aɪ̯,ˈmunɑ,ˈmunɑ,ɛɡ,ɛːɡ,ləgrɛ
that,is,ˈtːuː,tʰinä,dɛnː,ɛjä,ˈjeːnɐ,ˈtoː,ˈtuo,ˈðæt,dən,ɛdʒi
rope,tʰɔkʼi,ˈkːøytsː,tʰɔkʼi,,tʰɔkʼi,zaɪ̯l,ˈkøis,ˈkøysi,ɹəʊp,tɔv,tʰækʼw
nose,tsχviri,ˈnɤnɑ,tʃχvindi,ˈnɛːsˌa,tʃχindi,ˈnaːzə,ˈninɑ,ˈnenæ,nəʊz,ˈnɛːsə,nɛpʰχwnä
squeeze,mɔtʃʼɛrä,ˈpːitːsːitːæmæ,mɔntʃʼirä,,ɔzdimu,ˈdʁʏkŋ̩,ˈpigistɑmɑ,ˈpuristɑː,skwiːz,,litʰlɛ
push,mitsʼɛvä,ˈtːoukːɑmɑ,ɛkʼɔkʼinä,²ɧʉːta,mɛkʼäntʃʼinu,ˈdʁʏkŋ̩,ˈtɤukɑmɑ,ˈtyøntæː,pʊʃ,skɔbɘ,likʰχɛ
