word,ka,vro,xmf,sv,lzz,de,et,fi,en,da,sva
hunt,nädirɔbä,ˈjɑhtːmɑ,nädiruä,ˈjɑːˌɡa,äbdʒɔbä,ˈjaːɡən,ˈkytːimɑ,ˈmetsæstæː,hʌnt,ˈjaːɡə,litʰχwær
sing,mʁɛrä,ˈlɑulmɑ,birä,,ɔbiru,ˈzɪŋən,ˈlɑulmɑ,ˈlɑulɑː,sɪŋ,sønɡə,liʁräl
spit,pʰurtʰχɛbä,ˈsːylkæmæ,pʰurtʼinuä,,ntʃʼkʼväläpʰä,ˈʃpʊkŋ̩,ˈsylitɑmɑ,ˈsylkeæ,spɪt,spøtɘ,litʼbənɛ
play,däkʼvrä,ˈmænkmæ,mɛgämä,,gɛlätʃämu,ˈʃpiːlən,ˈmængimɑ,ˈleikːiæ,pleɪ,lajə,liʃmɛ
at,zɛ,ˈl,,poː,,an,ˈl,ˈlːɑ,æt,,ʒi
say,tʰkʰmä,ˈytːlemæ,tʰkʰuälä,ˈsɛjːa,ɔtʰkʰu,zaːɡən,ˈytlemɑ,ˈsɑnoɑ,seɪ,,likʰwisg
wash,rɛtsχvä,ˈmɤsːkːmɑ,rtʃχuälä,,ɔtʃχu,ˈvaʃən,ˈpesemɑ,ˈpestæ,wɒʃ,,liʃqʼwdi
short,mɔkʼlɛ,ˈlyhykːene,kʼuntʼä,kɔrt,mkʼulɛ,kʊʁt͡s,ˈlyhike,ˈlyhyt,ʃɔːt,kɔrt,kʼudæ
sharp,bäsri,ˈtːerːæv,kʼväntʰiri,,mtʃʼkʼirulä,ʃarf,ˈterɑʋ,ˈteræʋæ,ʃɑːp,,bæsr
throw,srɔlä,ˈhiːtːmæ,ʔɔtʰämä,,ɔstʰɔmilu,ˈvɛʁfən,ˈʋiskɑmɑ,ˈheitːæː,θɹəʊ,,likʼwänɛ
four,ɔtʰχi,ˈneli,ɔtʰχi,ˈfyːˌra,ɔtʰχɔ,fiːɐ̯,ˈneli,ˈneljæ,fɔː,fiːrə,wɔʃtʰχw
stick,dʒɔχi,ˈkːepː,bigä,ɕɛp,bigä,ʃtaːp,ˈkepː,ˈkepːi,stɪk,kɛp,pʰäu
red,tsʼitʰɛli,ˈverːev,tʃʼitʰä,røːd,mtʃʼitʰä,roːt,ˈpunɑne,ˈpunɑinen,ɹɛd,røːd,tsʼərni
three,sämi,ˈkːolm,sumi,treː,sum,dʁaɪ̯,ˈkolm,ˈkolme,θɹiː,,sɛmi
bone,dzväli,ˈluː,dzväli,ˈbeːn,qʼvili,ˈknɔχn,ˈluː,ˈluː,boʊn,knɔɡlə,dʒidʒw
belly,mutsɛli,ˈkːɤtːtː,kʰɔrä,²mɑːɡɛ,kʰɔrbä,baʊ̯x,ˈkɤht,ˈmɑhɑ,bɛli,,qʰæd
scratch,pʰχätʃʼnä,ˈkːrɑːpːmɑ,tsχäbäruä,,ɔʁätsʼkʼu,ˈkʀat͡sn̩,ˈkrɑːpimɑ,ˈrɑːpiɑ,skɹætʃ,,lipʰχäntʃʼwä
rub,χäχuni,ˈhɤːrtmɑ,tʃirkʰɔli,,ɔkʰurtʃɔlu,ˈʀaɪ̯bnˌ,ˈhɤːrumɑ,ˈhieroɑ,ɹʌb,,liχdʒənɛ
wind,kʰäri,ˈtːuːl,bɔriä,vɪnd,iχi,vɪnt,ˈtuːl,ˈtuːli,ˈwɪnd,ʋend,bikʰw
dust,mtʼvɛri,ˈtːolm,tʼvɛri,dam,mtʼvɛri,ʃtaʊ̯p,ˈtolm,ˈpøly,dʌst,støːv,pʼisw
tongue,ɛnä,ˈkːiːl,ninä,ˈtɵŋˌa,nɛnä,ˈtsʊŋə,ˈkeːl,ˈkieli,tʌŋ,tɔnɡə,nin
smoke,bɔli,ˈsːɑu,kʼumä,,kʼɔmä,ʁaʊ̯x,ˈsuits,ˈsɑʋu,sməʊk,røj,zinqʰ
night,ʁämɛ,ˈɨː,sɛri,natː,sɛri,naxt,ˈøː,ˈyø,naɪt,nad̥,lɛtʰ
wet,svɛli,ˈlikːɤ,ʃɔliri,voːt,ʃu,nas,ˈmærg,ˈmærkæ,wɛt,vɔːd,məʒir
suck,tsʼɔvä,ˈnutsːimɑ,tsʼuälä,,ɔtsʼu,ˈzaʊ̯ɡən,ˈimemɑ,ˈimeæ,sʌk,,litʃigw
fire,tsɛtsχli,ˈtːuli,dätʃχiri,ˈɛld,dätʃχuri,ˈfɔʏər,ˈtuli,ˈtuli,ˈfaɪ.ə(ɹ),il,lɛmɛsg
and,dä,ˈjɑ,dɔ,ɔ,dɔ,ʊnt,ˈjɑ,ˈjɑ,ænd,ˈɒw,i
smell,qʼnɔsvä,ˈhɑisːu tːuntmɑ,ʃuräpʰä,,ɔʃuru,ɡəˈʁʊχ,ˈhɑistmɑ,ˈhɑistɑː,smɛl,loɡt,likʰwni
bird,tʃitʼi,ˈtːsːirkː,kʼvintʃä,foːɡəl,kʼintʃi,ˈfoːɡəl,ˈlind,ˈlintu,bɜːd,fuːl,næpʼr
mouth,pʼiri,ˈsːuː,pʼidʒi,mɵn,pʼidʒi,mʊnt,ˈsuː,ˈsuː,maʊθ,mon,pʼil
float,tʼivtʼivi,ˈhɤlʲomɑ,pʰäpʰäpʰi,flyːta,mɔmkʰu,ˈtʀaɪ̯bm̩,ˈhɤljumɑ,ˈkelːuɑ,fləʊt,,
guts,nätsʼlävi,ˈsːoːlikuʔ,tʃʼi,,tʃʼu,ˈaɪ̯nɡəvaɪ̯də,ˈsoːled,ˈsuolisto,ɡʌts,,tʃʼintʃʼil
thou,ʃɛn,ˈsːɑʔ,si,dʉː,si,duː,ˈsinɑ,ˈsinæ,ðaʊ,du,si
wipe,tsʼmɛndä,ˈpːyhkːmæ,tsʼiminduä,,ɔtsʼimidu,ˈvɪʃn̩,ˈpyhkimɑ,ˈpyːhkiæ,waɪp,veskɘ,likʼwtsæni
know,tsɔdnä,ˈtːiːtmæ,rtʃkʰinä,veːta,ɔtʃkʰinu,ˈvɪsn̩,ˈteɑdmɑ,ˈtietæː,nəʊ,,mäχäl
mountain,mtʰä,ˈmæki,gɔlä,bɛrj,gɔlä,bɛrk,ˈmægi,ˈʋuori,ˈmaʊntɪn,bjɛrv,läχw
kill,kʼvlä,ˈtːɑpːmɑ,ʔviluä,ˈdøːda,ɔqʼvilu,ˈtøːtən,ˈtɑpmɑ,ˈtɑpːɑː,kɪl,,lidgæri
swim,tsurvä,ˈoitmɑ,ntʃuruä,,ɔntʃviru,ˈʃvɪmən,ˈujumɑ,ˈuidɑ,swɪm,svœmə,likʰni
what,rä,ˈmiæ,mu,vɑː(d),mu,vas,ˈmis,ˈmikæ,wɔt,vad,mæ
heavy,mdzimɛ,ˈrɑsːsːɤ,mɔnkʼä,tɵŋ,mɔnkʼä,ʃveːɐ̯,ˈrɑske,ˈrɑskɑs,ˈhɛ.vi,tɔnɡ,gwæmi
father,mämä,ˈesːæ,mumä,,bäbä,ˈfaːtɐ,ˈisɑ,ˈisæ,ˈfɑː.ðə(ɹ),,mu
foot,tʼɛrpʰi,ˈjɑlk,närtʃäkʼutʃχi,fuːt,tʼäbu,fuːs,ˈjɑlg,ˈjɑlkɑ,fʊt,foːd,lägæäm
they,isini,ˈnimæʔ,tʰinɛpʰi,dɔm,ɛntʰɛpʰɛ,ziː,ˈnemɑd,ˈhe,ðeɪ,di,ɛdʒær
hear,smɛnä,ˈkːuːltmɑ,rtʃkʰilä,,ɔʃkʼinu,ˈhøːrən,ˈkuːlmɑ,ˈkuːlːɑ,hɪə(ɹ),høːrə,səmæn
long,grdzɛli,ˈpːikːkː,gindzɛ,lɔŋ,gundzɛ,laŋ(k),ˈpikː,ˈpitkæ,ˈlɒŋ,lanɡ,dʒwɛdi
