,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
 aa, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ħʌɖʌ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ab, , , , , , , , , , , , , , , , , , , , , , akʼɨ, ɥpa, xpʰa, pʰʃpa, xʷpa, , , , , , , , , , , , , , , aχˁátsʼa, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , aχˁə́, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , amt͡sʼ, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , aˈd͡zɨ, , , , , , , , , , , , , , , atsʼaa, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ae, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , aːtar, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 af, ɛk, , , , jəi, , dɨt, , , dɑːr, , vat, , , , ni, , bajə, , , , , tvɪə̯, , , , , , , , , , , , , , , , kənt, , , , fɑːdər, , fəs, , ɦɔnt, , slɑŋ, , bʊəm, bɔs, , , , blɑːr, , bɑs, , , , , fləis, blut, , , ˈəiər, , , , , , ʊər, oəχ, nɪøs, mɔnt, , , , , , , , , , , , rœχ, bɔ(ː)rs, , , , , , , , , , , ɫɐχ, , , vɪət, dəŋk, , frɪəs, , , , , , , , , , , , , , , lʊəp, kɔm, , , , , fal, , ɦœu, , , , , , , , , , tɛ̞ːl, sɛː, səŋ, , , flui, , , , , , ˈvɑːtər, rɪə̯(n), rəˈfiːr, , , , , sant, stɔf, ˈɑːr.də, vɔlk, , lœχ, , sniu, ə̟i̯s, , fyːr, , , pɑt, , roːi̯, , χɪə̯l, vət, , naχ, daχ, jɑːr, , kœut, fɔl, , œu, χut, , , , , , , , , , , , , , , , , , , ɛn, , , 
 ak, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 am, ɨne, , ɨsːu, ɨɲːa, antə, ɨnːəsːu, , , , , , , , , , , , , , , , , , sɔst, , , , , , , , , , , , , , , , , bal̪, , , , , , , , , tʰɨl, , , , , , , , , aβəβa, , , , , , , , , , , , , ras̪, , , , , , , , , , , , , , , , , , l̪əbb, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , t͡ʃʼəw, , , , , , , , , , , , , , , , , , , , , t̪ʼəkur, , , amet, , , , , , , , , , , , , , , , , , , , , , , , , , , , sɨm
 an, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , pa(j)ˈʃaro, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , iˈβon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ar, ʔa.na, ʔanta, hu.wa, naħ.nu, ʔanta, hu.maː, haː.ðaː, ðaː.li.ka, hu.naː, hu.naː.ka, mann, maː.ðaː, , ma.taː, kaj.fa, laː, kull, ka.θiːr, , qa.liːl, , waː.ħid, (ʔi)θnaːn, θa.laː.θa, ʔar.ba.ʕa, xam.sa, ka.biːr, tˁa.wiːl, waː.siʕ, sa.miːk, θa.qiːl, sˁa.ɣiːr, qa.sˁiːr, dˁaj.jiq, , ʔim.ra.ʔa, ʔin.saːn, ba.ʃa.rijj, tˁifl, zawd͡ʒa, zawd͡ʒ, ʔam.ma, ʔab, ħa.ja.waːn, ˈsamaka, tˁaːʔir, kalb, qam.la, θuʕ.baːn, duː.da, , ɣaː.ba, ʕa.sˁan, faː.ki.ha, , wa.ra.qa, d͡ʒa.ða.ra, li.ħaːʔ, zah.ra, ħa.ʃiːʃ, ħabl, d͡ʒild, laħm, , ʕaðˁm, , , qarn, ða.nab, , ʃa.ʕa.ra, ra.ʔa.sa, ʔu.ðun, ʕaj.ja.na, ʔanf, fam, san.na, li.saːn, ðˁufr, ra.d͡ʒi.la, ra.d͡ʒi.la, ruk.ba, jad, d͡ʒa.naːħ, ba.tˁa.na, , , ðˁa.ha.ra, , qalb, kab.ba.da, ʃa.ri.ba, , ʕadˁ.dˁa, masˁ.sˁa, ba.sˁa.qa, ta.qaj.ja.ʔa, na.fa.xa, ta.naf.fa.sa, dˁa.ħik, ra.ʔaː, sa.mi.ʕa, ʕa.li.ma, , , xawf, naː.ma, ʕaː.ʃa, ˈmaːta, qa.ta.la, qaː.ta.la, isˁ.tˁaː.da, dˁa.ra.ba, , qa.sa.ma, tˁa.ʕa.na, , ħa.fa.ra, , , ma.ʃaː, d͡ʒaː.ʔa, , d͡ʒa.la.sa, wa.qa.fa, , wa.qa.ʕa, ʔaʕ.tˁaː, , , , , ma.sa.ħa, , , , , xajtˁ, , qaː.la, , , , , , , ʃams, , , maːʔ, , nahr, bu.ħaj.ra, baħr, milħ, , raml, ɣu.baːr, tur.ba, sa.ħaː.bah, dˁa.baːb, sa.maːʔ, riːħ, θald͡ʒ, d͡ʒa.liːd, du.xaːn, naːr, ra.maːd, ħa.ra.qa, tˁa.riːq, d͡ʒa.bal, ʔaħ.mar, ʔax.dˁar, ʔasˁ.far, ʔab.jadˁ, ʔas.wad, laj.la, jawm, ʕaːm, daː.fiʔ, baː.rid, mum.ta.liʔ, d͡ʒa.diːd, qa.diːm, , saj.jiʔ, faː.sid, , mus.ta.qiːm, , ħaːdd, ka.liːl, naː.ʕim, , d͡ʒaːff, sˁa.ħiːħ, qa.riːb, ba.ʕiːd, ħaq.qa, ja.saːr, ˈʕind̪æ, fiː, ma.ʕa, waːw, ʔin, li.ʔan.na, ism
 as, mɔɪ, tɔɪ, xi, ami, , xiʱɔt, , , iat, tat, , ki, zot, kɛ.tia, kɛ.nɛ.koɪ, nɔ.ɦɔɛ, xɔ.kɔ.lʊ, , , , an, ɛk, dui, tini, sa.ɹi, pãs, daŋɔɹ, , bɔ.ɦɔl, , ɡɔ.dʱuɹ, xɔ.ɹu, su.ti, , , maɪ.ki ma.nuʱ, ma.nuʱ, ma.nuʱ, sɔli, ɡʱoɪ.ni, ɡi.ɹi, ma, dɛʊ.ta, , mas, sɔɹaɪ, kukuɹ, , xap, , ɡɔs, ɦa.bi, , , ɡu.ti, , xia, ba.kɔ.li, pʰul, ɡʱãʱ, zɔ.ɹi, sal, maŋxɔ, , , , kɔ.ni, xiŋ, nɛz, pakʰi, suli, muɹ, kan, sɔku, nak, mukʰ, dãt, zi.bʱa, , , bʱɔ.ɹi, atʰu, , dɛu.ka, pɛt, , di.ŋi, pi.tʰi, , dil, , , , , , tʰu pɛ.lʊa, bɔ.mi kɔ.ɹa, , , ɦɔɦa, dɛkʰa, xu.na, , bʱɔ.ba, , bʱɔe, xʊa, , mɔɹ, , zũza, si.kaɹ kɔ.ɹa, , kɔ.ta, pʰal, , ãsʊɹ, kʰan.da, , makʰi, kʰʊz.kaʴɦa, aʱ, , bɔɦ, tʰiɔ ɦʊa, , pɔ.ɹa, , , , ɡʱɔɦa, dʱʊa, mɔ.sa, ta.na, , dɔ.liʊa, bɔn.dʱa, xia, , , ɡʊa, , , bʊa, , pʰu.la, be.li, zʊn, , pa.ni, , noɪ, bil, xaɡɔɹ, lʊn, pa.tʰɔɹ, ba.li, dʱu.li, , daɔɹ, , akax, bɔtaʱ, bɔɹɔf, , , zui, saɪ, zɔ.la, bat, , ɹɔ.ŋa, xɛu.zia, ɦa.lɔ.dʱia, bɔ.ɡa, kola, ɹati, din, bɔ.sɔɹ, , , , , pu.ɹɔ.na, bʱal, bɛa, , lɛ.tɛ.ɹa, pʊn, , , , , ti.ta, xu.kan, xu.dʱɔ, , , , , , bʱi.tɔɹ, xoɪ.tɛ, a.ɹu, , , 
 av, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ber, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
