Family,Group,Language,Code,Code2,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
Indo-european,Germanic,German,de,,ɪç,duː,ʔeːɐ̯,viːɐ̯,duː,ziː,ˈdiːzər,ˈjeːnɐ,hiːɐ,dɔrt,veːɐ̯,vas,voː,van,viː,nɪçt,al,ˈfiːlə,,ˈveːnɪç,ˈʔandəʀə,aɪ̯ns,t͡svaɪ̯,dʁaɪ̯,fiːɐ̯,fʏnf,ɡʁoːs,laŋ(k),bʀaɪ̯t,dɪk,ʃveːɐ̯,klaɪ̯n,kʊʁt͡s,ɛŋ,dʏn,fʁaʊ̯,mɛnʃ,mɛnʃlɪç,kɪnt,,,ˈmʊtɐ,ˈfaːtɐ,tiːɐ̯,fɪʃ,ˈfoːɡəl,hʊnt,laʊ̯s,ˈʃlaŋə,,baʊ̯m,valt,ʃtaːp,fʁʊxt,ˈzaːmən,blat,ˈvʊʁt͡sl̩,ˈbɔʁkə,ˈblyːtə,ɡʁaːs,zaɪ̯l,haʊt,flaɪ̯ʃ,bluːt,ˈknɔχn,fɛt,aɪ̯,hɔrn,ʃvant͡s,ˈfeːdəʁ,haːɐ̯,kɔpf,oːr,ˈaʊ̯ɡə,ˈnaːzə,mʊnt,t͡saːn,ˈtsʊŋə,ˈfɪŋɐnaːɡl̩,fuːs,baɪ̯n,kniː,hant,ˈflyːɡl̩,baʊ̯x,ˈaɪ̯nɡəvaɪ̯də,hals,ˈʁʏkn̩,bʁʊst,hɛʁts,ˈleːbɐ,ˈtʁɪŋkən,ˈʔɛsn̩,ˈbaɪ̯sn̩,ˈzaʊ̯ɡən,ˈʃpʊkŋ̩,ˌyːbɐˈɡeːbən,ˈblaːzn̩,ˈaːtmən,ˈlaχn̩,ˈzeː.ən,ˈhøːrən,ˈvɪsn̩,ˈdɛŋkən,ɡəˈʁʊχ,ʔaŋst,ˈʃlaːfn̩,ˈleːbən,ˈʃtɛʁbən,ˈtøːtən,kɛm(p)fən,ˈjaːɡən,ˈʃlaːɡən,,ˈʃpaltn̩,ˈʃtɛçn̩,ˈkʀat͡sn̩,ˈɡʁaːbən,ˈʃvɪmən,ˈfliːɡə,ˈlaʊ̯fən,ˈkɔmən,ˈlyːɡə,ˈzɪtsn̩,ˈʃteː.ən,ˈdʁeːən,ˈfaln̩,ˈɡeːbən,ˈhaltn̩,ˈdʁʏkŋ̩,ˈʀaɪ̯bnˌ,ˈvaʃən,ˈvɪʃn̩,ˈtsiːən,ˈdʁʏkŋ̩,ˈvɛʁfən,ˈbɪndn̩,ˈnɛːən,ˈt͡sɛːlən,zaːɡən,ˈzɪŋən,ˈʃpiːlən,ˈtʀaɪ̯bm̩,ˈfliːsn̩,ɡəˈfʁiːʁən,ˈʃvɛlən,ˈzɔnə,moːnt,ʃtɛʁn,ˈva.sɐ,ˈʁeːɡən,flʊs,zeː,meːɐ̯,zal(t)s,ʃtaɪn,zant,ʃtaʊ̯p,ˈeːɐ̯də,ˈvɔlkə,ˈneːbl̩,ˈhɪml̩,vɪnt,ʃneː,aɪ̯s,ʁaʊ̯x,ˈfɔʏər,ˈaʃə,ˈbʀɛnən,ˈʃtraːsə,bɛrk,roːt,ɡʁyːn,ɡɛlp,vaɪs,ʃvarts,naxt,tɑːk,jaː(ɐ̯),vaʁm,kalt,fɔl,nɔʏ̯,alt,ɡuːt,ʃlɛçt,faʊ̯l,ˈʃmʊt͡sɪç,ɡəˈraːdə,ʀʊnt,ʃarf,ʃtʊm(p)f,ɡlat,nas,ˈtʁɔkən,kɔˈʁɛkt,naː,fɛʁn,ʁɛçt,lɪŋk,an,ʔɪn,mɪt,ʊnt,vɛn,vaɪ̯l,ˈnaːmə
Indo-european,Germanic,Dutch,nl,,ɪk,ɣɛi̯,ɦɛi̯,ʋɛi̯,jɛi̯,zɛi̯,ˈdeːzə,dɑt,ɦir,daːr,ʋi,ʋɑt,ʋaːr,ʋɑˈneːr,ɦu,nit,ɑl,veːl,ʋɑt,ˈʋɛi̯nəx,ˈɑn.dər,eːn,tʋeː,dri,vir,vɛi̯f,,lɑŋ,,dɪk,zʋaːr,klɛi̯n,kɔrt,nɑu,,vrɑu̯,mɛns,,kɪnt,vrɑu̯,mɑn,ˈmu.dər,ˈvaː.dər,dir,vɪs,ˈvoːɣəl,ɦɔnt,lœy̯s,slɑŋ,,boːm,ʋɑu̯t,,vrʏxt,zaːt,blɑt,ˈʋɔr.təl,sxɔrs,blum,ɣrɑs,,ɦœy̯t,vleːs,blut,beːn,vɛt,ɛi̯,ɦoːrn,staːrt,veːr,ɦaːr,ɦoːft,oːr,oːx,nøːs,mɔnt,tɑnt,tɔŋ,,vut,beːn,kni,ɦɑnt,,bœy̯k,,,rʏx,bɔrst,ɦɑrt,ˈleːvər,ˈdrɪŋkə(n),,ˈbɛi̯tə(n),ˈzœy̯.ɣə(n),,,ˈblaːzə(n),ˈaːdəmə(n),ˈlɑxə(n),zin,ˈɦoːrə(n),ˈʋeːtə(n),ˈdɛŋkə(n),ɣøːr,ɑŋst,ˈslaː.pə(n),ˈleːvə(n),ˈdoːtxaːn,ˈdoːdə(n),ˈstrɛi̯də(n),ˈjaːɣə(n),ˈraːkə(n),ˈsnɛi̯də(n),,ˈsteːkə(n),,ˈɣraːvə(n),ˈzʋɛ.mə(n),vlix,ˈloːpə(n),ˈkoːmə(n),ˈløː.ɣə(n),ˈzɪtə(n),staːn,ˈdraːi̯ə(n),ˈvɑlə(n),ˈɣeːvə(n),ˈɦɑu̯də(n),ˈklɛmə(n),ˈvrɛi̯və(n),ˈʋɑsə(n),ˈveː.ɣə(n),ˈtrɛkə(n),ˈdyu̯ə(n),ˈʋɛrpə(n),ˈknoːpə(n),ˈnaːjə(n),ˈtɛlə(n),ˈzɛɣə(n),ˈzɪ.ŋə(n),ˈspeːlə(n),ˈdrɛi̯və(n),ˈvlujə(n),bəˈvrizə(n),ˈzʋɛlə(n),,maːn,stɛr,ˈʋaːtər,ˈreː.ɣə(n),riːˈviːr,meːr,zeː,zɑu̯t,steːn,zɑnt,,ˈaːr.də,ʋɔlk,mɪst,ˈɦeː.məl,ʋɪnt,sneːu̯,ɛi̯s,roːk,vyr,ɑs,ˈbrɑndə(n),baːn,bɛrx,roːt,ɣrun,ɣeːl,ʋɪt,zʋɑrt,nɑxt,dɑx,jaːr,ʋɑr(ə)m,kɑu̯t,vɔl,niu̯,ɑu̯t,ɣut,slɛxt,rɔt,vœy̯l,rɛxt,rɔnt,sxɛrp,bɔt,ɣlɑt,nɑt,droːx,,,vɛr,rɛxt,lɪŋks,ɔp,ɪn,mɛt,ɛn,ɑ(l)s,ɔm.ˈdɑt,naːm
Indo-european,Germanic,Afrikaans,af,,ɛk,,,,jəi,,dɨt,,,dɑːr,,vat,,,,ni,,bajə,,,,,tvɪə̯,,,,,,,,,,,,,,,,kənt,,,,fɑːdər,,fəs,,ɦɔnt,,slɑŋ,,bʊəm,bɔs,,,,blɑːr,,bɑs,,,,,fləis,blut,,,ˈəiər,,,,,,ʊər,oəχ,nɪøs,mɔnt,,,,,,,,,,,,rœχ,bɔ(ː)rs,,,,,,,,,,,ɫɐχ,,,vɪət,dəŋk,,frɪəs,,,,,,,,,,,,,,,lʊəp,kɔm,,,,,fal,,ɦœu,,,,,,,,,,tɛ̞ːl,sɛː,səŋ,,,flui,,,,,,ˈvɑːtər,rɪə̯(n),rəˈfiːr,,,,,sant,stɔf,ˈɑːr.də,vɔlk,,lœχ,,sniu,ə̟i̯s,,fyːr,,,pɑt,,roːi̯,,χɪə̯l,vət,,naχ,daχ,jɑːr,,kœut,fɔl,,œu,χut,,,,,,,,,,,,,,,,,,,ɛn,,,
Indo-european,Germanic,English,en,,aɪ,ðaʊ,ˈhiː,wiː,juː,ðeɪ,ðɪs,ˈðæt,hɪə(ɹ),ðɛə(ɹ),hw,wɔt,ʍɛə(ɹ),ʍɛn,haʊ,nɒt,ɔːl,ˈmɛni,sʌm,fjuː,ˈʌðə(ɹ),wʌn,tuː,θɹiː,fɔː,faɪv,bɪɡ,ˈlɒŋ,waɪd,θɪk,ˈhɛ.vi,smɔːl,ʃɔːt,ˈnæɹoʊ,ˈθɪn,ʊ,mæn,ˈ(h)juːmən,t͡ʃaɪld,waɪf,ˈhʌzbənd,ˈmʌðə(ɹ),ˈfɑː.ðə(ɹ),ˈænɪməl,ˈfɪʃ,bɜːd,dɒɡ,laʊs,ˈsneɪk,wɜːm,tɹiː,ˈfɒɹɪst,stɪk,fɹuːt,siːd,liːf,ɹuːt,bɑːk,ˈflaʊ.ə,ɡɹɑːs,ɹəʊp,skɪn,miːt,blʌd,boʊn,fæt,ɛɡ,hɔːn,teɪl,ˈfɛð.ə(ɹ),hɛə,hɛd,ɪə̯,aɪ,nəʊz,maʊθ,tuːθ,tʌŋ,ˈfɪŋɡɚˌneɪl,fʊt,lɛɡ,niː,hænd,wɪŋ,bɛli,ɡʌts,nɛk,bæk,bɹɛst,hɑːt,lɪvə(ɹ),dɹɪŋk,iːt,baɪt,sʌk,spɪt,ˈvɒmɪt,bləʊ,bɹiːð,laːf,siː,hɪə(ɹ),nəʊ,θɪŋk,smɛl,fɪə,sliːp,lɪv,daɪ,kɪl,faɪt,hʌnt,hɪt,kʌt,splɪt,stæb,skɹætʃ,dɪɡ,swɪm,flaɪ,wɔːk,kʌm,laɪ̯,sɪt,stænd,tɜːn,fɔːl,ɡɪv,həʊld,skwiːz,ɹʌb,wɒʃ,waɪp,pʊl,pʊʃ,θɹəʊ,taɪ,səʊ,kaʊnt,seɪ,sɪŋ,pleɪ,fləʊt,fləʊ,ˈfɹiːz,swɛl,sʌn,muːn,stɑː(ɹ),ˈwɔːtə,ɹeɪn,ˈɹɪvə,leɪk,siː,sɔːlt,stəʊn,sænd,dʌst,ɜːθ,klaʊd,fɒɡ,skaɪ,ˈwɪnd,snəʊ,aɪs,sməʊk,ˈfaɪ.ə(ɹ),ˈæʃ,bɝn,ɹəʊd,ˈmaʊntɪn,ɹɛd,ɡɹiːn,ˈjɛl.əʊ,waɪt,blæk,naɪt,deɪ,jɪə,wɔːm,kəʊld,fʊl,njuː,ˈəʊld,ɡʊd,bæd,ˈɹɑtn̩,ˈdɜːti,stɹeɪt,ˈɹaʊnd,ʃɑːp,dʌl,smuːð,wɛt,dɹaɪ,kəˈɹɛkt,nɪə(ɹ),fɑː,ˈɹaɪt,lɛft,æt,ɪn,wɪð,ænd,ɪf,bɪˈkɒz,neɪm
Indo-european,Germanic,Yiddish,yi,yi,ɪχ,,,,,,,,,,,vɔs,vʊ,,,nit,ˈalə,aˈsax,,,,,tsvɛj,dʁaj,fiʀ,fɪnf,,,,,,ˈkleɪn,,,,,mɛnt͡ʃ,,kɪnd,,,ˈmʊtəʁ,ˈfɔtəʁ,,fɪʃ,fɔjɡl,hʊnt,,ʃlaŋ(ɡ),,bɔjm,,,fʁʊχt,ˈzɔɪ̯mn̩,blat,,,blʊm,ɡʁɔz,,heɪt,flɛɪʃ,blʊt,,,,,,,hɔʁ,,ˈɔɪ.əʁ,,,,tsɔn,tsʊŋ(ɡ),,fʊs,fʊs,knɪ,hant,,bɔɪχ,,haldz,,,,,,,,,,,,,,,,vɪsn̩,,,,,,,ˈtɛjtn̩,,,,,,,,,,,,ˈkʊmən,,,,,,,,,,,,,,,,,,ˈzɔ.ɡŋ̩,ˈzɪn.ɡn̩,,,,,,zʊn,,ˈʃtɛʁən,,,,,,,,,,,,,,,,,,,,,,,,ɡʁin,,vajs,,,tɔɡ,jɔʁ,,,,,,ɡʊt,,,,,,,,,,,,,,,,,,,ʊn,,,nɔmɛn
Indo-european,Germanic,Frisian,fy,fy,ɪk,,hɛi̯,vɛi̯,doː,ja,,,,,,,,,,ˈnɛt,,,,,,,,,,,,,,,swiər,,,,,,ˈminskə,,bɛːn,,,,hai̯t,,fɪsk,,huːn,,,,bɪə̯m,,,,,,,,blom,ɣɛːs,,,flai̯s,bluə̯t,,,aːi̯,,,,,ˈholə,,ɪə̯x,,ˈmulə,,,,,skoŋk,,,,,,,rɛːx,,hɛt,,ˈdrɪŋkə,,,,,,,,ˈlai̯tsjə,,ˈjɛ(ː)rə,,,,,,ˈlɪbjə,,,,,,,,,,,ˈsvɪm.mə,mɪx,,,,,ˈsteən,,,jaːn,hɔːdə,,,,,,ˈtrjoːə,,,,,,,,,,,,,ˈmwanə,,ˈvɛtər,rai̯n,,,seː,,stiə̯n,,,,,,,,sniə,iːs,,fjuə̯r,ˈjɪskə,,,bɛrx,,ɣriə̯n,,vit,,ˈnaxt,,iə̯r,vaːrm,,,nɛi̯,ɔːt,,,,,,,,,,,,,,,,,,,,ɛn,ɔs,,
Indo-european,Germanic,Scots,sco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Germanic,Norwegian,no,nn,eːɡ,,,meː,dʉː,,,,,,,kʋɑː,,,ˈkʊrlæɪs,²ɪçːə,,,,,,,,,,,,,,çʊkː,tʊŋː,,,,,²kʋɪnːə,²mɛnːɛʃə,,bɑːrn,,,,,,,fʉɡl,,,,,,,,,frøː,,ruːt,,bluːm,ɡrɑːs,,,çøːt,bluː,bæɪn,,ɛɡː,hʊrn,,fjøːr,hoːr,,,²æʉɡə,,,tɑnː,,,fuːt,bæɪn,,hɑnd,,,,hɑls,,,²jɑrtə,ˈleːʋɛr,,,,,,,,,,ʃoː,,,,,,,,,,,,,,,,,,²sʏmjɑ,²flʉːɡə,,,,,,,,,,,,,,,,,,,,²sæɪɑ,²sʏŋːjɑ,,,,,,suːl,,²stjɛrnə,ˈʋɑtn̩,,,,hɑːʋ,,,sɑnd,,,ʃyː,,,,snøː,iːs,,ɛld,,,,fjɛlː,ræʉ,,,kʋiːt,,nɑtː,,oːr,,,,,²ɡɑːmɑl,,,,²ʃɪtːn̩,,,,,,,,,næːr,,rɛtː,,poː,iː,meː,oː,,,
Indo-european,Germanic,Swedish,sv,sv,ˈjɑː(ɡ),dʉː,hanː,viː,dʉː,dɔm,,dɛnː,hæːr,dɛːr,,vɑː(d),dɛːr,,hʉːr,ˈɪnˌtɛ,ˈalˌa,,ˈnoːˌ(ɡ)ra,foː,,ɛt,tvoː,treː,ˈfyːˌra,fɛm,ˈvɵkˌsɛn,lɔŋ,viːd,ɕɔk,tɵŋ,ˈliːˌtɛn,kɔrt,,,ˈkvɪnːˌa,mɛnːɪɧa,²mɛnsklɪ(ɡ),bɑːrn,hɵ̄sːtrʉ̂ː,ˈmɑːˌkɛ,muːr,,jʉːr,fɪsk,foːɡəl,hɵnd,,ˈʊrm,,,skuːɡ,ɕɛp,ˈfrɵkt,,,,,blʊ.ma,,,hʉːd,ɕœtː,,ˈbeːn,fɛt,ɛɡː,,svans,,hoːr,ˈhʉːˌvɵd,øːra,ˈøːˌɡa,ˈnɛːsˌa,mɵn,ˈtand,ˈtɵŋˌa,,fuːt,ˈbeːn,,hand,ˈvɪŋˌɛ,²mɑːɡɛ,,,rʏɡ,,ˈjɛrˌta,,drɪkːa,ˈɛːˌta,,,,,,,,seː,,veːta,,,,soːva,leːva,,ˈdøːda,,ˈjɑːˌɡa,,ˈɧæːˌra,deːla,,,,,,ɡoː,ˈkɔmːa,lœŋn,,,,falːa,jeː,,,,,,,²ɧʉːta,,,,,ˈsɛjːa,,,flyːta,,,,suːl,ˈmoːˌnɛ,²ɧæːɳa,ˈvatːɛn,rɛŋn,fluːd,ɧøː,ɧøː,salt,,,dam,juːɖ,,,,vɪnd,snøː,,,ˈɛld,,,vɛːɡ,bɛrj,røːd,ɡrøːn,ɡʉːl,,svart,natː,,,varm,kal,fɵl,ny,,ɡuːd,ˈdoː.lɪ(ɡ),,,,,,,,voːt,,,,,,,poː,iː,meː(d),ɔ,ɔm,,namn
Indo-european,Germanic,Danish,da,da,jaj,du,han,,du,di,,dən,,dar,vɛm,vad,,vɔrnɔːr,,ekə,alə,manɡə,noən,fɔː,andrə,,toː,,fiːrə,,,lanɡ,,tyk,tɔnɡ,lilə,kɔrt,snɛvər,,ˈkʰvenə,,,barn,,mæn,,,dyːr,fesk,fuːl,hun,,,,trɛː,,kɛp,frɔɡt,sɛːd,blad,roːd,bark,,,tɔv,,,bloːd,knɔɡlə,fet,ɛːɡ,,haːlə,fjeːr,,hoːvəd,øːrə,øjə,ˈnɛːsə,mon,tan,tɔnɡə,najl,foːd,beːn,,hɔnˀ,,,,hals,,brøst,jɛrtə,leːvər,drekə,spiːsə,biːdə,,spøtɘ,,blɛːsə,ɔnə,leː,seː,høːrə,,,loɡt,,,leːvə,dø,,,ˈjaːɡə,slɔː,skɛːrə,,,,ɡraːvə,svœmə,fluːə,ɡɔː,kɔmə,løɡn,seðə,,drajə,,ɡiː,,,,,veskɘ,trɛkə,skɔbɘ,,benə,syː,,,sønɡə,lajə,,,,,soːl,,stjɛrnə,vand,ˈʁɑɪ̯ˀn,,søː,hav,salt,,san,støːv,joːr,,tɔːɡə,,ʋend,,iːs,røj,il,,,,bjɛrv,røːd,ɡrœn,ɡuːl,,soɐ̯d̥,nad̥,døjn,,,kɔl,fuld,nyː,ɡaməl,ɡoð,dɔːli,rɔdən,beskit,,,,sløːv,,vɔːd,tœːr,,nɛːr,,rɛt,,,,mɛd,ˈɒw,ves,,
