,krl,fi,liv,vot,et,vro,vep
krl,,,,,,,
fi,6.56123,,,,,,
liv,13.23616,12.90415,,,,,
vot,8.76819,7.57813,13.27916,,,,
et,11.77254,11.36643,13.27693,10.86112,,,
vro,11.71395,11.78387,13.5998,10.82152,6.95744,,
vep,10.2475,11.71065,14.18101,11.20334,10.85639,11.08677,
