word,uk,et,lt,vot,bo,ba,vro,tl,hi,te,km,sk,mjt,fy,gv,kfe,gdb,as,xmf,ru,gd,bfq,mt,da,kfa,ml,lo,ta,cs,ku,kru,la,ca,bn,ko,xub,ro,th,krl,brh,mk,sv,ug,vi,vep,be,tcx,zu,yi,kxv,nn,en,az,fr,kff,kn,el,ps,nl,hu,he,pt,it,fa,yea,tcy,fo,ka,mn,ny,oc,sl,bg,se,fi,pci,id,tg,lv,cy,lb,ga,br,sq,hy,pl,sva,my,liv,de,ms,ja,gl,sa,za,gon,ar,is,tr,af,lzz,kfb,ur,es
lake,ˈɔzerɔ,ˈjærʋ,ˈæːʒʲɛɾɐs,ˈʝɑrvi,*mt͡sʰo,kʏl,ˈjærv,,d͡ʒʱiːl,,pẏṅ,ˈjazɛrɔ,,,laːx,,,bil,tʼɔbä,ˈozʲɪrə,,,aˁːˈdiːr,søː,,,nɔːŋ˩˨,,ˈjɛzɛro,,,ˈla.kus,ˈʎak,,ɸʷo̞sʰu,,,saːp̚˨˩,ˈjærvi,,,ɧøː,køl,ho˨˩,ˈjærvʲ,ˈvozʲera,,íːǀʰiːɓí,,,,leɪk,ɡœl,lak,,,,,meːr,ˈtoː,,ˈla.ɣu,ˈlaɡo,dæɾjɒːˈtʃʰe,,,vaʰtn,tʼbä,nʊːr,ˈɲa.ⁿd͡ʒá,,ˈjéːzɛrɔ,ˈɛzɛro,ˈjaːvːriː,ˈjærʋi,,,kɵl,æzæɾs,ɬɨ̞n,zɜɪ,l̪ˠɔx,,liˈcɛn,lit͡ʃ,jɛˈʑɔ.rɔ,tʼɔb,kàɴ,ˈjoːrɑ,zeː,taseʔ,mʲizɨᵝɯ̟ᵝmʲi,ˈlaɣo̝,,hu˧˩,,bu.ħaj.ra,vaʰtn,ɟœl,,tʼɔbä,,,ˈla.ɡo
vomit,,ˈoksendɑmɑ,,ˈɤhsɤnɤɑ,,,ˈosːsːɤntɑmɑ,,,,k̥ʾuat,,,,,,,bɔ.mi kɔ.ɹa,rtsʼqʼiälä,blʲɪˈvatʲ,,,,,,,,,,,,ˈwo.moː,vo.miˈta,,ke̞uda̠,,,ʔaː˧.t͡ɕia̯n˧,ˈoksenduɑ,,ˈpɔvraca,,,non˧˧,ˈoksetɑ,,,,,,,ˈvɒmɪt,ɡusˈmɑχ,vɔ.miʁ,,,,,,ˈhaːɲ,,vu.mi.ˈtaɾ,vomiˈtare,,,,,rtsʼqʼɛvä,,,,,,,ˈoksentɑː,,,,,,ˈkɑtsən,ˈaʃɪɟ,,,,vɨ.mʲɔˈtɔ.vat͡ɕ,litʼχunɛ,ʔàɴ,ˈoksnɨ,ˌyːbɐˈɡeːbən,muntah,,,,,,ta.qaj.ja.ʔa,ˈaiːla,,,ɔntʰχɔru,,,
wind,ˈʋʲiter,ˈtuːl,ˈʋʲeːjɛs,ˈtuːli,*rluŋ,jɪ̞l,ˈtːuːl,ˈha.ŋin,ɦəʋaː,,k̥ʰyl´,ˈvi̯ɛtɔr,,,ɡiː,,,bɔtaʱ,bɔriä,ˈvʲetʲɪr,,,riːħ,ʋend,,,lom˦˥,,ˈviːtr̩,,,ˈwen.tus,,,pa̠ɾa̠m,,,lom˧,ˈtuːli,,ˈvɛtɛr,vɪnd,,zɔ˧˦,ˈtulːei,,,úmôːja,,,,ˈwɪnd,,vɑ̃,,,,bɑd,ʋɪnt,ˈseːl,ˈʁuax,ˈvẽ.tu,ˈvɛn.to,bɒːd,,,ˈvɪntʊɹ,kʰäri,saɮʲxʲ,ˈᵐpʰé.po,,,ˈvʲatər,ˈpie̯ɡːɡa,ˈtuːli,,,bɔːd,vɛ̄ːjʃ,,vant,ɡeː,ˈɑːvɛl,ɛːɹ,kʰɑˈmi,vʲatr,bikʰw,lè,ˈt̪uːʎ,vɪnt,aŋen,ka̠ze̞,ˈbento̝,ʋɑ́ː.t̪ɐ,ɣum˧˩,,riːħ,ˈvɪntʏr,ryzˈɟar,,iχi,,ɦəʋaː,ˈbjento
burn,,ˈpɤlemɑ,,ˈpɑlɑː,,,ˈpːɑlɑmɑ,,d͡ʒəl.nɑː,ka:lu,ṭut,,me:da,,,ka:to,tukud,zɔ.la,tʃʼuälä,ɡɐˈrʲetʲ,ɫ̪ɔʃɡ̊ʲ,kitʃi:kdə,,,tʃu:ɖə,katikkuga,,eɾi,ˈɦor̝ɛt,,olna,ˈaːr.de.oː,,,,bja:ɭ,,maj˥˩,ˈpɑluo,xa:xaɾ tinning,ˈɡɔɾi,,,t͡ɕaj˧˦,ˈpɑlɑdɑ,ɣaˈret͡sʲ,ti:kku ka:ttiti,,,,,bɝn,,bʁy.le,maɳɖu,suɖu,,,ˈbrɑndə(n),ˈeːɡ,,ɐɾˈdeɾ,,suːxˈtæn,tʃu:ɖə,pottaʋaɾa,,tsʼvä,,,,,,,ˈpɑlɑː,tūk,,,dekt,ˈɬɔsɡɪ,,d̪ˠoːɟ,,,ajɾˈvɛl,ˈpa.lʲit͡ɕ ɕɛ,liʃχi,làʊɴ,ˈpɑlːɨ,ˈbʀɛnən,,moju,,,,niɾus,ħa.ra.qa,ˈprɛnːa,,,ɔtʃʼu,gonɖka,dʒəlna,aɾˈdeɾ
sit,seˈdʲite,ˈistumɑ,sʲeːˈdʲeːtʲɪ,ˈisːuɑ,,,ˈisːtːmɑ,ʔu.mu.ˈpoʔ,bɛʈʰnaː,ku:ɾtʃo,ʾṅ̥guy,,hokpo,,,bʰulo:gam,undu,bɔɦ,dɔχunä,sʲɪˈdʲetʲ,,kuɭəʋə,ʔaˁːt,seðə,aɭe,iɾikkuga,naŋ˧˧,ukka:ɾə,ˈsɛɟɛt,,okʰna,ˈse.de.oː,ˈsɛw.ɾə,ˈbɔʃa,a̠nt͈a̠,ku:ɾsu,,naŋ˥˩,ˈistuo,tu:ling,,,,ŋoj˨˩,ˈiʃtːɑ,,eɾakkaɾ,,,,,sɪt,oturˈmɑχ,,kudda:,kuɭitiko,ˈkaθome,,ˈzɪtə(n),ˈyl,jaˈʃav,iʃ.ˈtaɾ,seˈdere,neʃæsˈt̪ʰæn,iɾaiku,kullaɾa,,dʒdɔmä,sʊːx,,,ˈsɛdèːti,sɛˈdʲɤ,,ˈistuɑ,tūk,,,,ˈei̯sdɛð,,sˠɪɟ,,ulɛm,nəsˈtɛl,ˈɕɛ.d͡ʑɛt͡ɕ,lisgwrɛ,tʰàɪɴ,ˈist̪ɨ,ˈzɪtsn̩,dudoʔ,sɨᵝɰᵝa̠ɾɯ̟ᵝ,,,,udda,d͡ʒa.la.sa,ˈsɪːtja,,,dɔχunu,udə,,senˈtaɾ
laugh,,ˈnɑermɑ,,ˈnɑgrɑː,,,ˈnɑːrtmɑ,,ɦə̃s.nɑː,,soec,ˈsmi̯ac sa,,ˈlai̯tsjə,,,,ɦɔɦa,dzitsä,smʲɪˈjat͡sːə,,,,leː,,,,,smaːt,ˈkɛniːn,,ˈriː.de.oː,ˈriw.ɾə,,ˈuːt̚t͈a̠,,,kʰam˩˩˦,ˈnɑkruɑ,,sɛ ˈsmɛ.ɛ,,,kɨəj˨˩,ˈnɑgrdɑ,,,,,,,laːf,ɡylmæc,ʁiʁ,,,,,ˈlɑxə(n),ˈnɛvɛt,t͡saˈχak,ˈʁiɾ,ˈri.de.re,xænd̪iːˈd̪æn,,,,sitsili,,,,,,ˈt͡ʃajːpmah(t),ˈnɑurɑː,,,xændidæn,,,ˈlaːχən,ɡɑːɾʲ,,cɛʃ,t͡sit͡sɑˈʁɛl,ɕmʲat͡ɕ ɕɛ,litswnäl,jì,ˈnɑgrɨ,ˈlaχn̩,tawə,ɰᵝa̠ɾa̠ɯ̟ᵝ,,,,,dˁa.ħik,ˈl̥aiːja,,ɫɐχ,dzitsini,,,
tail,,ˈsɑbɑ,,ˈæntæ,,qʊ̞j.ˈrʊ̞q,ˈhɑnt,,pũːt͡ʃʰ,vālamu,kn̥duy,ˈxvɔst,oli,,,ʋa:lə,kindiɾ,nɛz,kʼudɛli,xvost,,pa:lə,,haːlə,ba:lə,ʋa:lə,,ʋa:lə,ɔtsas,,kʰola,ˈkau̯.da,ˈku.ə,,k͈o̞ɾi,ba:lə,ˈkʷadə,haːŋ˩˩˦,ˈhæntæ,liʈʈik,ˈɔpaʃka,svans,,ʔɗuəj˧˧,ˈhænd,xvost,po:ɾsam,úm̩sîːla,,,,teɪl,ɡujˈruɣ,kø,toka:ɾ,ba:la,,,staːrt,ˈfɒrok,,ˈʁa.bu,ˈkoda,dæm,ba:lu,bi:la,,kʼudi,,ˈmt͡ʃí.ɽa,,ˈrɛ́p,,,ˈhæntæ,tōka,,dum,astɛ,ˈkənfɔn,,ˈɾˠɨbˠəl̪ˠ,,,pɔt͡ʃʰ,ˈɔ.ɡɔn,hækʼwɛd,ʔəmí,ˈt̪ɑbɑːr,ʃvant͡s,eko(r),ɕip̚po̞,ˈraβo̝,,,tokoɾ,ða.nab,ˈhaːlɪ,kujɾuc,,kʼudɛli,to:ka,,ˈkola
mouth,ˈrɔt,ˈsuː,bʊrˈnɐ,ˈsuː,*kʰa,ɑˈwɯ̞ð,ˈsːuː,,mũːʱ,no:ɾu,māt´,ˈuːsta,toɾo,ˈmulə,ˈbiəl,ʋa:ji,tʃa:lu,mukʰ,pʼidʒi,rot,piaɫ̪,pe,ħɐlʔ,mon,ba:ji,ʋa:ja,,ʋa:ji,ˈuːsta,ˈdɛv,baji,oːs,ˈbo.kə,mukʰ,ip̚,ba:jə,,paːk̚˨˩,ˈsuː,ba:,,mɵn,,miəŋ˧˨ʔ,ˈsu,rot,po:i,uḿ̩loːmo,,guʈi,,maʊθ,ɑˈɣɯz,buʃ,pavu:ɾ,ba:ji,,xwlə,mɔnt,ˈsaːj,,ˈbo.kɐ,ˈbokka,d̪æˈhɒːn,ba:ji,ba:ji,,pʼiri,am,ˈka.mʷa,buko,ˈùːsta,usˈta,,ˈsuː,vāy,,dæˈhɔːn,mutɛ,keːɡ,mont,bʲia̯l̪ˠ,ˈɡɵ̃ː.nu,ˈɡɔjə,bɛˈɾɑn,ˈu.sta,pʼil,pəzaʔ,ˈsuː,mʊnt,mulot,kutu,,ɑ́ːs̪,paːk˧˥,toɖɖi,fam,ˈmʏnːʏr,aːɯz,mɔnt,pʼidʒi,mu:ti,,ˈboka
grass,,ˈrohi,ʒoˈlʲeː,ˈroho,*rt͡sʷa,ʏˈlæn,ˈhɑin,daˈmo,,,s̥mau,ˈtraːva,,ɣɛːs,feːə,,,ɡʱãʱ,tʼqʼä,trɐˈva,ˈfiəɾ,,ħɐˈʃiːʃ,,,,ɲaː˨˩,,ˈtraːva,,,ˈher.ba,ˈeɾ.bə,,,,ˈjar.bə,jaː˥˩,ˈheinæ,,,,,kɔ˧˩,ˈhein,,,útʃâːni,ɡʁɔz,,ɡrɑːs,ɡɹɑːs,,ɛʁb,,,,,ɣrɑs,ˈfyː,ˈdeʃe,ˈɡɾɐ̃mɐ,ˈɛrba,sæbze,,,kɹɛaːs,bäläχi,ows,ˈu.d͡zú,ˈɛrβo,ˈtràːʋa,trɛˈva,ˈsitnuː,ˈruoho,,,sæbzæ,,ˈɡlaswɛɬd,ɡʀaːs,fʲeːɾˠ,ˈɡɛwt,baɾ,χɔt,ˈtra.va,mɛl,mjɛʔ,ˈɑːinɑ,ɡʁaːs,,kɯ̟̊ᵝsa̠,ˈɛɾβa̝,t̪ŕ̩.ɳɐ,ɲɯ˥,,ħa.ʃiːʃ,kraːs,ɔt,,tʼkʼä,,,ˈpas.to
who,ˈxtɔ,ˈkes,,ˈtʃen,*su,kɪ̞m,ˈkːiæ,,kɔːn,evaru,ʾ̥nkṇā,kto̞,ne:du,,,da:ɾə,tukud,,mi,kto,koː,ta:ɾa,,vɛm,da:ɾə,a:ɾə,,jaarə,ɡdo,,ne,kʷis,ˈki,,nuɡu,da:ɾə,,kʰraj˧,ˈken,de:ɾ,kɔj,,,ʔaːj˧˧,ˈken,xto,oɾi,úɓaːní,,daat,,hw,kim,ki,be:nonɖu,ja:ɾu,,,ʋi,ˈki,,kẽ(j̃),k̟i,kʰej,ja:ɾu,je:ɾu,kvøːr,vin,,ˈⁿda.ní,,ˈɡdòː,kɔj,,ˈkukɑ,ed,,,,puːɨ̯,,ceː,piv,kuʃ,ɔv,ktɔ,jær,bəθù,ˈkis,veːɐ̯,siapə,tare,,kɐ,,boɾ,mann,xʷɛːr,cim,,min,bʰu:mi,,ˈkjen
thin,,ˈɤhuke,,ˈɤhud,,jʊ̞ˈqɑ,ˈohkːu,,pət̪.lɑː,,s̥ṭoeṅ,ˈcɛŋkɔ,,,,,,,tʰχitʰχu,ˈtonkʲɪj,,,,,,,baːŋ˩˨,,ˈtɛŋkiː,,,supˈtiː.lis,,,ka̠nɯɭda̠,,slab,baːŋ˧,ˈlætːy,,ˈtɛnɔk,,,mawŋ͡m˧˩,ˈkyrzʲ,ˈtonkʲi,,,,,,ˈθɪn,,mɛ̃s,,,,,,ˈveːkoɲ,,ˈfi.nu,sotˈtile,,,,,tʰχɛli,,,,,ˈtɤnək,,ˈohut,,,,tiêws,ˈtɛnaɨ̯,den,keːl̪ˠ,,,bɑˈɾɑk,ˈt͡ɕɛn.kʲi,dətʰχɛl,pá,ˈvʊit̪i,dʏn,,,,,,,,ˈθʏnːʏr,inˈdʒɛ,,tʰitʰχu,,,ˈfino
stand,,ˈseismɑ,,ˈsɤizoɑ,,,ˈsːɑisːmɑ,,,niltʃonu,jʰr,ˈstaːc,hilpo,ˈsteən,,ninnatukə,tukud,tʰiɔ ɦʊa,gɛrinä,stɐˈjætʲ,,nippə,,,nində,nilkuga,,nil,staːt,,idʒdʒna,stoː,,d̪aɽano,sʰʌ̹da̠,ə:ɭ,,jɯːn˧,ˈseisuo,saling,,,,ʔɗɨŋ˧˦,ˈseiʃtɑ,,mukkaɖuɾil,,,,,stænd,daˈjɑnmɑχ,ɛ.tʁə d(ə).bu,nilla,nintiko,ˈstekome,,staːn,ˈaːlː,(ʕ)amad,pɨɾ.mɐ.nɨ.ˈseɾ,,iːstʰɒːˈdæn,nindʒo,untaɾa,,dgɔmä,t͡sɔɡsəx,,,,,,ˈseisoɑ,nilp,,,stāːvɛ̂ːt,ˈsɛvɨ̞ɬ,ˈʃtoːən,ʃasˠ,,ri,kɑŋɡˈnɛl,stat͡ɕ,lignɛ,jaʔ,ˈpiːlɨ,ˈʃteː.ən,,ta̠t͡sɨᵝ,,,,nil,wa.qa.fa,ˈstanta,,,dɔdginu,ni:ma:n,,
