word,uk,et,lt,vot,bo,ba,vro,tl,hi,te,km,sk,mjt,fy,gv,kfe,gdb,as,xmf,ru,gd,bfq,mt,da,kfa,ml,lo,ta,cs,ku,kru,la,ca,bn,ko,xub,ro,th,krl,brh,mk,sv,ug,vi,vep,be,tcx,zu,yi,kxv,nn,en,az,fr,kff,kn,el,ps,nl,hu,he,pt,it,fa,yea,tcy,fo,ka,mn,ny,oc,sl,bg,se,fi,pci,id,tg,lv,cy,lb,ga,br,sq,hy,pl,sva,my,liv,de,ms,ja,gl,sa,za,gon,ar,is,tr,af,lzz,kfb,ur,es
smooth,,ˈsile,,ˈlɑkːɑ,,,ˈsːilːe,,t͡ʃɪk.nɑː,,,,,,,,,,värkʼälä,ˈɡlatkʲɪj,miːn,,,,,,,,ˈɦlatkiː,,,ˈɡla.ber,,,me̞k͈ɯɾʌ̹p̚t͈a̠,,ˈne.ted,ria̯p̚˥˩,ˈtɑzɑine,,,,,faŋ˧˩,ˈtɑzo,ˈɣɫatkʲi,,,,,,smuːð,,lis,,,,,ɣlɑt,ˈʃimɒ,,ˈli.zu,ˈliʃʃo,,,,,pʼriälä,,,,,,,ˈtɑsɑinen,,,,,,ɡlaːt,kiːnʲ,,,hɑɾtʰ,ˈɡwat.kʲi,mərkʼənɛ,t͡ɕʰɔ́,ˈt̪ɑzzi,ɡlat,,,,,,,naː.ʕim,ˈstljɛhtʏr,,,pʰrändɛri,,,ˈliso
knee,,ˈpɤlʋ,ˈkʲæ̌ːlʲɪs,ˈpɤlvi,,tuˈβɯ̞q,ˈpːɤlv,,ɡʱʊʈ.nɑː,mo:ka:lu,jṅ̥gṅ´,ˈkɔlɛnɔ,mu:ka,,ɡlʲuːnʲ,mo:ga:l,ʋangul,atʰu,birguli,kɐˈlʲenə,,muʈʈi,,,maɳɖi,muḻaṅkāl,,muḻaṅkāl,ˈkolɛno,,muka,ˈɡe.nuː,ʒəˈnoʎ,ˈɦaʈu,muɾɯp̚,mannga:lə,dʒeˈnunkʲ,kʰaw˨˩,ˈpolvi,go:ɖ,,,tiz,ʔɗəw˨˩ ɣoj˧˦,ˈkomb,kaˈlʲena,muʈʈi,íːdoːlo,knɪ,mendaja,,niː,,ʒə.nu,mo:ka:l,muṇakālo,ˈɣɔnatɔ,,kni,ˈteːrd,,ʒu.ˈe.ʎu,dʒiˈnɔkkjo,zɒːˈnuː,mu:leka:lə,meɳaka:ləganʈu,knɛaː,muχli,owtəɡ,ˈɓó.ⁿdo,(d)ʒeˈnul,kɔˈlèːnɔ,koˈlʲano,,ˈpolʋi,tūk,,zɔːnu,tsɛlis,,knɜɪ̯,ɡl̪ˠuːnʲ,ˈɡliːn,,t͡suŋk,kɔˈla.nɔ,kʰutʰul,dú,ˈpuːolɑ,kniː,lutot,çiza̠,ʃeˈonʎo̝,d͡ʑɑ́ː.n̪u,,tongɾa,ruk.ba,n̥jɛː,,,burgili,muɖsu,,roˈdiʎa
give,,ˈɑndmɑ,ˈduɔtʲɪ,ˈɑnːɑː,,,ˈɑntmɑ,,d̪eː.nɑː,itʃtʃu,o̥y,,tʃiba:h,jaːn,,tej,tʃi,,mɛtʃämä,dɐˈvatʲ,,koɖu,,ɡiː,koɖi,koɖukkuga,mɔːp˥˦,kuɖə,ˈdaːvat,,tʃihna,doː,doˈna,,t͡ɕuda̠,koɖ,da,haj˥˩,ˈɑntuɑ,tinning,,jeː,,t͡ɕɔ˧˧,ˈɑntːɑ,,ittʃadta,,,taa,,ɡɪv,verˈmæk,dɔ.ne,i:m,koɖu,,,ˈɣeːvə(n),ˈɒd,,ˈdaɾ,ˈda.re,d̪ɒːˈd̪æn,koɖu,koɾo,t͡ʃeːʋa,mitsɛmä,oɡəx,ˈpa.t͡sa,,ˈdati,ˈdavəm,,ˈɑntɑː,cī,bəri,dɔːdæn,duôt,r̥ɔi̯,,ˈt̪ˠuːɾʲ,ˈrɛĩ,,tɑl,ˈda.vat͡ɕ,lihwdi,pé,ˈɑnd̪ɨ,ˈɡeːbən,bəri,*ataperu,,,haɯ˥,hi,ʔaʕ.tˁaː,ˈcɛːva,veɾ.mec,,mɛtʃämu,si:ta:n,d̪ena,ˈdaɾ
road,dɔˈrɔɦɐ,ˈteː,ˈkælʲɐs,ˈteː,,jul,ˈtːiː,,səɽək,ma:ɾgamu,p̥ʰlūv,ˈt͡sɛsta,pa:odu,,reːd̪,ta:ɾi,rasta,bat,ʃärä,dɐˈroɡə,,ta:ɾi,triːʔ,,ba:te,ʋaɻi,,vaḻi,ˈt͡sɛsta,,ɖahaɾe,ˈwi.a,kə.rəˈte.ɾə,ɾast̪a,kiɭ,baʈʈi,,tʰa˨˩.non˩˩˦,ˈtie,saɖak,,vɛːɡ,,ʔɗɨəŋ˨˩,ˈte,,a:laɾ,uḿ̩ɡwaːǃo,,,,ɹəʊd,,ʁut,aɾɾi,mārga,ˈðromos,wɑʈ,baːn,ˈuːt,,iʃ.ˈtɾa.ðɐ,ˈstrada,,raste,paɾvata,ˈveːvʊɹ,gzä,,mˈse.(w)u,,ˈtsèːsta,pɤt,,ˈtie,pāv,,,tsɛʎʃ,,,ˈbˠoːhəɾˠ,hɛ̃nd,ˈruɡə,t͡ʃɑnɑˈpɑɾ,ˈdrɔ.ɡa,ʃukʼw,láɴ,ˈrie̞k,ˈʃtraːsə,d͡ʒalan,dau,esˈtɾaða̝,,lo˧,haɾɾi,tˁa.riːq,ˈvɛːɣʏr,jɔɫ,pɑt,gzä,daaɾ,səɽək,kaˈmino
night,ˈnʲit͡ʃ,ˈøː,nɐkˈtɪs,ˈøː,,tʏ̞n,ˈɨː,ɡɐˈbi,ɾɑːt̪,ɾa:tɾi,yp´,ˈnɔt͡s,ɾa:ti,ˈnaxt,ɛi,e:lumaɾam,tukud,ɹati,sɛri,not͡ɕ,,iɾə,lɛjl,nad̥,bajiʈə,ɾa:tɾi,,iɾa:ʋə,not͡s,ˈʃɛv,ma:ha,noks,ˈnit,,pa̠m,ədlə,ˈno̯ap.te,klaːŋ˧.kʰɯːn˧,ˈyø,nam,nɔc,natː,,ʔɗem˧˧,ˈø,not͡ʂ,ekka:ɖə,úɓusûːɠu,,la:n,nɑtː,naɪt,,nɥi,mulipe,ɾa:tɾi,ˈnixta,,nɑxt,ˈeːjsɒkɒ,ˈlaj.la,ˈnoj.tɨ,ˈnɔtːe,ʃæb,andi,ɾa:tɾe,nɔʰtː,ʁämɛ,,,ˈnɥɛtʃ,noːtʃ,nɔʃt,ˈiɟɟa,ˈyø,tūk,ˈmalam,,nakts,noːs,ˈnuə̯ɕt,ˈiːhə,,ˈnaːt,ɡiˈʃɛɾ,nɔt͡s,lɛtʰ,ɲa̰,ˈiːe̞,naxt,,⟨yo1ru⟩,ˈnojt̪ɪ,ɽɑ́ːt̪.ɽi,hɯn˧˩,naɾkaɖ,laj.la,nouʰt,ɟe̞ˈdʒɛ,naχ,sɛri,siɾbedin,raːt̪,ˈnot͡ʃe
and,ˈi,ˈjɑ,,ˈʝɑ,*daŋ,hæm,ˈjɑ,at,ɔːɾ,,nẏṅ,,,ɛn,,,,a.ɹu,dɔ,i,,,,ˈɒw,,,lɛʔ˦,,a,ˈuː,,et,ˈi,,wa̠,,ʃi,lɛʔ˦˥,ˈtɑ,,i,ɔ,,vaː˨˩,ˈdɑ,i,,nʱa,ʊn,,oː,ænd,,e,,,ce̞,aw,ɛn,ˈeːʃ,,ˈɛ,e,o,,,oː,dä,,,,in,i,ˈja,ˈjɑ,,dan,,ùn,,an,ˈɑɡəsˠ,,ðɛ,ɛv,i,i,nɛ̰,ˈjɑ,ʊnt,dan,to̞,,t͡ɕɐ,ɕau˧˥,,waːw,ɔːɣ,ve,ɛn,dɔ,,,ʝ
freeze,,ˈkylmumɑ,,ˈʝæːtyæ,,,ˈkːylmæmæ,,d͡ʒəm.nɑː,,,,,,,,,,ʔinuä,zəmʲɪrˈzatʲ,rˠɔː,,,,,,,,ˈzmr̩zˌnɔʊ̯t,,,ˈɡe.loː,,,ˈɘːɭda̠,,,kʰɛŋ˩˩˦,ˈjiædyø,,,,,ʔɗawŋ͡m˧˦ ʔɓaŋ˧˧,ˈjædudɑ,,,,,,,ˈfɹiːz,,ʒə.le,,,,,bəˈvrizə(n),,,ʒe.ˈla(ɻ),dʒeˈlare,,,,,gäqʼinvä,,,,,,,ˈjæːtyæ,,,,,,ˈfʀei̯ʀen,,,,,zaˈmar.zat͡ɕ,likʼwrɛmi,,ˈkilmɨ,ɡəˈfʁiːʁən,,,ʃeˈaɾ,,,,,ˈfrjouːsa,,,ɔqʼinu,,,eˈlaɾ
cold,xɔˈlɔdnei̯,ˈkylm,ˈʃaltɐs,ˈtʃylmæ,*ɡraŋ.mo,hɯ̞.ˈwɯ̞q,ˈkːylm,laˈmiɡ,ʈʰən.ɖɑː,tʃalla,rṅā,,panija:,,,koɾʋə,tukud,,ʔini,xɐˈlodnɨj,fuəɾ,koɾuʋə,ˈkɪːsɐħ,kɔl,talindʒadə,taɳuppə,,kuɭiɾtʃi,ˈstudɛniː,,ki:ɾna,ˈal.ɡi.dus,ˈfɾət,,t͡ɕʰa̠n,səjlijə,ˈret͡ʃe,jen˧,ˈkylmæ,jakʰ,,kal,,lajŋ̟˧˨ʔ,ˈkɑuged,xaˈɫodnɨ,koɾti,,,,,kəʊld,soˈjuχ,fʁwɑ,salla:,taɳɳige,,soɻ,kɑu̯t,ˈhidɛɡ,,ˈfɾi.u,ˈfreddo,sæɾd,taɳidʒe,tʃappa,,tsivi,,,,,stuˈdɛn,,ˈkylmæ,pañil,,,āūksts,oːɨ̯r,kaːl,fˠuəɾˠ,,,ˈsɑrə,ˈʑim.nɨ,mətsχi,ʔé,ˈkiːlmɑ,kalt,səd͡ʒoʔ,t͡sɨᵝme̞ta̠i,ˈfɾiʊ,,,sallag,baː.rid,ˈkʰaltʏr,soˈɰuk,kœut,qʼini,pani,,ˈfɾio
worm,,ˈusː,,ˈmɑokːɤin,,qʊ̞rt,ˈhusː,,kiː.ɽɑː,,ṭṅ̥kūv,ˈt͡ʃɛrw,,,beˈʃtʲeːɡ,,,,tʃʼiä,t͡ɕerfʲ,,,,,,,,,ˈt͡ʃɛrf,,,ˈwer.mis,ˈkuk,,,,,nɔːn˩˩˦,ˈuotːø,,,,,zun˧˧,ˈtʃundtʃ,,,isíɓuːnɡú,,,,wɜːm,,vɛʁ,,,sku.ˈli.ci,,,ˈkukɒt͡s,toˈla(ʔ)at,ˈvɛɾ.mɨ,ˈvɛrme,,,,,tʃʼiä,,,,ˈtʃə́rw,ˈtʃɛrvɛj,,ˈmɑto,,,kirm,,,muə̯t,pʲeːʃtʲ,pʁɛ̃,kɾimb,vɔɾtʰ,ˈrɔ.bak,mətʼ,tìɡàʊɴ,ˈborʲ,,,d͡zẽ̞ɲ̟t͡ɕɨᵝː,ˈbɛɾme̝,,,,duː.da,ˈmaθkʏr,,,tsʼitsʼi,,kiɽa,ɡuˈsano
five,ˈpjɑtʲ,ˈʋiːs,,ˈviːz,*lŋa,bʲiʃ,ˈviːsː,liˈma,pɑ̃ːt͡ʃ,,p̥rāṃ,ˈpɛc,,,kwɛɡ,,,pãs,χutʰi,pʲætʲ,koːɡ̊ʲ,,,,,,haː˨˩,,ˈpjɛt,,,ˈkʷiːn.kʷe,ˈsiŋk,,ta̠sʰʌ̹t̚,,t͡ʃint͡ʃʲ,haː˥˩,ˈviːsi,,,fɛm,bɛʃ,nam˧˧,ˈviʒ,,,,fɪnf,,,faɪv,beʃ,sɛ̃k,,,ˈpe̞(n)de̞,pinˈdzə,vɛi̯f,ˈøt,,ˈsĩ.ku,ˈt͡ʃin.kwe,pʰænd͡ʒ,,,fɪmː,χutʰi,tʰaw,,siŋk,péːt,,ˈvihːta,ˈʋiːsi,,,,pìɛtsi,pɨ̞mp,ˈfenef,kuːɟ,ˈpɛmp,pɛs(ə),hiŋɡ,pʲɛɲt͡ɕ,wɔχuʃd,ŋá,ˈviːʒ,fʏnf,limə,it͡sɨᵝ,,pɐ́ɲ.t͡ɕɐn̪,,,xam.sa,fɪmː,beʃ,,χutʰ,,pãtʃ,ˈθinko
