Family,Group,Language,Code,Code2,#,I,thou,he,we,you,they,this,that,here,there,who,what,where,when,how,not,all,many,some,few,other,one,two,three,four,five,big,long,wide,thick,heavy,small,short,narrow,thin,woman,man,human,child,wife,husband,mother,father,animal,fish,bird,dog,louse,snake,worm,tree,forest,stick,fruit,seed,leaf,root,bark,flower,grass,rope,skin,meat,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,leg,knee,hand,wing,belly,guts,neck,back,breast,heart,liver,drink,eat,bite,suck,spit,vomit,blow,breathe,laugh,see,hear,know,think,smell,fear,sleep,live,die,kill,fight,hunt,hit,cut,split,stab,scratch,dig,swim,fly,walk,come,lie,sit,stand,turn,fall,give,hold,squeeze,rub,wash,wipe,pull,push,throw,tie,sew,count,say,sing,play,float,flow,freeze,swell,sun,moon,star,water,rain,river,lake,sea,salt,stone,sand,dust,earth,cloud,fog,sky,wind,snow,ice,smoke,fire,ash,burn,road,mountain,red,green,yellow,white,black,night,day,year,warm,cold,full,new,old,good,bad,rotten,dirty,straight,round,sharp,dull,smooth,wet,dry,correct,near,far,right,left,at,in,with,and,if,because,name
Indo-european,Italic,Sicel,scx,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Lusitanian,xls,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Portuguese,pt,pt,193,ˈew,tu,ˈe.li,ˈnɔʃ,tu,ˈe.lɨʃ,ˈɛʃ.tɨ,ˈe.sɨ,ɐˈki,ɐ.ˈi,kẽ(j̃),u ˌki,ˈõ.d͡ʒi,ˈkwɐ̃.du,ˈko.mu,nɐ̃w̃,ˈto.ðu,ˈmũj̃.tuʃ,al.ˈɡũʃ,ˈpow.kuʃ,ˈo(w).tɾu,ˈũ,ˈdojʃ,ˈtɾeʃ,ˈkwa.tɾu,ˈsĩ.ku,mɐjˈɔɾ,ˈlõ.ɡu,ˈlaɾ.ɡu,iʃ.ˈpe.su,pɨ.ˈza.ðu,pɪ.ˈke.nʊ,ˈkuɾ.tu,iʃ.ˈtɾɐj.tu,ˈfi.nu,muˈʎɛɾ,ˈɔmẽɪ̯,u.ˈmɐ.nu,ˈfi.ʎu,es.ˈpo.za,ma.ˈɾi.du,mɐ̃j̃,paj,ˌɐ.ni.ˈmaw,ˈpɐjʃɨ,ˈpa.sa.ɾu,ˈkɐ̃w̃,pi.ˈo.ʎu,ˈkɔ.bɾa,ˈvɛɾ.mɨ,ˈaɾ.vu.ɾɨ,floˈɾɛs.ta,ˈpaʊ,ˈfɾu.ta,sɨˈmẽtɨ,ˈfo.ʎɐ,ʁa.ˈis,,ˈfloʁ,ˈɡɾɐ̃mɐ,ˈkɔɾ.dɐ,ˈpɛ.lɨ,ˈkaɻ.ne,ˈsɐ̃.ɡɨ,ˈo.su,ɡoɹ.ˈdu.ɾa,ˈo.vu,ˈʃi.fɾɨ,ˈʁa.bu,,kɐ.ˈβe.lu,kɐ.ˈβe.sɐ,o(w).ˈvi.ðu,ˈo.ʎu,nɐˈɾiʃ,ˈbo.kɐ,ˈdẽ.tɨ,ˈlĩ.ɡwɐ,ˈu.ɲɐ,ˈpɛ,ˈpɛɾ.nɐ,ʒu.ˈe.ʎu,ˈmɐ̃w̃,ˈa.zɐ,bɐ.ˈʁi.ɡɐ,,pɨʃ.ˈko.su,ˈkɔs.tas,ˈsɐj.u,ko.ɾa.ˈsɐ̃w̃,ˈfi.ɡɐ.du,be.ˈbeɾ,ko.ˈme(ʁ),muɾˈðeɾ,,kuʃ.ˈpiɾ,vu.mi.ˈtaɾ,suˈpɾaɾ,ʁɨʃ.pi.ˈɾaɾ,ˈʁiɾ,veɾ,owˈviɾ,sɐ.ˈbeɾ,pẽˈsaɾ,ˈʃɐj.ɾu,ˈme.du,duɾ.ˈmiɾ,viˈveɾ,mu.ˈʁeɾ,ma.ˈta(ʁ),lu.ˈtaɾ,kɐ.ˈsaɾ,ɡow.pe.ˈaɾ,kuɾˈtaɾ,pɐɾ.ˈtiɾ,,ko.ˈsa(ɻ),,nɐˈðaɾ,ˈmos.ka,ɐ̃.ˈdaɾ,ˈviɾ,mẽ.ˈti.ɾɐ,iʃ.ˈtaɾ,pɨɾ.mɐ.nɨ.ˈseɾ,,kɐˈiɾ,ˈdaɾ,ˌse.ɡu.ˈɾa(ɹ),,ˌes.fɾe.ˈɡa(ɻ),lɐˈvaɾ,ˌes.fɾe.ˈɡa(ɻ),pu.ˈʃa(ɹ),ẽ.pu.ˈʁaɾ,lɐ̃.ˈsaɾ,ɐˈtaɾ,,kõ.ˈtaɾ,di.ˈzeɾ,kɐ̃ˈtaɾ,ʒu.ˈɣaɾ,,,ʒe.ˈla(ɻ),ĩ.ˈʃa(ɹ),ˈsɔɫ,ˈlu.ɐ,ɨʃˈtɾelɐ,,ˈʃu.vɐ,ˈʁi.u,ˈla.ɣu,maɾ,ˈsaɫ,ˈpɛ.dɾɐ,ɐˈɾɐjɐ,ˈpɔ,ˈtɛʁɐ,ˈnu.vɐj̃,nɨ.ˈvwɐj.ɾu,ˈsɛw,ˈvẽ.tu,ˈnɛ.vɨ,ˈʒe.lu,ˈfu.mu,ˈfo.ɣu,,ɐɾˈdeɾ,iʃ.ˈtɾa.ðɐ,mõ.ˈtɐ.ɲɐ,vɨɾ.ˈmɐ(j).ʎu,ˈveɾ.ðɨ,ɐ.mɐ.ˈɾɛ.lu,ˈbɾɐ̃.ku,ˈne.ɡɾu,ˈnoj.tɨ,ˈdi.ɐ,ˈɐ.nu,,ˈfɾi.u,ˈʃɐj.u,ˈno.vu,ˈvɛ.ʎu,bõ,ʁuˈĩ,ˈpo.ðɾɨ,ˈsu.ʒu,ˈʁɛ.tu,ʁɨ.ˈdõ.du,a.fi.ˈa.du,ˈsɛ.ɣu,ˈli.zu,muˈʎaðu,ˈse.ku,ku.ˈʁɛ.tu,ˈpɛɾ.tu,ˈlõ.ʒɨ,d͡ʒiˈɾejtu,iʃ.ˈkeɾ.ðu,ˈa,ẽj̃,kõ,ˈɛ,sɨ,poʁ.ˈke,ˈno.mɨ
Indo-european,Italic,Galician,gl,gl,76,ˈew,,ˈel,,,,,,,,,,ˈonde̝,,,ˈnʊŋ,,,,,,,,,,,,,,,,peˈkeno̝,,,,muˈʎɛɾ,ˈɔmɪ,,ˈne.na,esˈposa̝,,ˈnaj,,,ˈpejʃe̝,,,,ˈsɛɾpe̝,ˈbɛɾme̝,,ˈbɔske,,ˈfɾojta̝,seˈmɛnte̝,ˈfo.ʎɐ,raˈiθ,,,ˈɛɾβa̝,,,,,ˈɔso̝,,ˈɔ.βʊ,ˈkɔɾno̝,ˈraβo̝,ˈplumɐ,kaˈβ̞elʊ,ˈtɛsta̝,,ˈoʎʊ,naˈɾiθ,,,,,ˈpɛ,,ʃeˈonʎo̝,,aː,banˈduʎo̝,,pesˈkoθo̝,ˈlombo̝,,,,,,,t͡ʃuˈt͡ʃaɾ,kusˈpiɾ,,,,,,ɔˈiɾ,,,,,,,,,,,,,,,,eskaˈβaɾ,,ˈmoska̝,,,,,,,,,,espɾeˈmeɾ,,,,,,,,,,diˈθiɾ,,,,,ʃeˈaɾ,,s̺ol,ˈluɐ,es̺ˈtɾelɐ,ˈaw.ɡa,ˈt͡ʃuβja̝,ˈri.o̝,ˈlaɣo̝,,s̺al,ˈpɛðɾɐ,ˈʃaβɾe̝,pɔ,,,ˈnɛβo̯a̝,ˈθɛ.ʊ,ˈbento̝,ˈnɛβɪ,ˈʃe.ʊ,ˈfume̝,ˈlu.mɪ,,,esˈtɾaða̝,monˈtaɲa̝,beɾˈmeʎo̝,ˈbeɾðe̝,,ˈbɾaŋkʊ,ˈneɣɾʊ,ˈnojt̪ɪ,ˈd̪iɐ,,ˈkɛnt̪ɪ,ˈfɾiʊ,ˈt͡ʃeo̝,ˈnɔ.βʊ,,ˈbo,,ˈpoðɾe̝,,,reˈðondo̝,,,,,,,,,,,,,ko̝ŋ,,,,
Indo-european,Italic,Asturian,ast,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Spanish,es,es,179,ɟ͡ʝo,ˈtu,el,noˈsotɾos,ˈtu,ˈeʎos,ˈeste,ˈese,aˈki,aˈʎi,ˈkjen,ˈke,ˈdonde,ˈkwando,ˈkomo,no,ˈtodos,ˈmut͡ʃos,,,ˈotɾo,ˈuno,dos,tɾes,ˈkwatɾo,ˈθinko,maˈɟ͡ʝoɾ,ˈlarɡo,ˈaɲ.tʃo,ˈɡɾweso,peˈsado,peˈkeɲo,ˈkorto,es̺ˈtɾe.tʃo,ˈfino,muˈxeɾ,ˈombɾe,uˈma.no,ˈixo,esˈposa,maˈɾido,ˈmadɾe,ˈpadɾe,aniˈmal,ˈpeθ,ˈpaxaɾo,ˈpero,ˈpjo.xo,serˈpjente,ɡuˈsano,ˈarbol,ˈboske,,ˈfɾuta,,ˈoxa,raˈiθ,korˈteθa,ˈfloɾ,ˈpas.to,ˈkwerda,,ˈkarne,ˈsanɡɾe,ˈweso,ˈɡɾasa,ˈwebo,ˈkwerno,ˈkola,ˈpluma,kaˈbeʎo,kaˈbeθa,oˈido,ˈoxo,naˈɾiθ,ˈboka,ˈdjente,ˈlenɡwa,ˈu.ɲa,pje,ˈpjerna,roˈdiʎa,ˈmano,ˈala,bäˈriɣä,,ˈkweʎo,esˈpal.da,ˈpet͡ʃo,koɾaˈθon,ˈiɡado,beˈβeɾ,koˈmeɾ,,t͡ʃuˈpaɾ,eskuˈpiɾ,,,,,ˈbeɾ,oˈiɾ,saˈbeɾ,penˈsaɾ,,ˈmjedo,dorˈmiɾ,biˈbiɾ,,maˈtaɾ,peleˈaɾ,kaˈθaɾ,,,parˈtiɾ,apuɲaˈlaɾ,rasˈkaɾ,ekskaˈbaɾ,naˈdaɾ,ˈmoska,kamiˈnaɾ,beˈniɾ,menˈtiɾa,senˈtaɾ,,xiˈɾaɾ,kaˈeɾ,ˈdaɾ,aɡwanˈtaɾ,ekspɾiˈmiɾ,,,limˈpjaɾ,tiˈɾaɾ,empuˈxaɾ,,aˈtaɾ,ko.ˈser,konˈtaɾ,deˈθiɾ,kanˈtaɾ,xuˈɡaɾ,,ˈflwiɾ,eˈlaɾ,,ˈsol,ˈluna,esˈtɾeʎa,ˈaɡwa,ˈʎubja,ˈri.o̞,ˈla.ɡo,ˈmaɾ,sal,ˈpjedɾa,aˈɾena,ˈpol.bo,ˈtje̞.ra̠,,,firmaˈmento,ˈbjento,ˈnjebe,ˈɟ͡ʝelo,ˈumo,ˈfweɡo,θeˈniθa,aɾˈdeɾ,kaˈmino,monˈtaɲa,ˈroxo,ˈberde,amaˈɾiʎo,ˈblanko,ˈneɡɾo,ˈnot͡ʃe,ˈdia,ˈaɲo,kaˈljente,ˈfɾio,,ˈnwebo,anˈtiɡwo,ˈbweno,ˈmalo,,ˈsuθjo,,reˈdondo,aˈɡudo,ˈromo,ˈliso,moˈxado,ˈseko,koˈreɡto,ˈθerka,,deˈɾet͡ʃo,,en,en,kon,ʝ,si,ˈporke,ˈnom.bɾe
Indo-european,Italic,Aragonese,an,an,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pa(j)ˈʃaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iˈβon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Ladino,lad,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Catalan,ca,ca,181,ˈʒɔ,ˈtu,ˈeʎ,noˈzal.tɾəs,ˈtu,ˈeʎs,əˈkəst,əˈkəʃ,əˈki,əˈʎa,ˈki,ˈkə,ˈon,ˈkwan,ˈkɔm,ˈno,ˈtot,ˈmolt,,ˈpɔk,,ˈun,ˈdos,ˈtɾəs,ˈkwa.tɾə,ˈsiŋk,ˈɡɾan,ʎuˈɲa,,,,pəˈtit,ˈkuɾt,əsˈtɾət,,ˈdɔ.nə,ˈɔ.mə,uˈma,ˈnən,ˈdɔ.nə,məˈɾit,ˈma.ɾə,ˈpa.ɾə,ə.niˈmal,ˈpeʃ,ˈaw,ˈɡos,ˈpoʎ,ˈseɾp,ˈkuk,ˈa.bɾə,ˈbɔsk,,,ʎəˈvo,ˈfu.ʎə,əˈrɛl,əsˈkɔɾ.sə,ˈflɔ,ˈeɾ.bə,ˈkɔɾ.də,ˈpeʎ,ˈkaɾn,ˈsaŋk,ˈɔs,,ˈɔw,ˈba.ɲə,ˈku.ə,,kəˈbəʎ,ˈkap,oˈɾə.ʎə,ˈuʎ,ˈnas,ˈbo.kə,ˈdent,ˈʎəŋ.ɡwə,ˈuŋ.ɡlə,ˈpɛw,ˈka.mə,ʒəˈnoʎ,ˈma,ˈa.lə,ˈbuk,,ˈkɔʎ,əsˈkə.nə,ˈpit,ˈkɔr,ˈfe.d͡ʒə,ˈbəw.ɾə,məɲˈʒa,mo.səˈɡa,ʃuˈkla,,vo.miˈta,buˈfa,rəs.piˈɾa,ˈriw.ɾə,ˈvəw.ɾə,sənˈti,səˈbə,pənˈsa,oˈlo,ˈpo,duɾˈmi,ˈviw.ɾə,muˈɾi,məˈta,ʎujˈta,kəˈsa,kol.pəˈʒa,təˈʎa,pəɾˈti,ə.pu.ɲəˈla,,kəˈva,nəˈda,ˈmos.kə,kə.miˈna,vəˈni,mənˈti.də,ˈsɛw.ɾə,,ʒiˈɾa,ˈkaw.ɾə,doˈna,ə.ɡwənˈta,əsˈpɾe.mə,fɾəˈɡa,rənˈta,ə.ʃuˈɡa,tiˈɾa,əmˈpə.ɲə,ʎənˈsa,,kuˈzi,komˈta,ˈdi,kənˈta,ʒuˈɡa,floˈta,fluˈi,,imˈflaɾ.sə,ˈsɔl,ˈʎu.nə,əsˈtɾə.ʎə,ˈaj.ɡwə,ˈplu.ʒə,ˈriw,ˈʎak,ˈmar,ˈsal,ˈpe.dɾə,ˈso.rə,ˈpols,ˈtɛ.rə,,ˈbɔj.ɾə,ˈsɛl,,ˈnew,ˈʒɛl,ˈfum,ˈfɔk,,,kə.rəˈte.ɾə,,ˈrɔt͡ʃ,ˈvɛɾt,ˈɡɾɔk,ˈblaŋk,ˈnə.ɡɾə,ˈnit,ˈdi.ə,ˈaɲ,kəˈlent,ˈfɾət,ˈplə,ˈnɔw,ˈveʎ,ˈbɔ,doˈlent,,ˈbɾut,,roˈdo,əz.moˈlat,,,ˈmɔʎ,əˈʃut,koˈrɛk.tə,,ʎuˈɲa,ˈdɾət,əsˈkɛ.rə,a,ən,əmb,ˈi,ˈsi,pəɾˈkə,ˈnɔm
Indo-european,Italic,Occitan,oc,oc,41,ˈjew,,,nus,ty,,,,,,,,ˈunt,,,,tut,,,,,,,tres,ˈkatre,siŋk,,,,,,,,,,ˈfenno,,,,ˈfenno,,ˈmajɾe,ˈpajɾe,,,awˈsɛl,ˈɡus,peˈzul,,,,,,,,ˈfɥɛʎo,rraˈis,,,ˈɛrβo,,pɛl,,,ˈɔs,,,,,,,kap,awˈɾeʎo,,,buko,,ˈleŋɡo,,pɛ,ˈkambo,(d)ʒeˈnul,ma,,,,,,,kɔr,,ˈbewre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ejsyˈɣa,,,,,,,,,,,,,,suˈlel,ˈlyno,,,ˈplɥɛ(d)ʒo,ˈrriw,,,,ˈpɛjɾo,ˈsaβlo,,,,ˈnɛβlo,,,ˈnɛw,,,,,,,,,ˈbert,,,,ˈnɥɛtʃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,French,fr,fr,206,ʒə,ty,il,nu,ty,il,sə,sə,i.si,la,ki,kwa,u,kɑ̃,kɔ.mɑ̃,nə,tus,bo.ku,dy,pø,otʁ,œ̃,dø,tʁwɑ,katʁ,sɛ̃k,ɡʁɑ̃,lɔ̃,laʁʒ,e.pɛ,luʁ,pə.ti,kuʁ,e.tʁwa,mɛ̃s,fam,ɔm,y.mɛ̃,ɑ̃.fɑ̃,fam,ma.ʁi,mɛʁ,pɛʁ,a.ni.mal,pwa.sɔ̃,wa.zo,ʃjɛ̃,pu,sɛʁ.pɑ̃,vɛʁ,aʁbʁ,fɔ.ʁɛ,bɑ.tɔ̃,fʁɥi,sə.mɑ̃s,fœj,ʁa.sin,e.kɔʁs,flœʁ,ɛʁb,kɔʁd,po,vjɑ̃d,sɑ̃,ɔs,ɡʁɛs,œf,kɔʁn,kø,plym,ʃə.vø,tɛt,ɔ.ʁɛj,œj,ne,buʃ,dɑ̃,lɑ̃ɡ,ɔ̃ɡl,pje,ʒɑ̃b,ʒə.nu,mɛ̃,ɛl,vɑ̃tʁ,ɑ̃t.ʁaj,ku,do,sɛ̃,kœʁ,fwa,bwaʁ,mɑ̃.ʒe,mɔʁdʁ,sy.se,kʁa.ʃe,vɔ.miʁ,su.fle,ʁɛs.pi.ʁe,ʁiʁ,vwaʁ,ɑ̃.tɑ̃dʁ,savwaʁ,pɑ̃.se,ɔ.dœʁ,pœʁ,dɔʁ.miʁ,vivʁ,mu.ʁiʁ,ty.e,batʁ,ʃa.se,fʁa.pe,ku.pe,fɑ̃dʁ,pwa.ɲaʁ.de,ɡʁa.te,kʁø.ze,na.ʒe,muʃ,maʁ.ʃe,və.niʁ,mɑ̃.sɔ̃ʒ,,ɛ.tʁə d(ə).bu,tuʁ.ne,tɔ̃.be,dɔ.ne,tə.niʁ,pʁɛ.se,fʁɔ.te,la.ve,e.sɥi.je,ti.ʁe,pu.se,ʒə.te,lje,kudʁ,kɔ̃.te,diʁ,ʃɑ̃.te,ʒwe,flɔ.te,ku.le,ʒə.le,ɡɔ̃.fle,sɔ.lɛj,lyn,e.twal,o,plɥi,flœv,lak,mɛʁ,sɛl,pjɛʁ,sɑbl,pu.sjɛʁ,tɛʁ,ny.aʒ,bʁu.jaʁ,sjɛl,vɑ̃,nɛʒ,ɡlas,fy.me,fø,sɑ̃dʁ,bʁy.le,ʁut,mɔ̃.taɲ,ʁuʒ,vɛʁ,ʒon,blɑ̃,nwaʁ,nɥi,ʒuʁ,a.ne,ʃo,fʁwɑ,plɛ̃,nu.vo,vjø,bɔ̃,mo.vɛ,puʁi,sal,dʁwɑ,ʁɔ̃,a.fi.le,e.mu.se,lis,mu.je,sɛk,kɔʁɛkt,pʁɛ,lwɛ̃.tɛ̃,dʁwɑ,ɡoʃ,a,dɑ̃,a.vɛk,e,si,paʁ.skə,nɔ̃
Indo-european,Italic,Walloon,wa,wa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʀɛ.sɛn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃɔʀ.bi,sɛt͡ʃiː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niːf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fʀɛç,,,,,,,,,avu,,,,
Indo-european,Italic,Romansch,rm,rm,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baːp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tʃanˈtar,,,,,,,,,,,,,,,krap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Ladin,lld,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Friulian,fur,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Piedmontese,pms,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Ligurian,lij,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Lombard,lmo,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Emilian,egl,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Romagnol,rgn,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indo-european,Italic,Italian,it,it,179,ˈi.o,t̪u,ˈlui,ˈnoi,t̪u,,ˈkwes.to,ˈkwello,kwa,,k̟i,,ˈdove,ˈkwando,ˈkome,non,ˈtutto,,,ˈpɔ.ko,ˈal.tro,ˈuno,ˈdu.e,tre,ˈkwat.tro,ˈt͡ʃin.kwe,ˈɡran.de,ˈlunɡo,ˈlarɡo,ˈspes.so,peˈsante,pikˈko.lo,ˈkorto,ˈstretːo,sotˈtile,ˈdɔn.na,ˈwɔ.mo,,bamˈbi.no,ˈspɔ.za,maˈri.to,ˈma.dre,ˈpa.dre,aniˈmale,ˈpeʃːe,uˈt͡ːʃɛlːo,ˈka.ne,pi.ˈdɔk̚.kjo,serˈpɛn.te,ˈvɛrme,ˈal.be.ro,,basˈtone,ˈfru.tːo,ˈseme,ˈfɔʎʎa,raˈditʃe,korˈtettʃa,,ˈɛrba,ˈkɔrda,ˈpɛlle,ˈkar.ne,ˈsan.ɡwe,ˈɔsso,ˈɡras.so,ˈwɔ.vo,ˈkɔr.no,ˈkoda,ˈpjuma,,ˈtɛs.ta,ɔˈrekkjo,ˈɔk.kjo,ˈna.zo,ˈbokka,ˈdɛnte,ˈliŋ.ɡwa,ˈun.ɡja,ˈpjɛde,ˈɡamba,dʒiˈnɔkkjo,ˈmaːno,ˈala,ˈpan.t͡ʃa,,ˈkɔl.lo,ˈskjɛna,ˈse.no,ˈkwɔːre,ˈfeɡato,ˈbe.re,manˈdʒa.re,ˈmɔrdere,,spuˈtare,vomiˈtare,sofˈfjare,respiˈrare,ˈri.de.re,veˈde.re,,saˈpeː.re,,oˈdo.re,paˈu.ra,dorˈmire,ˈvi.ve.re,moˈrire,utˈt͡ʃi.de.re,lɔt.ˈta.re,katˈtʃare,kolˈpire,taʎˈʎare,ˈfɛndere,puɲɲaˈlare,,skaˈvare,nwoˈtare,,kammiˈnare,veˈnire,buˈd͡ʒi.a,seˈdere,,dʒiˈrare,kaˈdere,ˈda.re,teˈne.re,,strofiˈnare,,aʃʃuˈɡare,t̪iˈrare,ˈspindʒere,,leˈɡare,kuˈtʃire,konˈtare,ˈdi.re,kanˈtaːre,d͡ʒoˈkä.re,ɡalledˈdʒare,fluˈire,dʒeˈlare,,ˈso.le,ˈlu.na,ˈstel.la,,ˈpjɔddʒa,ˈfju.me,ˈlaɡo,ˈmaːre,ˈsale,ˈpjɛtra,ˈsab.bja,ˈpol.ve.re,ˈtɛr.ra,ˈnu.vo.la,ˈnebbja,ˈt͡ʃɛ.lo,ˈvɛn.to,ˈne.ve,ˈɡjat.t͡ʃo,,ˈfwɔko,,,ˈstrada,monˈtaɲɲa,ˈros.so,ˈver.de,ˈdʒal.lo,ˈbjaŋko,ˈne.ro,ˈnɔtːe,ˈd͡ʒorno,ˈan.no,ˈkaldo,ˈfreddo,ˈpjɛno,ˈnwɔ.vo,ˈvɛk.kjo,ˈbwɔː.no,kaˈtːiːvo,,ˈspɔrko,dritto,roˈtondo,affiˈlato,,ˈliʃʃo,baɲˈɲato,ˈsekko,korˈrɛtto,viˈtʃino,lonˈtano,,,a,ˈin,kon,e,se,perˈke,ˈno.me
