word,vep,vot,fi,vro,krl,liv,et
other,ˈtoine,ˈmuː,ˈmuː,ˈtːɤːnɤ,ˈtoini,ˈmuː,ˈteine
animal,ˈʒivɑt,ˈʒivɤtːɑ,ˈelæin,ˈelːæi,ˈelætːi,ˈje̞lɑi,ˈloːm
hunt,ˈmetsɑtɑ,ˈpyːtæː,ˈmetsæstæː,ˈjɑhtːmɑ,ˈmetʃːæstyæ,ˈjɑkt̪ɨ,ˈkytːimɑ
tongue,ˈkelʲ,ˈtʃeːli,ˈkieli,ˈkːiːl,ˈkieli,ˈke̞ːʎ,ˈkeːl
see,ˈnæhtɑ,ˈnæhæ,ˈnæhdæ,ˈnækemæ,ˈnæhæ,ˈnæːd̪ɨ,ˈnægemɑ
cloud,ˈpilvʲ,ˈpilvi,ˈpilʋi,ˈpːilv,ˈpilvi,ˈpiːlɑ,ˈpilʋ
give,ˈɑntːɑ,ˈɑnːɑː,ˈɑntɑː,ˈɑntmɑ,ˈɑntuɑ,ˈɑnd̪ɨ,ˈɑndmɑ
round,ˈkehker,ˈpulskɤɑ,ˈpyøreæ,ˈtːsːɤːrikː,ˈpyøryɑ,ˈimːɨr,ˈymɑr
thou,ˈsinæ,ˈsiæ,ˈsinæ,ˈsːɑʔ,ˈsie,ˈsinɑː,ˈsinɑ
stick,ˈkɑlu,ˈriuku,ˈkepːi,ˈkːepː,ˈkepːi,ˈsovɑː,ˈkepː
flower,ˈænik,ˈkukːɑ,ˈkukːɑ,ˈhæitsːeʔ,ˈkukːɑ,ˈputʲkɨz,ˈlilː
