word,bg,it,ca,fy,kff,kxv,sv,brh,uk,gd,fo,ta,fr,pci,tcx,sk,sq,mjt,lzz,xub,ml,cy,pl,sl,lt,br,sva,gv,yea,no,ka,bfq,af,cs,ga,lv,nl,oc,es,xmf,mk,tcy,hy,is,de,ru,gdb,kru,be,ro,yi,pt,gon,gl,te,kfb,kfa,kn,da,el,kfe
laugh,,ˈri.de.re,ˈriw.ɾə,ˈlai̯tsjə,,,,,,,,,ʁiʁ,,,ˈsmi̯ac sa,cɛʃ,,dzitsini,,,,ɕmʲat͡ɕ ɕɛ,,,,litswnäl,,,,sitsili,,ɫɐχ,smaːt,ɡɑːɾʲ,,ˈlɑxə(n),,,dzitsä,sɛ ˈsmɛ.ɛ,,t͡sit͡sɑˈʁɛl,ˈl̥aiːja,ˈlaχn̩,smʲɪˈjat͡sːə,,,,,,ˈʁiɾ,,,,,,,leː,,
cloud,,ˈnu.vo.la,,,mabbu,ha:gu,,dʒammaɾ,,ɲiaɫ̪,skʊt͡ʃː,me:gam,ny.aʒ,malgur,me:gam,,,badli:,pʼulä,mo:ɖə,mekʰam,ˈkʊmʊl,ˈxmu.ra,ɔˈbláːk,,ˈku.mul,mɛrɛ,,mo:ɖa,ʃyː,ʁrubɛli,mandʒu,vɔlk,mrak,ˈsˠkamˠəl̪ˠ,,ʋɔlk,,,munäpʰä,,mo:ɖa,ɑmp,sciː,ˈvɔlkə,ˈobləkə,tukud,bada:li,ˈxmara,nor,,ˈnu.vɐj̃,mabbu,,me:gʰamu,a:bar,mo:ɖa,mēgha,,ˈsinɛfɔ,me:gam
grass,trɛˈva,ˈɛrba,ˈeɾ.bə,ɣɛːs,,,,,,ˈfiəɾ,kɹɛaːs,,ɛʁb,,,ˈtraːva,baɾ,,tʼkʼä,,,ˈɡlaswɛɬd,ˈtra.va,ˈtràːʋa,ʒoˈlʲeː,ˈɡɛwt,mɛl,feːə,,ɡrɑːs,bäläχi,,,ˈtraːva,fʲeːɾˠ,,ɣrɑs,ˈɛrβo,ˈpas.to,tʼqʼä,,,χɔt,kraːs,ɡʁaːs,trɐˈva,,,,ˈjar.bə,ɡʁɔz,ˈɡɾɐ̃mɐ,,ˈɛɾβa̝,,,,,,,
lie,ɫəˈʒa,buˈd͡ʒi.a,mənˈti.də,,undʒa,,lœŋn,dɾogʰ taɖing,,,,keɖə,mɑ̃.sɔ̃ʒ,maḍ,poaʈtʃi:,ˈkɫamstvɔ,,ko:ɖpo,dɔndʒiru,ba:ɖ,kiɖakkuga,,ˈkwam.stfɔ,ˈláːʃ,ˈmʲæːɫas,,liqʼwrɛ,,bi:ndo,,tsʼɔlä,haɖaʋə,,lɛʃ,bʲɾʲeːɡ,,ˈløː.ɣə(n),,menˈtiɾa,dɔndʒirä,,buɾo:naɾa,sut,ˈlɪːjɪ,ˈlyːɡə,loʂ,tukud,paiha,,,,mẽ.ˈti.ɾɐ,miɳɖsi,,paɖukonu,laba:ɖ muɖsati,budda,malagu,løɡn,,bʰulo:gam
three,,tre,ˈtɾəs,,,,treː,,trɪ,,trʊdʒɪr,,tʁwɑ,,,ˈtri,tɾɛ,,sum,,,triː,tʂɨ,ˈtríːjɛ,,,sɛmi,t̪riː,,,sämi,,,tr̝ɪ,tʲɾʲiː,trîːs,dri,tres,tɾes,sumi,,,jɛˈɾɛkʰ,θriːr,dʁaɪ̯,trʲi,,,,trej,dʁaj,ˈtɾeʃ,,,,,,,,ˈtri.a,
mountain,pləniˈna,monˈtaɲɲa,,bɛrx,gubal,,bɛrj,maʃ,ɦɔˈrɑ,,fjatl,malai,mɔ̃.taɲ,tūk,tiʈʈə,ˈɦɔra,mal,be:ɖo paha:ɖi,gɔlä,bəʈʈə,mala,ˈmənɨ̞ð,ˈɡu.ra,ɡɔ̀ːra,ˈka͡l.nɐs,,läχw,slʲuː,kundə,fjɛlː,mtʰä,male,,ˈɦora,ʃlʲiəvˠ,kâlns,bɛrx,,monˈtaɲa,gɔlä,,da:ɾi,lɛr,fjatl,bɛrk,ɡɐˈra,kappe,paɾta,,ˈmuntɛ,,mõ.ˈtɐ.ɲɐ,meʈʈa,monˈtaɲa̝,konɖa,danɖime:ʈ,kundə,beʈʈa,bjɛrv,ˈo̞ro̞s,ʋe:ʈume
fear,,paˈu.ra,ˈpo,,,,,,,,,,pœʁ,,,strax,ˈfɾik(ə),,ʃkʼurinä,,,,strax,ˈstráːx,,ɔ̃n,mäqʼäl,,,,ʃiʃi,,frɪəs,ˈstrax,ˈaɡlˠə,bâjlɛs,ɑŋst,,ˈmjedo,ʃkʰurini,,,vɑχ,ˈr̥aiðstla,ʔaŋst,strax,,,,ˈfrikə,,ˈme.du,,,,,,,,,
new,nɔf,ˈnwɔ.vo,ˈnɔw,nɛi̯,kottad,puni,ny,pu:skun,,uːɾ,nʊt͡ʃːʊɹ,pudusə,nu.vo,pun,pudu:n,ˈnɔviː,ɾi,pu:na,äʁäni,pəjjmən,pudija,ˈnɛu̯ɨ̞ð,ˈnɔ.vɨ,ˈnɔ́w,,ˈne.ve,mäχɛ,,pudijai,,äχäli,ostə,,ˈnoviː,n̪ˠuə,jaûns,niu̯,,ˈnwebo,äχäli,,posatta,nɔɾ,niːr,nɔʏ̯,ˈnovɨj,nia,pu:na,,now,,ˈno.vu,puna,ˈnɔ.βʊ,kotta,kota,pudija,hosadu,nyː,ˈne̞o̞s,pudijadə
full,ˈpɤlɛn,ˈpjɛno,ˈplə,,ninɖa:,guɾa,fɵl,puɾ,ˈpɔu̯nei̯,lɑːn,ˈfʊtlʊɹ,niṟainta,plɛ̃,tūk,so:kkaije,pl̩niː,,nindpa:,jɔpʰʃä,fullə,niɾaɲa,ɬau̯n,ˈpɛw.nɨ,ˈpɔ́ːwn,,,gwɛʃi,lɛdn,dumba,,sävsɛ,tʰumbe,fɔl,pl̩niː,l̪ˠɑːnˠ,pīlns,vɔl,,,ɛpʰʃä,,dindʒidunɖu,ˈlikʰə,ˈfʏtɬʏr,fɔl,ˈpolnɨj,puneʈ,nindka,ˈpou̯nɨ,plin,,ˈʃɐj.u,niɳɖ,ˈt͡ʃeo̝,ninɖu,ninɖu,dumba,tumbidu,fuld,ˈpliris,bʰulo:gam
this,ˈt̪ɔzi,ˈkwes.to,əˈkəst,,iddu,idu,,da:,,ʃɔ,,inta,sə,ī,idə,,ky,i:du,äjä,idə,i:,hʊn,tɛn,ˈtáː,,,äli,,iʋe:,,ɛs,idə,dɨt,ˈtɛnto,ʃɔ,ʃis,ˈdeːzə,,ˈeste,tʰɛnä,ˈɔvɔj,undu,ɑjs,ˈθɛsːɪ,ˈdiːzər,ˈɛtət,idə,i:d,,aˈt͡ʃest,,ˈɛʃ.tɨ,id,,ī,id,idə,idhu,,aˈftos,idhə
skin,ˈkɔʒə,ˈpɛlle,ˈpeʎ,,to:l,,hʉːd,sil,,,,to:lə,po,tōl,tu:ɾs,ˈkɔʒa,ləkuɹə,tʃa:na,tʼkʼɛbi,to:lə,toli,kroːɨ̯n,ˈsku.ra,ˈkòːʒa,ˈôːd̪ɐ,ˈkʁoːχɛn,kʼæn,ˈkraːɣən,to:lu,,kʼäni,to:lə,,ˈkuːʒɛ,ˈkɾˠacən̪ˠ,âːda,ɦœy̯t,pɛl,,tʼqʼɛbi,,tʃeɾma,mɑʃk,huːð,haʊt,ˈkoʐə,tal,tʃapʈa,ˈskura,ˈpjele,heɪt,ˈpɛ.lɨ,to:l,,to:lu,to:l,to:lə,togalu,,ˈðɛɾma,to:lu
day,,ˈd͡ʒorno,ˈdi.ə,,,,,,ˈdɛnʲ,,ˈtɛaːvʊɹ,,ʒuʁ,,,,,,dʁä,,,dɨːð,d͡ʑɛɲ,,,ˈdɛj,lädɛʁ,,,,dʁɛ,,daχ,dɛn,l̪ˠɑː,,dɑx,,ˈdia,dʁä,,,ɔɾ,ˈtaːɣʏr,tɑːk,ˈsutkʲɪ,,,,zi,tɔɡ,ˈdi.ɐ,,ˈd̪iɐ,,,,,døjn,,
who,kɔj,k̟i,ˈki,,be:nonɖu,daat,,de:ɾ,ˈxtɔ,koː,kvøːr,jaarə,ki,ed,oɾi,kto̞,kuʃ,ne:du,min,da:ɾə,a:ɾə,puːɨ̯,ktɔ,ˈɡdòː,,piv,jær,,ja:ɾu,,vin,ta:ɾa,,ɡdo,ceː,,ʋi,,ˈkjen,mi,kɔj,je:ɾu,ɔv,xʷɛːr,veːɐ̯,kto,tukud,ne,xto,,,kẽ(j̃),boɾ,,evaru,bʰu:mi,da:ɾə,ja:ɾu,vɛm,,da:ɾə
turn,,dʒiˈrare,ʒiˈɾa,,,,,,,,,,tuʁ.ne,,,,,,ɔkʰtʰu,,,,,,,,lisipʼ,,,,tʼriäli,,,ˈtot͡ʃɪt,kɑsˠ,,ˈdraːi̯ə(n),,xiˈɾaɾ,rtʰäpʰä,,,ʃəɾdʒˈvɛl,,ˈdʁeːən,vrɐˈɕːat͡sːə,,,,,,,,,,,,,drajə,,
we,ˈni.ɛ,ˈnoi,noˈzal.tɾəs,vɛi̯,mana:ɖu,mambu,viː,,ˈmɪ,ʃiɲ,,na:m,nu,ām,o:m,ˈmi,nɛ,na:mu,tʃkʰin,naɳgə,na:m,niː,mɨ,ˈmíː,mʲæːs,,næ,,nanga,meː,tʃvɛn,nanga,,mɪ,mˠɪdʲ,mɛ̄ːs,ʋɛi̯,nus,noˈsotɾos,tʃkʰi,niɛ,jankulu,mɛŋkʰ,vɪð,viːɐ̯,mɨ,a:m,na:m,,noj,,ˈnɔʃ,mammoʈ,,manamu,amdə,nanga,na:ʋu,,e̞ˈmis,amme
year,ɡɔˈdinə,ˈan.no,ˈaɲ,iə̯r,,,,,,,ɔaːɹ,,a.ne,,,ˈrɔk,,,tsʼänä,,,,rɔk,ˈlèːtɔ,,ˈblwaː,zæ,blʲeːnʲ,,oːr,tsʼɛli,,jɑːr,rok,bʲlʲiənʲ,,jaːr,,ˈaɲo,tsʼänä,,,tɑˈɾi,auːr,jaː(ɐ̯),ɡot,,,ɣot,an,jɔʁ,ˈɐ.nu,,,,,,,,ˈxɾonos,
red,tʃɛrˈvɛn,ˈros.so,ˈrɔt͡ʃ,,eɾɾa,netuɾi,røːd,xi:sun,t͡ʃeˈrwɔnei̯,ˈtʲɛrɛk,,cem,ʁuʒ,key,keppə,ˈt͡ʃɛrvɛniː,kuc,e:so,mtʃʼitʰä,tissəgaɳɖa:ngi,tʃumappə,koːχ,t͡ʂɛrˈvɔ.nɨ,ərˈdɛ́tʃ,rɐʊˈdoːnɐs,,tsʼərni,,tʃo:pə,ræʉ,tsʼitʰɛli,keppə,roːi̯,ˈt͡ʃɛrvɛniː,ˈdʲaɾˠəɡ,sâɾkans,roːt,,ˈroxo,tʃʼitʰä,,kempu,kɑɾˈmiɾ,ˈrøyːðʏr,roːt,ˈkrasnɨj,tukud,kheso,t͡ʂɨˈrvonɨ,ˈro.ʃu,,vɨɾ.ˈmɐ(j).ʎu,eɾɾag,beɾˈmeʎo̝,eɾupu,jeruɖi,tʃo:pə,kempu,røːd,ˈkocinos,netiɾ
seed,ˈsɛmɛ,ˈseme,ʎəˈvo,,pe:ɳɖku,,,bedʒdʒ,ˈsʲimjɐ,,fɹɛaː,ʋedə,sə.mɑ̃s,vittid,pittə,ˈsɛmɛnɔ,ˈfaːɾ,bʰumi,tʰäsi,bissə,vita,haːd,naˈɕɛ.ɲɛ,ˈsèːmɛ,ˈsʲeːklɐ,,læʃi,,kuɾu,frøː,tʰɛsli,pittə,,ˈsɛmɛno,ʃiːl,,zaːt,,,tʰäsi,,bi:dʒa,sɛɾm,fraiː,ˈzaːmən,ˈsʲemʲə,tukud,bi:,naˈsʲenʲːe,səˈmɨntsə,ˈzɔɪ̯mn̩,sɨˈmẽtɨ,vidʒdʒa,seˈmɛnte̝,ʋittanam,ʋittanam,kuɾu,bede,sɛːd,ˈspo̞ro̞s,ʋitu
eat,,manˈdʒa.re,məɲˈʒa,,tinnu,tinu,ˈɛːˌta,kuning,,,,sa:pədə,mɑ̃.ʒe,tin,toɾtin,,,dʒa:go:lpah,ɔtʃʼkʼɔmu,tinn,tinnuga,,,,,,lizwɛb,,tinno:,,tʃʼämä,timbə,,jiːst,ɪ,,,,koˈmeɾ,tʃʼkʼɔmuä,ˈjadɛ,uɳa:ɾa,uˈtɛl,,ˈʔɛsn̩,jesʲtʲ,tin,mokʰna,,luˈa,,ko.ˈme(ʁ),dʒeʋi,,tinu,a:ntisatun,tinə,tinnu,spiːsə,ˈtro̞o̞,tin atej
