word,zu,xub,hy,ar,yea,ml,mk,es,gd,ka,yi,ny,kxv,tg,sv,kff,de,th,ro,cs,ru,za,lt,bfq,hi,gv,cy,te,kfe,liv,he,pt,pl,bg,ur,gdb,vro,hu,ca,brh,mjt,ko,my,ug,ga,sq,bn,lb,ku,kfa,ja,gl,nl,nn,ta,vot,tcy,tr,az,ms,en,br,tcx,et,km,is,as,ps,vep,be,fa,kfb,pci,uk,xmf,sva,sk,fr,fo,el,id,af,oc,krl,vi,la,bo,kru,tl,kn,gon,lo,da,mt,sl,lv,ba,fy,fi,se,mn,lzz,sa,it
leg,uḿ̩leːnze,,vɔtkʰ,ra.d͡ʒi.la,,,,ˈpjerna,kʰas,pʰɛχi,fʊs,ˈmʷe.ⁿdo,,,ˈbeːn,,baɪ̯n,kʰaː˩˩˦,,ˈnoɦa,nɐˈɡa,ka˨˦,,,,,koːɨ̯s,,,ˈjɑːlgɑ,ˈʁɛɡɛl,ˈpɛɾ.nɐ,ˈnɔ.ɡa,krak,,,ˈsːiːr,ˈlaːb,ˈka.mə,,,ta̠ɾi,t͡ɕʰèdaʊʔ,,kɔsˠ,kəm.bə,pa,,,,kʲa̠kɯ̟ᵝ,,beːn,bæɪn,,ˈrihi,,badʒak,,kaki,lɛɡ,ˈɡɑːr,,ˈsæːr,joeṅ,ˈfouːtʏr,bʱɔ.ɹi,,ˈjɑug,naˈɣa,pɒː,,,,kʼutʃχi,tʃʼiʃχ,ˈnɔɦa,ʒɑ̃b,,ˈpoði,,,ˈkambo,ˈsiæri,t͡ɕən˧˧,kruːs,*rkaŋ.pa,,,,,kʰaː˩˨,beːn,ˈrɪd͡ʒɛl,nɔ̀ːɡa,kāːja,ɑˈjɑq,skoŋk,ˈsæːri,,,kʼutʃχɛ,,ˈɡamba
thou,,ni:jə,du,ʔanta,ni,ni,ti,ˈtu,hu,ʃɛn,,,ninu,,dʉː,nimma,duː,kʰun˧,tu,tɪ,tɨ,,tʊ,ni,tʊm,,tiː,ni:ʋu,ni:ja,ˈsinɑː,(ʔ)aˈta,tu,tɨ,ti,tʊm,in,ˈsːɑʔ,ˈtɛ,ˈtu,ni:,ni:n,ta̠ŋɕʰin,,,t̪ˠuː,,ˈθʊiː,,,ni:nə,⟨ki1mi1⟩,,ɣɛi̯,,ni,ˈsiæ,i,sen,,əŋkau̯,ðaʊ,,ni,ˈsinɑ,,θu,tɔɪ,,ˈsinæ,,to,ni:nu,īn,ˈtɪ,si,si,ˈti,ty,tʰʉuː(w),,kamu,,,ˈsie,maj˨˩,tuː,,ni:n,,ni:nu,nimme,,du,,ˈtíː,,,,ˈsinæ,,,si,,t̪u
good,,nall,lɑv,,nallə,nalla,,ˈbweno,maː,kʼärgi,ɡʊt,,nejun,,ɡuːd,mantʃid,ɡuːt,diː˧,bun,ˈdobriː,xɐˈroʂɨj,ɗei˨˦,ˈɡʲæɾɐs,oɭɭajadə,ət͡ʃ.t͡ʃʰɑː,,daː,mantʃi,oludə,ˈjɨvɑː,,bõ,ˈdɔ.brɨ,doˈbɤr,əˈtːʃʰaː,tukud,ˈhæː,ˈjoː,ˈbɔ,dʒua:n,he:ɖu,ˈt͡ɕo̞ːtʰa̠,káʊɴ,jɑχʃi,mˠa,majɾ,bʱɑlo,,,nalla,joɕi,ˈbo,ɣut,,nalla,ˈyvæ,eɖɖedana,,jɑχˈʃɯ,baeʔ,ɡʊd,,ulti,ˈheɑ,l̥ʾ,ˈkouːðʏr,bʱal,xə,ˈhyvæ,ˈdobrɨ,xuːb,sobhatan,tūk,ˈdɔbrɪj,dʒgiri,χɔtʃä,ˈdɔbriː,bɔ̃,ˈkɔuːwʊɹ,kaˈlos,,χut,,ˈhyvæ,tot̚˧˦,ˈbo.nus,,da:ʋ,maˈbu.ti,oɭɭijadu,assal,,ɡoð,ˈtɐjːɛp,ˈdòːbər,,jɑqˈʂɯ̞,,ˈhyʋæ,,sɛ̃ːŋ,kʼäi,s̪ɑː.d̪ʱú,ˈbwɔː.no
wife,,,kin,zawd͡ʒa,,,ˈʒɛna,esˈposa,,tsɔli,,,,,hɵ̄sːtrʉ̂ː,,,pʰa˦˥.ri˦˥.jaː˧,,ˈmanʒɛlka,ʐɨˈna,,,,,,ɡuˈrai̯ɡ,,,ˈnɑi,(ʔ)iˈʃa,es.ˈpo.za,ˈʐɔ.na,ʒɛˈna,,,ˈnɑːnɤ,ˈɒsːoɲ,ˈdɔ.nə,,,a̠ne̞,məjá,,bʲanˠ,ˈɡɾua,,,,,t͡sɨᵝma̠,esˈposa̝,vrɑu̯,,,ˈnɑin,,,,,waɪf,ˈɡwʁɛːk,,ˈnɑine,p̥rbn̥dʰ,ˈeiːjɪn.kʰɔːna,ɡʱoɪ.ni,ʂəˈd͡za,ˈɑk,ˈʐonka,,,,druˈʐɪnɑ,ɔsuri,χɛχw,,fam,,,istri,,ˈfenno,ˈɑkːɑ,vəː˧˨ʔ,ˈuk.sor,*skʲe.dman,,,,,mia˦˥,,,ˈʒɛ̀ːna,sīɛ̄va,qɑˈtɯ̞n,,ˈʋɑimo,,,ɔχɔrdʒä,pɐ́t̪.n̪iː,ˈspɔ.za
pull,,,kʰɑˈʃɛl,,,,,tiˈɾaɾ,,mɔkʰätʃvä,,,,,,,ˈtsiːən,dɯŋ˧,,ˈtaːɦnou̯t,tʲɪˈnutʲ,,,,kʰĩː(ɳ).t͡ʃnɑː,,,,,ˈvie̞d̪ːɨ,,pu.ˈʃa(ɹ),ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ,,,,ˈvitæmæ,ˈhuːz,tiˈɾa,,,ˈk͈ɯːɭda̠,sʰwɛ́,,,,ˈʈana,,,,,,ˈtrɛkə(n),,,ˈtɤmpɑː,,t͡ʃɛcˈmɛc,t͡ʃækˈmæk,tareʔ,pʊl,,,ˈtɤmbɑmɑ,dāñ,ˈtraːɣa,ta.na,,ˈvedɑdɑ,t͡sʲaˈɣat͡sʲ,kʲeʃiːˈd̪æn,,,tʲɐˈɦɑte,zindäpʰi,libid,ˈci̯aɦnuc,ti.ʁe,,,,,,ˈvetyæ,kɛw˧˦,ˈwel.loː,,,,,,,trɛkə,,,,,,ˈʋetæː,,tʰatʰəx,ɔzdimu,,t̪iˈrare
year,úɲâːɠa,,tɑˈɾi,ʕaːm,,,,ˈaɲo,,tsʼɛli,jɔʁ,ˈt͡ʃa.ká,,,,,jaː(ɐ̯),piː˧,an,rok,ɡot,pi˨˦,,,saːl,blʲeːnʲ,,,,ˈɑːigɑst̪,ʃaˈna,ˈɐ.nu,rɔk,ɡɔˈdinə,,,ˈɑːsːtːɑkː,ˈeːv,ˈaɲ,,,ɲjʌ̹n,n̥ɪʔ,jil,bʲlʲiənʲ,,,joː(e)ʀ,ˈsɑːl,,nẽ̞ɴ,,jaːr,oːr,,ˈvoːsi,,ˈjɯɫ,,tahon,jɪə,ˈblwaː,,ˈɑːstɑ,c̥ʰnāṃ,auːr,bɔ.sɔɹ,kɑl,ˈvozʲ,ɣot,sɒːl,,,,tsʼänä,zæ,ˈrɔk,a.ne,ɔaːɹ,ˈxɾonos,,jɑːr,,ˈvuozi,nam˧˧,ˈan.nus,*lo,,,,,piː˩˨,,ˈsɛnɐ,ˈlèːtɔ,,jɯ̞ɫ,iə̯r,ˈʋuosi,ˈjahkiː,,tsʼänä,,ˈan.no
we,tʰiːná,naɳgə,mɛŋkʰ,naħ.nu,nanga,na:m,niɛ,noˈsotɾos,ʃiɲ,tʃvɛn,,ˈi.fe,mambu,mɔː,viː,mana:ɖu,viːɐ̯,raw˧,noj,mɪ,mɨ,,mʲæːs,nanga,ɦəm,,niː,manamu,amme,ˈme̞ːg,(ʔ)aˈnaχnu,ˈnɔʃ,mɨ,ˈni.ɛ,ɦəm,a:m,ˈmiːʔ,ˈmi,noˈzal.tɾəs,,na:mu,uɾi,t͡ɕoʊʔto̰,,mˠɪdʲ,nɛ,,,,nanga,ɰᵝa̠ta̠ɕi̥ta̠t͡ɕi,,ʋɛi̯,meː,na:m,ˈmyː,jankulu,bɪz,,kami,wiː,,o:m,ˈmeie,yoeṅ,vɪð,ami,muʐ,ˈmiː,,mɒː,amdə,ām,ˈmɪ,tʃkʰi,næ,ˈmi,nu,,e̞ˈmis,kami,,nus,ˈmyø,t͡ɕʊwŋ͡m˧˦ toj˧˧,noːs,,na:m,ˈnaːmɪn,na:ʋu,mammoʈ,pʰuak˥˧ hau˦˥,,,ˈmíː,mɛ̄ːs,bɪ̞ð,vɛi̯,ˈme,ˈmoɑ̯j,,tʃkʰin,,ˈnoi
ice,íːǃʰwa,,sɑˈrujt͡sʰ,d͡ʒa.liːd,,,mras,ˈɟ͡ʝelo,,qʼinuli,,,,,,,aɪ̯s,nam˦˥.kʰɛŋ˩˩˦,,lɛt,lʲɵt,,,,,,jaː,,,ˈje̞i,,ˈʒe.lu,lut,lɛt,,,ˈijæ,ˈjeːɡ,ˈʒɛl,,,ʌ̹ɾɯm,jèɡɛ́,,əiɾʲ,,bɔrɔf,æi̯s,,,⟨ko2pori⟩,ˈʃe.ʊ,ɛi̯s,iːs,,ˈʝæː,,ˈbuz,,aes,aɪs,,,ˈjæː,dẏkkk,iːs,,,ˈjæ,lʲot,jæx,,,,ʔini,kʼwärɛm,ˈʎat,ɡlas,ˈʊiːsʊɹ,ˈpaɣos,,ə̟i̯s,,ˈjæː,ʔɓaŋ˧˧,ˈɡla.ki.eːs,,,ˈje.lo,,,,iːs,θ,ˈléːt,lædus,bʊ̞ð,iːs,ˈjæː,ˈjie̯tɲa,mos,buzi,,ˈɡjat.t͡ʃo
grass,útʃâːni,,χɔt,ħa.ʃiːʃ,,,,ˈpas.to,ˈfiəɾ,bäläχi,ɡʁɔz,ˈu.d͡zú,,sæbzæ,,,ɡʁaːs,jaː˥˩,ˈjar.bə,ˈtraːva,trɐˈva,ɲɯ˥,ʒoˈlʲeː,,,feːə,ˈɡlaswɛɬd,,,ˈɑːinɑ,ˈdeʃe,ˈɡɾɐ̃mɐ,ˈtra.va,trɛˈva,,,ˈhɑin,ˈfyː,ˈeɾ.bə,,,,mjɛʔ,,fʲeːɾˠ,baɾ,,ɡʀaːs,,,kɯ̟̊ᵝsa̠,ˈɛɾβa̝,ɣrɑs,ɡrɑːs,,ˈroho,,ɔt,,,ɡɹɑːs,ˈɡɛwt,,ˈrohi,s̥mau,kraːs,ɡʱãʱ,,ˈhein,,sæbze,,,,tʼqʼä,mɛl,ˈtraːva,ɛʁb,kɹɛaːs,,,,ˈɛrβo,ˈheinæ,kɔ˧˩,ˈher.ba,*rt͡sʷa,,daˈmo,,,ɲaː˨˩,,ħɐˈʃiːʃ,ˈtràːʋa,,ʏˈlæn,ɣɛːs,ˈruoho,ˈsitnuː,ows,tʼkʼä,t̪ŕ̩.ɳɐ,ˈɛrba
rotten,,,pʰəˈtɑt͡s,faː.sid,,,,,,dämpʼäli,,,,,,,faʊ̯l,naw˥˩,ˈpu.tred,ˈzɦɲɪliː,ɡnʲɪˈloj,,,,,,,,,ˈmæːrgɑ,,ˈpo.ðɾɨ,ˈzɡɲi.wɨ,,,,ˈmætæ,ˈroɦɒtː,,,,s͈ʌ̹k̚t͈a̠,poʊʔ,,ˈl̪ˠɔfˠə,,,,,,kɯ̟ᵝsa̠ɾɯ̟ᵝ,ˈpoðɾe̝,rɔt,,,ˈlɑho,,,,,ˈɹɑtn̩,,,ˈmædɑ,,,,,ˈlɑho,ɣnʲiˈɫɨ,,,,,ʔɔrädili,mɛkʰwrɛ,ˈɦɲiliː,puʁi,,ˈsapços,,,,ˈlɑho,mʊwk͡p̚˧˨ʔ,ˈpu.ter,,,,,,,rɔdən,,ˈɡníːw,,sɪ̞ˈrɪ̞k,,ˈmætæ,,,χtsäpʰɛri,,
