word,zu,xub,hy,ar,yea,ml,mk,es,gd,ka,yi,ny,kxv,tg,sv,kff,de,th,ro,cs,ru,za,lt,bfq,hi,gv,cy,te,kfe,liv,he,pt,pl,bg,ur,gdb,vro,hu,ca,brh,mjt,ko,my,ug,ga,sq,bn,lb,ku,kfa,ja,gl,nl,nn,ta,vot,tcy,tr,az,ms,en,br,tcx,et,km,is,as,ps,vep,be,fa,kfb,pci,uk,xmf,sva,sk,fr,fo,el,id,af,oc,krl,vi,la,bo,kru,tl,kn,gon,lo,da,mt,sl,lv,ba,fy,fi,se,mn,lzz,sa,it
fire,uḿ̩liːlo,tissə,kəˈɾɑk,naːr,ti:,te:,,ˈfweɡo,ˈtʰʲenə,tsɛtsχli,,ˈmó.to,dankeɾe,,ˈɛld,kis,ˈfɔʏər,faj˧,fok,ˈoɦɛɲ,ɐˈɡonʲ,fei˧˩,ʊɡˈnʲɪs,kitʃtʃə,ɑːɡ,,taːn,nippu,nippu,ˈt̪uʎ,,ˈfo.ɣu,ˈɔ.ɡʲɛɲ,ˈɔɡən,,tukud,ˈtːuli,ˈtyːz,ˈfɔk,xa:xaɾ,tʃitʃadu,puɭ,mí,,ˈtʲɪnʲə,zjaɾm,,ˈfai̯(e)ʀ,,titta,⟨hi2⟩,ˈlu.mɪ,vyr,ɛld,neruppu,ˈtuːli,tuʋu,ɑ̟ˈt̪ɛʃ,,api,ˈfaɪ.ə(ɹ),ˈtɑ̃ːn,ti:ttə,ˈtuli,b̥ʰloeṅ,ˈɛltʏr,zui,or,ˈlæmoi,aˈɣonʲ,,kiss,kic,wɔˈɦɔnʲ,dätʃχiri,lɛmɛsg,ˈɔɦɛɲ,fø,,foˈtça,a.pi,fyːr,,ˈtuli,lɨə˧˩,ˈiɡ.nis,*me,tʃitʃtʃ,,benki,taɖmi,fai˦˥,il,,ɔ̀ːɡənʲ,uɡuns,ut,fjuə̯r,ˈtuli,ˈtolla,ɢaɮ,dätʃχuri,ɐɡ.n̪í,ˈfwɔko
swell,,,uˈrɛl,,,,,,,ʃɛʃupʼɛbä,,,,,,,ˈʃvɛlən,bua̯m˧,,,rəzdʊˈvat͡sːə,,,,,,,,,ˈpɑist̪ɨ,,ĩ.ˈʃa(ɹ),ˈpux.nɔɲt͡ɕ,,,,ˈpːɑisːtːumɑ,ˈdɒɡɒd,imˈflaɾ.sə,,,pupʰuɭda̠,,,,,,,,,,,ˈzʋɛlə(n),,,ˈpɑisːuɑ,,,,,swɛl,,,ˈpɑisumɑ,,,pʰu.la,,ˈpuhlotɑ,,,,,,mbäruä,liʃiɛ,,ɡɔ̃.fle,ˈpœlna,ˈpɾizome,,,,ˈpɑisuo,sɨŋ˧˧,in.tuˈmeːs.koː,,,,,,,,,,,,,ˈpɑisuɑ,,,ɔbäru,,
what,,ajindi,int͡ʃʰ,maː.ðaː,entai,endə,,ˈke,tʲeː,rä,vɔs,t͡ʃiˈjá.ni,ena,,vɑː(d),ba:ta,vas,ʔa˨˩.raj˧,t͡ʃe,t͡so,ʂto,,,e:nə,kjɑː,,beːθ,ēmi,eta:nə,ˈmis,,u ˌki,t͡sɔ,kɐkˈvɔ,kjaː,enna:ʈ,ˈmiæ,ˈmi,ˈkə,antə,indiɾdu,muʌ̹t̚,bà,nemɛ,kad̪ˠ,tʃfaɹ(ə),,,,jentə,na̠ɲ̟i,,ʋɑt,kʋɑː,enne,ˈmikæ,entʃina,,næ,apə,wɔt,ˈpe.tʁa,inno,ˈmis,ʾī,xʷaːð,ki,,ˈmi,ʂto,tʃʰe,em,nāto,ʃtʃɔ,mu,mæ,ˈt͡ʃɔ,kwa,kvɛaːʰt,,,vat,,ˈmi,zi˨˩,kʷid,*ɡa.re,je:ndra,aˈno,je:nu,baʈʈal,ɲaŋ˩˨,vad,,ˈkàːj,,,,ˈmikæ,,,mu,,
suck,,,t͡səˈt͡sɛl,masˁ.sˁa,,,ˈt͡sit͡sa,t͡ʃuˈpaɾ,ˈtʲo.al,tsʼɔvä,,,,mækidæn,,,ˈzaʊ̯ɡən,duːt̚˨˩,ˈsu.d͡ʒe,,sɐˈsatʲ,,ˈtʲʃʲʊlʲpʲtʲɪ,,,,,,,ˈimːɨ,,,ssat͡ɕ,,,,ˈnutsːimɑ,ˈsopik,ʃuˈkla,,,p͈a̠ɭda̠,soʊʔ,,sˠuːɟ,θiθ,tʃoʃɑ,,ˈmeːʒiːn,,,t͡ʃuˈt͡ʃaɾ,ˈzœy̯.ɣə(n),,,ˈimiæ,,ɛˈmːɛc,,hisap,sʌk,,,ˈimemɑ,jp´,ˈsjuːa,,,ˈimedɑ,smaktat͡sʲ,mækʲiːˈdæn,,,,tsʼuälä,litʃigw,,sy.se,,,,,,ˈimie,ʔɓu˧˦,ˈsuː.ɡoː,,,,,,,,,,sùːkt,,,ˈimeæ,,xɵxəx,ɔtsʼu,,
warm,,su:ɖə,d͡ʒɛɾm,daː.fiʔ,bekki,uṣṇa,,kaˈljente,,tʰbili,,,,,varm,ʋe:ɖ,vaʁm,ʔun˨˩,kald,ˈtɛpliː,ˈtʲɵplɨj,,ˈʃʲɪltɐs,uppekke,,,,ʋetʃtʃa,bʰulo:gam,ˈle̞m,,,ˈt͡ɕɛ.pwɨ,ˈtɔpəl,,ʋeʈal,ˈlæmːi,ˈmɛlɛɡ,kəˈlent,ba:sun,kuɖni,t͈a̠t͈ɯtʰa̠da̠,pù,,tʲɛ,,,vaːʀm,,bekke,a̠ta̠ta̠ka̠i,ˈkɛnt̪ɪ,ʋɑr(ə)m,,ʋedəʋedəppə,ˈlæmːiː,betʃtʃa,ɯˈɫɯk,iɫɯχ,haŋat,wɔːm,,kortilije,ˈsoe,k̥ṭau,,,,ˈlæm,ˈt͡sʲopɫɨ,ɡʲæːɾm,ʋekka,tūk,,tʼibu,tʼɛbdi,ˈcɛpliː,ʃo,,ze̞ˈsto̞s,,,,ˈlæmːin,ʔəm˧˦,ˈka.li.dus,,udum,,betʃtʃage,ka:sta,,,,ˈtɔ̀ːpəw,sīlts,jɯ̞.ˈɫɯ̞,vaːrm,ˈlæmːin,,,tʼibu,,ˈkaldo
leaf,íːkʰaːsi,jali,tɛˈɾɛv,wa.ra.qa,ele,ila,,ˈoxa,,pʰɔtʰɔli,blat,ˈt͡sa.ᵐba,patɾa,,,a:ki:,blat,baj˧,ˈfrun.zə,ˈlɪst,lʲist,,,elə,,ˈd̪olʲaɡ,ˈdei̯lɛn,a:ku,e:lu,ˈle̞ːd̪j,(ʔ)aˈla,ˈfo.ʎɐ,lʲiɕt͡ɕ,,pətːiː,ʈunɖe,ˈlehtː,ˈlɛveːl,ˈfu.ʎə,pann,ha:tʰa,ip̚,ʔəjwɛʔ,,ˈdʲɪloːɡ,,,,,elakaɳɖa,pa,ˈfo.ʎɐ,blɑt,,ele,ˈlehto,iɾa,jɑpˈɾɑk,jɑrˈpɑχ,daon,liːf,ˈde.ljɛ̃n,eɾs,ˈleht,s̥lẏk,løyːv,,pɑˈɳa,ˈlehtez,lʲist,bæɾɡ,a:k,ev,,pʰurtsɛli,bälɛ,ˈlist,fœj,blɛaː,ˈfilo̞,,blɑːr,ˈfɥɛʎo,ˈlehti,laː˧˦,ˈfo.li.um,*lo.ma,atkʰa,ˈda.hon,jele,a:ki,baɯ˩˨,blad,ˈwɛrʔɐ,ˈlíːst,,jɑpˈrɑq,,ˈlehti,ˈlasːta,,pʰävri,,ˈfɔʎʎa
short,,,kɑɾt͡ʃ,qa.sˁiːr,,,ˈkratɔk,ˈkorto,ˈkɤɾʲɪtʲ,mɔkʼlɛ,,,,,kɔrt,,kʊʁt͡s,san˥˩,skurt,ˈkraːtkiː,kɐˈrotkʲɪj,,,,kəm,,bɨ̞r,,,ˈliːt̪ɨ,,ˈkuɾ.tu,ˈkrut.kʲi,ˈkɤs,t͡ʃʰoː.ʈɑː,,ˈlyhykːene,ˈrøvid,ˈkuɾt,,,t͡ɕ͈a̠ɭt͈a̠,tò,,ɟaːɾˠ,,,,,,mʲiʑika̠i,,kɔrt,,,ˈlyhyd,,,ɡɯˈsɑ,,ʃɔːt,,,ˈlyhike,k̥ʰlī,ˈstʏhtʏr,su.ti,,ˈlyhyd,kaˈrotkʲi,kʰuːˈt̪ʰɒːh,,,kɔˈrɔtkei̯,kʼuntʼä,kʼudæ,ˈkraːtki,kuʁ,,,,,,ˈlyhyt,ŋan˧˦,ˈkur.tus,,,,,,,kɔrt,,ˈkràːtək,îːs,qɯ̞θ.ˈqɑ,,ˈlyhyt,,pɔɡʲən,mkʼulɛ,,ˈkorto
cloud,íːfu,mo:ɖə,ɑmp,sa.ħaː.bah,mo:ɖa,mekʰam,,,ɲiaɫ̪,ʁrubɛli,,mˈta.ᵐbo,ha:gu,,,mabbu,ˈvɔlkə,meːk̚˥˩,nor,mrak,ˈobləkə,fɯ˥,,mandʒu,meːɡʱ,,ˈkʊmʊl,me:gʰamu,me:gam,ˈpiːlɑ,(ʕ)aˈnan,ˈnu.vɐj̃,ˈxmu.ra,,meːɡʱ,tukud,ˈpːilv,ˈfɛlɦøː,,dʒammaɾ,badli:,kuɾɯm,tèɪɴ,,ˈsˠkamˠəl̪ˠ,,,ˈvolək,,mo:ɖa,⟨kumo1⟩,,ʋɔlk,ʃyː,me:gam,ˈpilvi,mo:ɖa,buˈɫ̩ut,,a.wan,klaʊd,ˈku.mul,me:gam,ˈpilʋ,bbk,sciː,daɔɹ,,ˈpilvʲ,ˈxmara,(ʔ)æbɾ,a:bar,malgur,,munäpʰä,mɛrɛ,,ny.aʒ,skʊt͡ʃː,ˈsinɛfɔ,,vɔlk,,ˈpilvi,məj˧˧,,*sprin.pa,bada:li,,mēgha,mabbu,mêːk,,ˈsħaːbɐ,ɔˈbláːk,,bʊ̞ˈɫʊ̞t,,ˈpilʋi,ˈpalːva,,pʼulä,mɐj.ɡʱɐ́,ˈnu.vo.la
fear,,,vɑχ,xawf,,,,ˈmjedo,,ʃiʃi,,,,,,,ʔaŋst,klua̯˧,ˈfrikə,ˈstrax,strax,,,,,,,,,ˈæd̪ɑːgɨ,,ˈme.du,strax,,,,ˈpːelkæmæ,ˈfeːlɛlɛm,ˈpo,,,ˈko̞ːŋpʰo̞,bəjà,,ˈaɡlˠə,ˈfɾik(ə),,aŋʃt,,,,,ɑŋst,,,ˈpelːætæ,,,ɡorˈχu,,fɪə,ɔ̃n,,ˈkɑrtmɑ,,ˈr̥aiðstla,bʱɔe,,ˈvɑrɑitɑ,,,,,,ʃkʰurini,mäqʼäl,strax,pœʁ,,,ta.kut,frɪəs,,ˈvɑrɑt,,ˈpa.wor,,,,,,,,,ˈstráːx,bâjlɛs,,,ˈpelætæ,,,ʃkʼurinä,bʱɐ.jɐ́,paˈu.ra
cold,,səjlijə,ˈsɑrə,baː.rid,taɳidʒe,taɳuppə,,ˈfɾio,fuəɾ,tsivi,,,,,kal,salla:,kalt,jen˧,ˈret͡ʃe,ˈstudɛniː,xɐˈlodnɨj,,ˈʃaltɐs,koɾuʋə,ʈʰən.ɖɑː,,oːɨ̯r,tʃalla,koɾʋə,ˈkiːlmɑ,,ˈfɾi.u,ˈʑim.nɨ,stuˈdɛn,,tukud,ˈkːylm,ˈhidɛɡ,ˈfɾət,jakʰ,panija:,t͡ɕʰa̠n,ʔé,,fˠuəɾˠ,,,kaːl,,talindʒadə,t͡sɨᵝme̞ta̠i,ˈfɾiʊ,kɑu̯t,,kuɭiɾtʃi,ˈtʃylmæ,tʃappa,soˈɰuk,soˈjuχ,səd͡ʒoʔ,kəʊld,,koɾti,ˈkylm,rṅā,ˈkʰaltʏr,,soɻ,ˈkɑuged,xaˈɫodnɨ,sæɾd,pani,pañil,xɔˈlɔdnei̯,ʔini,mətsχi,,fʁwɑ,,,,kœut,,ˈkylmæ,lajŋ̟˧˨ʔ,ˈal.ɡi.dus,*ɡraŋ.mo,ki:ɾna,laˈmiɡ,taɳɳige,sallag,,kɔl,ˈkɪːsɐħ,,āūksts,hɯ̞.ˈwɯ̞q,,ˈkylmæ,,,qʼini,,ˈfreddo
man,umúːntu,gəɳɖaɭə,mɑɾtʰ,ʔin.saːn,panija,a:ɳə,ˈt͡ʃɔvɛk,ˈombɾe,t̪ɯɲə,kʼätsi,mɛnt͡ʃ,,kakasi,,mɛnːɪɧa,magaʋa:ɳɖ,mɛnʃ,ma˦˥.nut̚˦˥,om,ˈt͡ʃlovjɛk,t͡ɕɪlɐˈvʲek,βun˧˩,ʒmoˈɡʊs,kanɖumuga,məˈnʊ.ʂjə,,dɨːn,puɾuʂuɖu,ganmagu,ˈmiːe̞z,,ˈɔmẽɪ̯,ˈt͡ʂwɔ.vʲɛk,tʃoˈvɛk,,tukud,ˈmiːsː,ˈɛmbɛr,ˈɔ.mə,naɾeenə,muɖsa:,ˈsʰa̠ːɾa̠m,lù,,ˈd̪ˠɪnʲə,ɲɛˈɽi,manuʃ,mənʃ,ˈmɯɾov,a:naaɭə,⟨pi1to2⟩,ˈɔmɪ,mɛns,²mɛnːɛʃə,a:ɳə,ˈmeːz,a:ndʒʋu,inˈsɑn,inˈsɑn,,mæn,,a:lom,ˈmeːs,mnus̥s,ˈmanːɛsca,ma.nuʱ,,ˈmezʲ,t͡ʂaɫaˈvʲek,,maniʂa:n,tūk,,kʼɔtʃi,märɛ,ˈt͡ʃɫɔvɛk,ɔm,,ˈanθɾɔpɔs,o.raŋ,,,ˈmies,ŋɨəj˨˩,ˈho.moː,,me:t,,ganɖasu,mankal,ma˧˧ nut˧˧,,ˈbnɪːdɛm,ˈtʃlɔ̀ːʋɛk,tsìlvæ̀ːks,kɪ̞ˈʃɪ̞,ˈminskə,ˈmies,,,kʼɔtʃi,mɐ.n̪uʂ.jɐ́,ˈwɔ.mo
if,,,jɛˈtʰɛ,ʔin,,,ˈakɔ,si,,tʰu,,,,,ɔm,,vɛn,tʰaː˥˩,ˈda.kə,ˈjɛstlɪʒɛ,ˈjes⁽ʲ⁾lʲɪ,,jæj,,ə.ɡəɾ,,ɔs,,,ˈɑʒ,,sɨ,ˈjɛɕ.lʲi,,,,ˈkːu,ˈhɒ,ˈsi,,,,ka̰/,,mˠɑː,,,,,,mo̞ɕi,,ɑ(l)s,,,ˈkui,,,ˈæɡʲæɾ,ka.lau̯,ɪf,,,ˈkui,poe,ɛːv,,,ˈku,,ˈæɡʲæɾ,,,,vär,läχ,ak,si,,,,,,ˈgu,new˧˦,siː,*na,,,,,,ves,ˈjɛkː,tʃɛ,,æˈɡær,ɔs,ˈjos,ˈjos,,vänä,,se
hold,,,bərˈnɛl,,,,,aɡwanˈtaɾ,kʰuːm,dätʃʼɛrä,,,,,,,ˈhaltn̩,tʰɯː˩˩˦,ˈt͡si.ne,dr̩ʒɛt,dʲɪrˈʐatʲ,,tʊˈɾʲeːtʲɪ,,pə.kəɽ.nɑː,,dal,,,ˈpid̪ːɨ,,ˌse.ɡu.ˈɾa(ɹ),ˈtʂɨ.mat͡ɕ,,,,ˈpːitæmæ,ˈtɒrt,ə.ɡwənˈta,,,tɯɭda̠,kàɪɴ,,ˈkɪn̠ʲə,mbaj,,ˈhaːlen,,,,,ˈɦɑu̯də(n),,,ˈpitæː,,,tutˈmɑχ,,həʊld,,,ˈhoidmɑ,kān´,ˈhalta,,,ˈpidɑdɑ,trɨˈmat͡sʲ,,,,,däkʼinɛbä,lirmi,ˈdr̩ʒac,tə.niʁ,,,,ɦœu,,ˈpityæ,zɨ˦ˀ˥,ˈte.ne.oː,,,,,,tʰɯː˩˨,,,,tuɾɛ̂ːt,,hɔːdə,ˈpitæː,,,ɔkʰätʃu,,teˈne.re
stand,,ə:ɭ,kɑŋɡˈnɛl,wa.qa.fa,nindʒo,nilkuga,,,,dgɔmä,,,,,,nilla,ˈʃteː.ən,jɯːn˧,,staːt,stɐˈjætʲ,,,nippə,,,ˈsɛvɨ̞ɬ,niltʃonu,ninnatukə,ˈpiːlɨ,(ʕ)amad,pɨɾ.mɐ.nɨ.ˈseɾ,stat͡ɕ,,,tukud,ˈsːɑisːmɑ,ˈaːlː,,saling,hilpo,sʰʌ̹da̠,jaʔ,,ʃasˠ,ri,d̪aɽano,ˈʃtoːən,,nində,ta̠t͡sɨᵝ,,staːn,,nil,ˈsɤizoɑ,untaɾa,,daˈjɑnmɑχ,,stænd,,mukkaɖuɾil,ˈseismɑ,jʰr,ˈstanta,tʰiɔ ɦʊa,,ˈseiʃtɑ,,iːstʰɒːˈdæn,ni:ma:n,nilp,,gɛrinä,lignɛ,ˈstaːc,ɛ.tʁə d(ə).bu,,ˈstekome,,,,ˈseisuo,ʔɗɨŋ˧˦,stoː,,idʒdʒna,,nintiko,nil,,,,,stāːvɛ̂ːt,,ˈsteən,ˈseisoɑ,,t͡sɔɡsəx,dɔdginu,,
give,,koɖ,tɑl,ʔaʕ.tˁaː,koɖu,koɖukkuga,,ˈdaɾ,,mitsɛmä,,ˈpa.t͡sa,taa,dɔːdæn,jeː,i:m,ˈɡeːbən,haj˥˩,da,ˈdaːvat,dɐˈvatʲ,haɯ˥,ˈduɔtʲɪ,koɖu,d̪eː.nɑː,,r̥ɔi̯,itʃtʃu,tej,ˈɑnd̪ɨ,,ˈdaɾ,ˈda.vat͡ɕ,ˈdavəm,d̪ena,tʃi,ˈɑntmɑ,ˈɒd,doˈna,tinning,tʃiba:h,t͡ɕuda̠,pé,,ˈt̪ˠuːɾʲ,,,,,koɖi,*ataperu,,ˈɣeːvə(n),,kuɖə,ˈɑnːɑː,koɾo,veɾ.mec,verˈmæk,bəri,ɡɪv,ˈrɛĩ,ittʃadta,ˈɑndmɑ,o̥y,ˈcɛːva,,,ˈɑntːɑ,,d̪ɒːˈd̪æn,si:ta:n,cī,,mɛtʃämä,lihwdi,,dɔ.ne,t͡ʃeːʋa,,bəri,,,ˈɑntuɑ,t͡ɕɔ˧˧,doː,,tʃihna,,koɖu,hi,mɔːp˥˦,ɡiː,,ˈdati,duôt,,jaːn,ˈɑntɑː,,oɡəx,mɛtʃämu,,ˈda.re
when,,,jɛɾpʰ,ma.taː,,,ˈkɔɡa,ˈkwando,,rɔdis,,,,,,,van,mɯa̯˥˩,kɨnd,ɡdɪ,kɐɡˈda,,kɐˈdɐ,,kəb,,prɨːd,,,ˈkunɑː,maˈtaj,ˈkwɐ̃.du,ˈkʲɛ.dɨ,,,,ˈkːunɑ,ˈmikor,ˈkwan,,,ˈɘːnd͡ʑe̞,bɛ̀dɔ̰,,kəˈhɪnʲ,,kɒ.kʰɒn,,,,nã̠ɲ̟d͡ʑi,,ʋɑˈneːr,,,ˈkɤnz,,,ˈhɑt͡ʃɑn,bi.lə,ʍɛn,,,ˈmilːɑl,ʾṅ̥kāl´ṇā,,kɛ.tia,,ˈkonz,,kʰej,,,kɔˈlɪ,muʒäms,ʃɔmä,,kɑ̃,,ˈpote,ka.pan,,,ˈkonsɑ,xi˧˧ naːw˨˩,ˈkʷan.doː,,,,,,mɯa˧˧,vɔrnɔːr,,ˈɡdàːj,,ˈqɑsɑn,,ˈkoskɑ,,,mundɛs,kɐ.d̪ɑ́ː,ˈkwando
thin,,,bɑˈɾɑk,,,,ˈtɛnɔk,ˈfino,,tʰχɛli,,,,,,,dʏn,baːŋ˧,slab,ˈtɛŋkiː,ˈtonkʲɪj,,,,pət̪.lɑː,,ˈtɛnaɨ̯,,,ˈvʊit̪i,,ˈfi.nu,ˈt͡ɕɛn.kʲi,ˈtɤnək,,,ˈohkːu,ˈveːkoɲ,,,,ka̠nɯɭda̠,pá,,keːl̪ˠ,,,den,,,,,,,,ˈɤhud,,inˈdʒɛ,,,ˈθɪn,,,ˈɤhuke,s̥ṭoeṅ,ˈθʏnːʏr,,,ˈkyrzʲ,ˈtonkʲi,,,,,tʰχitʰχu,dətʰχɛl,ˈcɛŋkɔ,mɛ̃s,,,,,,ˈlætːy,mawŋ͡m˧˩,supˈtiː.lis,,,,,,baːŋ˩˨,,,,tiêws,jʊ̞ˈqɑ,,ˈohut,,,tʰitʰχu,,sotˈtile
seed,ímbêːwu,bissə,sɛɾm,,kuɾu,vita,,,,tʰɛsli,ˈzɔɪ̯mn̩,ˈᵐbé.(w)u,,tuxm,,pe:ɳɖku,ˈzaːmən,ma˦˥.let̚˦˥.pʰan˧,səˈmɨntsə,ˈsɛmɛno,ˈsʲemʲə,,ˈsʲeːklɐ,pittə,,,haːd,ʋittanam,ʋitu,ˈsiːe̞mgɨz,,sɨˈmẽtɨ,naˈɕɛ.ɲɛ,ˈsɛmɛ,,tukud,ˈsːeːmeʔ,ˈmɒɡ,ʎəˈvo,bedʒdʒ,bʰumi,ɕ͈i,ʔəsḭ,,ʃiːl,ˈfaːɾ,,zoːm,ˈtov,kuɾu,ta̠ne̞,seˈmɛnte̝,zaːt,frøː,ʋedə,ˈseːmeː,bi:dʒa,,toˈχum,bəneh,siːd,,pittə,ˈseːme,g̥rāp´būj,fraiː,ɡu.ti,,ˈsemen,naˈsʲenʲːe,t̪ʰoχm,ʋittanam,vittid,ˈsʲimjɐ,tʰäsi,læʃi,ˈsɛmɛnɔ,sə.mɑ̃s,fɹɛaː,ˈspo̞ro̞s,,,,ˈsiemen,hot̚˧˨ʔ,ˈseː.men,,bi:,,bede,vidʒdʒa,,sɛːd,zɛrˈrɪːja,ˈsèːmɛ,,ʊ̞rˈɫʊ̞q,,ˈsiemen,,ur,tʰäsi,bíː.d͡ʑɐ,ˈseme
vomit,,,,ta.qaj.ja.ʔa,,,ˈpɔvraca,,,rtsʼqʼɛvä,,,,,,,ˌyːbɐˈɡeːbən,ʔaː˧.t͡ɕia̯n˧,,,blʲɪˈvatʲ,,,,,,,,,ˈoksnɨ,,vu.mi.ˈtaɾ,vɨ.mʲɔˈtɔ.vat͡ɕ,,,,ˈosːsːɤntɑmɑ,ˈhaːɲ,vo.miˈta,,,ke̞uda̠,ʔàɴ,,ˈaʃɪɟ,,,ˈkɑtsən,,,,,,,,ˈɤhsɤnɤɑ,,,ɡusˈmɑχ,muntah,ˈvɒmɪt,,,ˈoksendɑmɑ,k̥ʾuat,ˈaiːla,bɔ.mi kɔ.ɹa,,ˈoksetɑ,,,,,,rtsʼqʼiälä,litʼχunɛ,,vɔ.miʁ,,,,,,ˈoksenduɑ,non˧˧,ˈwo.moː,,,,,,,,,,,,,ˈoksentɑː,,,ɔntʰχɔru,,vomiˈtare
sand,ísiɬaɓâːtʰi,maɳalə,ɑˈvɑz,raml,maɳə,maɳal,,aˈɾena,,kʰviʃä,,mˈt͡ʃe.ᵑɡa,bali,reɡ,,isike,zant,saːj˧,niˈsip,ˈpiːsɛk,pʲɪˈsok,θa˨˦,,pakke,ɾeːt̪,ˈɡʲanʲax,,isuka,bʰulo:gam,ˈjɨugɨ,,ɐˈɾɐjɐ,ˈpʲa.sɛk,ˈpʲasək,,ma:n,ˈliːv,ˈhomok,ˈso.rə,ɾe:k,ba:li,mo̞ɾe̞,θɛ́,qum,ˈɡanʲəvˠ,,,zɑnt,,maɳa,sɨᵝna̠,ˈʃaβɾe̝,zɑnt,sɑnd,maɳal,ˈliːvɑ,pojja,kum,,pase(r),sænd,tʁɛs,manal,ˈliːʋ,k̥ʰsāc´,ˈsantʏr,ba.li,,ˈlete,pʲaˈsok,,usuka,man,pʲiˈsɔk,kʰviʃä,kʰwiʃɛ,ˈpi̯ɛsɔk,sɑbl,,,,sant,ˈsaβlo,ˈtʃuːru,kaːt̚˧˦,aˈreː.na,,tʃalkuɾu,,maraɭu,uske,,san,,ˈpèːsək,,qʊ̞m,,ˈhiekːɑ,ˈsaːttuː,,ʁumi,,ˈsab.bja
that,,adə,ɑjd,ðaː.li.ka,aʋe:,a:,,ˈese,ʃɪn,is,,,et,,dɛnː,addu,ˈjeːnɐ,nan˥˩,aˈt͡ʃela,ˈtamtɛn,tot,,,adə,,,ˈhʊnʊ,ā,adhə,ˈt̪ɑː,,ˈe.sɨ,ˈtam.tɛn,ˈɔnzi,,adə,ˈtːuː,ˈɒz,əˈkəʃ,ae,a:du,kɯ,hò,,ənˠ,,,,,adə,⟨so2 no2⟩,,dɑt,,anta,ˈtoː,aʋu,ʃu,ɔ,itu,ˈðæt,,adə,ˈtoː,noḥ,,,,ˈse,toj,ɒːn,ad,ā,,tʰinä,ɛdʒi,tɛn,sə,,,,,,ˈtuo,ʔɗɔ˧˦,ˈis.te,,hu:,,ā,adu,,dən,,,tas,,,ˈtuo,,,ɛjä,,ˈkwello
dry,,ajngənu ipədə,t͡ʃʰoɾ,d͡ʒaːff,unaku,varaṇṭa,,ˈseko,ˈtʃʰiɾəm,mʃräli,,,,,,aɾta:d,ˈtʁɔkən,hɛːŋ˥˩,usˈkat,ˈsuxiː,sʊˈxoj,ɣeːŋ˦˨,,oɳikiladə,suː.kʰɑː,,sɨːχ,eɳɖu,kanʈiko,ˈkuːjɑ,,ˈse.ku,ˈsu.xɨ,,suːkʰa,tukud,ˈkːuiv,ˈsaːrɒz,əˈʃut,ba:ɾun,a:ika:,ma̠ɾɯda̠,t͡ɕʰaʊʔ,,ˈtʲɪɾʲəmʲ,,,ˈdʀeχen,,oɳangina,ka̠ɰᵝa̠kɯ̟ᵝ,,droːx,,ularnta,ˈkuivɑ,nunguduna,,,,dɹaɪ,ˈsɛːχ,oɳikisi,ˈkuiʋ,s̥ṅuat,θʏrː,xu.kan,,ˈkuiv,suˈxʲi,xoʃk,a:tiɾ,tūk,,skʰiru,pʰikʼwi,ˈsuxiː,sɛk,,,,,,ˈkuivɑ,xo˧˧,ˈsik.kus,*skam.po,kʰajka,,battida,ʋaʈʈa,,tœːr,,ˈsúːx,sàws,qʊ̞ˈrʊ̞,,ˈkuiʋɑ,,,χɔmulä,ɕúʂ.kɐ,ˈsekko
far,,,hɛˈru,ba.ʕiːd,,,,,,ʃɔri,,,,,,,fɛʁn,klaj˧,deˈpar.te,ˈdalɛkiː,dɐˈlʲɵkʲɪj,,,,d̪uːɾ,,pɛɬ,,,ˈkougɨn,ʁaˈχɔk,ˈlõ.ʒɨ,daˈlɛ.kʲi,dəˈlɛtʃɛn,,,ˈkːɑvːɤn,ˈmɛsːɛ,ʎuˈɲa,,,,wékwà,,ˈfˠɑd̪ˠə,,,,,,,,vɛr,,,ˈkɑukɑlːɑ,,uˈzac,uˈzɑχ,d͡ʒaoh,fɑː,,,ˈkɑugel,c̥ʰṅāy,,,ˈləre,ˈedɑhɑn,daˈlʲokʲi,,,,,ʃɔri,dʒwɛdiä,,lwɛ̃.tɛ̃,,makriˈa,,,,ˈetæhænæ,saː˧˧,ˈpro.kul,,,,,,,,,ˈdàːlɛtʃ,tâːls,ɑˈɫɯ̞θ,,ˈkɑukɑnɑ,,χɔɬ,mɛndrä,,lonˈtano
