word, cs, cy, de, el, en, eo, es, fr, ga, hu, hy, is, it, ka, km, ko, lv, ms, my, nl, pl, pt, ro, ru, sk, sl, th, tr, vi
eye, ˈoko, ˈɬəɡad, ˈaʊ̯ɡə, ˈmati, aɪ, oˈkulo, ˈoxo, œj, sˠuːlʲ, ˈsɛm, ɑt͡ʃʰkʰ, ˈøyːɣa, ˈɔk.kjo, tʰvɑli, b̥ʰnaek, nun, ats, matə, mjɛʔsḭ, oːx, ˈɔ.kɔ, ˈo.ʎu, okʲ, ɡlas, ˈɔkɔ, ɔˈkóː, taː˧, ɟøz, mat̚˧˦
tooth, zup, dant, t͡saːn, ˈðɔndi, tuːθ, ˈdento, ˈdjente, dɑ̃, ˈfʲiəkəlʲ, ˈfoɡ, ɑˈtɑm, tʰœnː, ˈdɛnte, kʼbili, d̥ʰmeñ, i, zùops, ɡiɡi, θwá, tɑnt, zɔmp, ˈdẽ.tɨ, ˈdinte, zup, ˈzup, ˈzóːp, fan˧, diʃ, zaŋ˧˧
tongue, ˈjazɪk, ˈtavɔd, ˈtsʊŋə, ˈɣlosa, tʌŋ, ˈlanɡo, ˈlenɡwa, lɑ̃ɡ, ˈtʲaŋə, ˈɲɛlv, lɛˈzu, ˈtʰuŋka, ˈliŋ.ɡwa, ɛnɑ, ʾṇ̥ṭāt, çjʌ̹, mɛ̀ːlɛ, lidah, ʃà, tɔŋ, ˈjɛ̃.zɨk, ˈlĩ.ɡwɐ, ˈlimbə, (j)ɪˈzɨk, ˈja.zik, ˈjɛ̀ːzik, lin˦˥, ˈdil, lɨəj˦ˀ˥
hand, ˈruka, ɬaːu̯, hant, ˈçeɾi, hænd, ˈmano, ˈmano, mɛ̃, l̪ˠɑːvˠ, ˈkeːz, d͡zɛrkʰ, hœnt, ˈmaːno, χɛlɪ, ṭai, sʰo̞n, ɾùoka, taŋan, lɛʔ, ɦɑnt, ˈrɛŋ.ka, ˈmɐ̃w̃, ˈmɨ.nə, rʊˈka, ˈruka, rɔ̀ːka, mɯː˧, el, taj˧˧
drink, piːt, ˈəvɛd, ˈtʁɪŋkən, ˈpi.no, dɹɪŋk, ˈtrinki, beˈβeɾ, bwaʁ, oːl̪ˠ, ˈisik, χəˈmɛl, ˈtrɛhka, ˈbe.re, smɑ, pʰẏk, ma̠ɕʰida̠, dzɛɾ̂t, minom, θaʊʔ, ˈdrɪŋkə(n), pʲit͡ɕ, be.ˈbeɾ, be̯a, pʲitʲ, ˈpic, ˈpiːti, dɯːm˨˩, it͡ʃˈmɛ́c, ʔuəŋ˧˦
see, ˈvɪɟɛt, ɡwɛld, ˈzeː.ən, ˈvlepo, siː, ˈvidi, ˈbeɾ, vwaʁ, fʲɛc, ˈlaːt, tɛsˈnɛl, ˈsjauː, veˈde.re, χɛdvɑ, gʰoeñ, po̞da̠, ɾɛdzɛ̂ːt, lihat, twḛ, zin, ˈvʲi.d͡ʑɛt͡ɕ, veɾ, veˈde̯a, ˈvʲidʲɪtʲ, ˈviɟi̯ɛc, ˈʋiːdɛti, hen˩˩˦, ɟœɾmɛc, ɲin˨˩ tʰəj˧˦
rain, ˈdɛːʃc, ɡlau̯, ˈʁeːɡən, vɾoˈçi, ɹeɪn, ˈpluvo, ˈʎubja, plɥi, ˈbˠɑːʃtʲəx, ˈɛʃøː, ɑnd͡zˈɾɛv, ˈrɪkniŋk, ˈpjɔddʒa, tsʼvimɑ, b̥ʰliaṅ, pi, liɛ̂tus, hud͡ʒan, mó, ˈreː.ɣə(n), dɛʂt͡ʂ, ˈʃu.vɐ, ˈplʷaje, doʂtʲ, daːʃc, ˈdə́ʃ, fon˩˩˦, jaːˈmúɾ̝̊, mɨə˧˧
fire, ˈoɦɛɲ, taːn, ˈfɔʏər, foˈtça, ˈfaɪ.ə(ɹ), ˈfai̯ro, ˈfweɡo, fø, ˈtʲɪnʲə, ˈtyːz, kəˈɾɑk, ˈɛltʏr, ˈfwɔko, tsɛtsxli, b̥ʰloeṅ, puɭ, uɡuns, api, mí, vyr, ˈɔ.ɡʲɛɲ, ˈfo.ɣu, fok, ɐˈɡonʲ, ˈɔɦɛɲ, ɔ̀ːɡənʲ, faj˧, ɑ̟ˈt̪ɛʃ, lɨə˧˩
mountain, ˈɦora, ˈmənɨ̞ð, bɛrk, ˈo̞ro̞s, ˈmaʊntɪn, ˈmonto, monˈtaɲa, mɔ̃.taɲ, ʃlʲiəvˠ, ˈhɛɟ, lɛr, fjatl, monˈtaɲɲa, mtʰɑ, b̥ʰnṃ, sʰa̠n, kâlns, ɡunoŋ, tàʊɴ, bɛrx, ˈɡu.ra, mõ.ˈtɐ.ɲɐ, ˈmuntɛ, ɡɐˈra, ˈɦɔra, ɡɔ̀ːra, pʰuː˧, dɑː, nuj˧˦
red, ˈt͡ʃɛrvɛniː, koːχ, roːt, ˈkocinos, ɹɛd, ˈru.d͡ʒa, ˈroxo, ʁuʒ, ˈdʲaɾˠəɡ, ˈpiroʃ, kɑɾˈmiɾ, ˈrøyːðʏr, ˈros.so, tsʼitʰɛli, k̥rhm, p͈a̠ɭɡa̠tʰa̠, sâɾkans, merah, nì, roːt, t͡ʂɛrˈvɔ.nɨ, vɨɾ.ˈmɐ(j).ʎu, ˈro.ʃu, ˈkrasnɨj, ˈt͡ʃɛrvɛniː, ərˈdɛ́tʃ, dɛːŋ˧, kɯɾmɯzɯ, ʔɗɔ˧˩
green, ˈzɛlɛniː, ɡwɨ̞rð, ɡʁyːn, ˈpɾasinos, ɡɹiːn, ˈverda, ˈberde, vɛʁ, ɡlˠasˠ, ˈzøld, kɑˈnɑt͡ʃʰ, kraitn, ˈver.de, mtsʼvɑnɛ, paitṅ, no̞ks͈e̞k̚, zaʎʃ, hid͡ʒau̯, séɪɴ, ɣrun, ʑɛˈlɔ.nɨ, ˈveɾ.ðɨ, ˈver.de, zʲɪˈlʲɵnɨj, ˈze̞.ɫe̞.niː, zɛˈlɛ́n, kʰia̯w˩˩˦, jeˈʃil, maw˨˩
white, ˈbiːliː, ɡwɨ̞n, vaɪs, ˈaspro̞s, waɪt, ˈblanka, ˈblanko, blɑ̃, bˠɑːn̪ˠ, ˈfɛɦeːr, əspiˈtɑk, ˈxʷiːtʏr, ˈbjaŋko, tʰɛtʰri, s, çida̠, bālts, puteh, pʰjù, ʋɪt, ˈbʲa.wɨ, ˈbɾɐ̃.ku, alb, ˈbʲelɨj, ˈbi̯ɛli, ˈbéːw, kʰaːw˩˩˦, ɑk, t͡ɕaŋ˧˦
black, ˈt͡ʃɛrniː, dɨː, ʃvarts, ˈmavros, blæk, ˈni.ɡra, ˈneɡɾo, nwaʁ, d̪ˠʊvˠ, ˈfɛkɛtɛ, sɛv, ˈsvar̥tʏr, ˈne.ro, ʃɑvi, k̥ʰmau, ˈkɘːmda̠, mǣlns, hitam, nɛʔ, zʋɑrt, ˈt͡ʂar.nɨ, ˈne.ɡɾu, ˈne.ɡru, ˈt͡ɕɵrnɨj, ˈt͡ʃi̯er.ni, ˈtʃə̀rn, dam˧, kɑˈɾɑ, ʔɗɛn˧˧
name, ˈjmɛːno, ˈɛnʊ, ˈnaːmə, ˈo̞no̞ˌma, neɪm, ˈnomo, ˈnom.bɾe, nɔ̃, ˈanʲəmʲ, ˈneːv, ɑˈnun, napn, ˈno.me, sɑxɛli, j̥ʰmoḥ, iɾɯm, vàːɾds, namə, ʔəmjì/, naːm, ˈi.mʲɛ, ˈno.mɨ, ˈnu.me, ˈimʲə, ˈmɛnɔ, iˈméː, t͡ɕʰɯː˥˩, ɑt̪, ten˧˧
