,vro,liv,et,krl,fi,vot,vep
vro,,,,,,,
liv,13.5998,,,,,,
et,6.95744,13.27693,,,,,
krl,11.71395,13.23616,11.77254,,,,
fi,11.78387,12.90415,11.36643,6.56123,,,
vot,10.82152,13.27916,10.86112,8.76819,7.57813,,
vep,11.08677,14.18101,10.85639,10.2475,11.71065,11.20334,
