,aa,ab,ae,af,ak,am,an,ar,as,av,ay,az,ba,be,bg,bh,bi,bm,bn,bo,br,bs,ca,ce,ch,co,cr,cs,cu,cv,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,ff,fi,fj,fo,fr,fy,ga,gd,gl,gn,gu,gv,ha,he,hi,ho,hr,ht,hu,hy,hz,ia,id,ie,ig,ii,ik,io,is,it,iu,ja,jv,ka,kg,ki,kj,kk,kl,km,kn,ko,kr,ks,ku,kv,kw,ky,la,lb,lg,li,ln,lo,lt,lu,lv,mg,mh,mi,mk,ml,mn,mr,ms,mt,my,na,nb,nd,ne,ng,nl,nn,no,nr,nv,ny,oc,oj,om,or,os,pa,pi,pl,ps,pt,qu,rm,rn,ro,ru,rw,sa,sc,sd,se,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tl,tn,to,tr,ts,tt,tw,ty,ug,uk,ur,uz,ve,vi,vo,wa,wo,xh,yi,yo,za,zh,zu,
who,,,,,,,,mann,,,,kim,kɪ̞m,xto,kɔj,,,,,*su,piv,,ˈki,,,,,ɡdo,,,puːɨ̯,vɛm,veːɐ̯,,,,,hw,,ˈkjen,,,kʰej,,ˈkukɑ,,kvøːr,ki,,ceː,koː,,,,,,,kɔːn,,,,ˈki,ɔv,,,,,,,,kwa,xʷɛːr,k̟i,,tare,,,,noː,,,,ʾ̥nkṇā,,nuɡu,,,,,,,kʷis,,,,,,,,,,,,kɔj,,,,siapə,,bəθù,,,,,,ʋi,,,,,ˈⁿda.ní,,,,,,,,ktɔ,,kẽ(j̃),,,,,kto,,kɐ,,,,,,kto̞,ˈɡdòː,,,,kuʃ,,,,,,,,,,kʰraj˧,,,,,,cim,,,,,,ˈxtɔ,,,,ʔaːj˧˧,,,,,,,,,úɓaːní,
what,,,,vat,,,,maː.ðaː,ki,,,næ,,ʂto,kɐkˈvɔ,,,,,*ɡa.re,ˈpe.tʁa,,ˈkə,,,,,t͡so,,,beːθ,vad,vas,,,,,wɔt,ˈkio,ˈke,,,tʃʰe,,,,kvɛaːʰt,kwa,,kad̪ˠ,tʲeː,,,,,,,kjɑː,,,,ˈmi,int͡ʃʰ,,,,,,,,kwo,xʷaːð,,,na̠ɲ̟i,,rɑ,,atea,,,,ʾī,,muʌ̹t̚,,,,,,,kʷid,,,,,ɲaŋ˩˨,,,,,,,,,,,apə,,bà,,,,,,ʋɑt,kʋɑː,,,,t͡ʃiˈjá.ni,,,,,,,,t͡sɔ,,u ˌki,,,,t͡ʃe,ʂto,,,,,,,,ˈt͡ʃɔ,ˈkàːj,,,,tʃfaɹ(ə),,,,,vɑː(d),,,,,ʔa˨˩.raj˧,,,aˈno,,,,,,,,nemɛ,ʃtʃɔ,kjaː,,,zi˨˩,,,,,vɔs,,,,,
where,,,,,,,,ʔaj.na,,,,ˈhɑrɑda,,,,,,,,,,,ˈon,,,,,,,,man,,,,,,,ʍɛə(ɹ),,ˈdonde,,,kʰoˈdʒɒː,,ˈmisːæ,,,,vɛːr,kɑː,,ˈonde̝,,,,,,,,,,ˈɒɦol,vɔɾˈtɛʁ,,,,,,,,ˈu.be,kʰvaːr,ˈdove,,idu,,sɑd,,,,,,aeṇā,,ʌ̹di,,,,,,,,,,,,,kʊr,,kùɾ,,,,ˈkadɛ,,,,di manə,,bɛ̀,,,,,,,kʊrː,,,,,,,,,,,,,,,,,,ˈunde,,,,,,,,,,,,,,,,,,,,,,,,tʰiː˥˩.naj˩˩˦,,,saˈan,,,,,,,,,,,,,ʔəː˧˩ ʔɗəw˧˧,,,,,vʊ,,,,,
when,,,,,,,,ma.taː,kɛ.tia,,,ˈhɑt͡ʃɑn,ˈqɑsɑn,,,,,,kɒ.kʰɒn,,,,ˈkwan,,,,,ɡdɪ,,,prɨːd,vɔrnɔːr,van,,,,ˈpote,ʍɛn,,ˈkwando,,,kʰej,,,,,kɑ̃,,kəˈhɪnʲ,,,,,,,maˈtaj,kəb,,,,ˈmikor,jɛɾpʰ,,,ka.pan,,,,,ˈkan.de,,ˈkwando,,nã̠ɲ̟d͡ʑi,,rɔdɪs,,,,,,ʾṅ̥kāl´ṇā,,ˈɘːnd͡ʑe̞,,,,,,,ˈkʷan.doː,,,,,mɯa˧˧,kɐˈdɐ,,,,,,ˈkɔɡa,,,,bi.lə,,bɛ̀dɔ̰,,,,,,ʋɑˈneːr,,,,,,,,,,,,,ˈkʲɛ.dɨ,,ˈkwɐ̃.du,,,,kɨnd,kɐɡˈda,,kɐ.d̪ɑ́ː,,,,,,,ˈɡdàːj,,,,,,,,,,,,,,mɯa̯˥˩,,,,,,,,,,,,kɔˈlɪ,,,,xi˧˧ naːw˨˩,,,,,,,,,,
how,,,,,,,,kaj.fa,kɛ.nɛ.koɪ,,,ˈned͡ʒæ,,,,,,,kibʱabe,,,,ˈkɔm,,,,,jak,,,sɨ̞t,,viː,,,,ˈpos,haʊ,,ˈkomo,,,,,,,,kɔ.mɑ̃,,ˈkʊnˠəsˠ,,,,,,,(ʔ)eχ,,,,,,int͡ʃʰˈpɛs,,,,,,,,ˈkwa.le,,ˈkome,,,,rɔɡɔr,,,,,,rpiapṇā,,ʌ̹t͈ʌ̹kʰe̞,,,,,,,ˈkʷoː.mo.do,vɜɪ,,,,,kaɪˑp,,,,,,ˈkakɔ,,,,,,bɛ̀,,,,,,ɦu,ˈkʊrlæɪs,,,,,,,,,,,,jak,,ˈko.mu,,,,kum,kak,,,,,,,,ˈjak,kaˈkòː,,,,si,,,,,hʉːr,,,,,jaŋ˧.ŋaj˧,,,,,,ˈnɑ.sɯɫ,,,,,,,,,,,liˈo,,,,,,,,ɠáɲdʒaːní,
not,,,,ni,,,,laː,nɔ.ɦɔɛ,,,dejil,ˈtʏ.ɡɪ̞l,nʲe,nɛ,,,,,,,,ˈno,,,,,nɛ,,,dɪm,ekə,nɪçt,,,,ðe̞,nɒt,ne,no,,es̻,næ,,ˈei̯,,ˈɪʰtʃːɪ,nə,ˈnɛt,n̠ʲiː,,ˈnʊŋ,,,,,lo,nə.ɦĩː,,,,ˈnɛm,t͡ʃʰ,,,,,,,,ne,ˈɛhcɪ,non,,,,ɑr,,,,,,,,a̠n,,,,,,,noːn,,,,,bɔː˧˧,,,,,,,,,,,tidaʔ,,mə,,,,,,nit,²ɪçːə,,,toːta,,,,,,,,,ɲɛ,,nɐ̃w̃,,,,nu,nʲɪ,,,,,,,,,ˈnɛ́,,,,nʊk,,,,,ˈɪnˌtɛ,,,,,maj˥˩,,,,,,dejil,,,,,,ˈnɛ,nəɦĩː,,,xəwŋ͡m˧˧,,,,,nit,,ɓou˥,,,
all,,,,,,,,kull,xɔ.kɔ.lʊ,,,,ˈbʏ̞.tæ,,,,,,,,,,ˈtot,,,,,ˈfʃɪxɲɪ,,,ɪˈɡɨːd,alə,al,,,blɪbəʊ,,ɔːl,,ˈtodos,,,hæˈme,,,,ˈat.lʊɹ,tus,,ˈɪlʲə,,,,,,,kol,səb,,,,ˈmindɛn,bɔˈlɔɾ,,,sə.mu.a,,,,,,,ˈtutto,,sɨᵝbe̞te̞,,qʼvɛlɑ,,,,,,,,ˈmo̞ːdɯn,,,,,,,,,,,,,ˈvʲɪ.sɐs,,,,,,ˈsitɛ,,,,səmuə,,ʔálóʊɴ,,,,,,ɑl,,,,,,tut,,,,,,,ˈfʂɨ.stɛk,,ˈto.ðu,,,,tot,vʲesʲ,,s̪ɐ́ɽ.ʋɐ,,,,,,ˈfʃɛtɔk,ˈʋə́s,,,,ɡjiθ(ə),,,,,ˈalˌa,,,,,,,,,,,byˈtyn,,,,,,,,,,,,,,,ˈalə,,,,,
many,,,,bajə,,,,ka.θiːr,,,,t͡ʃɔχ,kʏp,,,,,,,,,,ˈmolt,,,,,ˈmnoɦo,,,,manɡə,ˈfiːlə,,,,,ˈmɛni,,ˈmut͡ʃos,,,zɪˈjɒːd,,,,ˈmɛŋkʊɹ,bo.ku,,əˈl̪ˠɑːnˠ,ˈiməɣ,,,,,,,bɔˈhɔt̪,,,,ˈʃok,ʃɑt,,,baɲak,,,,,,ˈmarkʏr,,,,,bɛvri,,,,,,c̥roen,,ˈma̠ːnɯn,,,ˈɡɛlɛk,,,,ˈmul.tiː,,,,,,dɐuɡ,,dāūdz,,,,ˈmnɔɡu,,,,baɲak,,mjá,,,,,,veːl,,,,,,,,,,,,,ˈvʲɛ.lɛ,ɖer,ˈmũj̃.tuʃ,,,,mult͡sʲ,ˈmnoɡə,,bɐ.ɦú,,,,,,,ʋɛˈlìːkɔ,,,,,,,,,,,,,,,,,,,,tʃɔk,,,,,,bɐˈɦɑtɔ,,,,ɲiaw³³,,,,,aˈsax,,,,,
some,,,,,,,,,,,,,,,,,,,,,,,,,,,,ˈɲɛkolɪk,,,,noən,,,,,,sʌm,,,,,,,,,,dy,,ɾˠəɪn̠ʲtʲ,,,,,,,,t̪ʰoɽaː,,,,,,,,,,,,,,,,,,,,,,,,,,,mjʌ̹t̚,,,,,,,,,,,,,,,,,,,,,,,,,tət͡ɕʰo̰,,nuː.en,,,,ʋɑt,,,,,,,,,,,,,ˈtrɔ.xɛ,,al.ˈɡũʃ,,,,,nʲɪˈmnoɡə,,,,,,,,ˈɲi̯ɛkɔʎkɔ,,,,,,,,,,ˈnoːˌ(ɡ)ra,,,,,baːŋ˧,,,,,,,,,,,,ˈkilʲka,,,,mot̚˧˨ʔ ʔit̚˧˦,,,,,,,,,,
few,,,,,,,,qa.liːl,,,,ɑz,æð,,,,,,,,,,ˈpɔk,,,,,ˈmaːlo,,,əˈχədɨ̞ɡ,fɔː,ˈveːnɪç,,,,ˈliɣos,fjuː,,,,,kʲæm,,,,,pø,,bʲɔɡ,,,,,,,,kʊt͡ʃʰ,,,,ˈkɛveːʃ,kʰitʃʰ,,,,,,,,po.ka,,ˈpɔ.ko,,sɨ̥ᵝko̞ɕi,,tsɔtʼɑ,,,,,,tic,,ˈt͡ɕɘːk̚t͈a̠,,,,,,,ˈpau̯.kus,,,,,nɔːj˥˧,,,,,,,ˈmaɫku,,,,,,nɛ́,,,,,,ˈʋɛi̯nəx,,,,,,,,,,,,,ˈma.wɔ,ləɡ,ˈpow.kuʃ,,,,puˈt͡sin,nʲɪˈmnoɡʲɪj,,,,,,,,ˈmaːlo,mâlo,,,,,,,,,foː,,,,,nɔːj˦˥,,,,,,ɑz,,,,,,ˈmɑlo,,,,ʔit̚˧˦,,,,,,,,,,
other,,,,,,,,,an,,,bɑʃˈkɑ,bɑʂˈqɑ,ˈjinʂɨ,druk,,,,,,ˈalː,,,,,,,ˈdruɦiː,,,ˈaraɬ,andrə,ˈʔandəʀə,,,,,ˈʌðə(ɹ),aˈlia,ˈotɾo,,,diːˈɡʲæɾ,,ˈtoi̯nen,,,otʁ,,ˈɛlʲə,ˈelə,,,,,,,ənj,,,,ˈmaːʃik,ɑjl,,,,,,,,alˈtra,,ˈal.tro,,ho̞ka̠,,sxvɑ,,,,,,,,ta̠ɾɯn,,,,,,,ˈal.ter,,,,,,,,,,,,,,,,,,ʔət͡ɕʰá,,,,,,ˈɑn.dər,,,,,,,,,,,,,ˈin.nɨ,bəl,ˈo(w).tɾu,,,,alt,drʊˈɡoj,,,,,,,,ˈdruɦiː,ˈdrùːɡi,,,,,,,,,,,,,,ʔɯːn˨˩,,,,,,di(j)eɾ,,,,,,ˈinʃɪj,,,,xaːk̚˧˦,,,,,,,,,,
one,,akʼɨ,,,,,,waː.ħid,ɛk,,ma.ja,,bɪ̞r,,,,,,æk,*kt͡ɕik,ˈỹː.nãn,,ˈun,,,,,ˈjɛdɛn,,pʲɘˈrʲːe,ɨːn,,aɪ̯ns,,,,ˈe̞na,wʌn,ˈunu,ˈuno,,,jekʲ,,ˈyksi,,,œ̃,,iːnˠ,ɯːn,,,,nɛːn,,,,,,,ˈɛɟː,mɛk,,,sa.tu,,,tsʰz̩˨˩,,un,eitn,ˈuno,,it͡ɕi̥,,ɛrtʰi,,,,,,muay,,ha̠na̠,,,ˈjɛk,,,,ˈuː.nus,eːn,,,,nɯŋ˧˧,,,viɛ̂ns,,tʲɨwɜnʲ,,,,niɡ,,satu,,tɪʔ,,,,,,eːn,,,,ɬɑ̂ːʔìː,ˈmó.d͡zi,,,,,,ɪkː˧,,ˈjɛ.dɛn,,ˈũ,,,,ˈu.nu,ɐˈdʲin,,ɐ́j.kɐ,,,ˈokːta,,,ˈjɛdɛn,,,,,ɲə,,,,,ɛt,,,okaʈi,,nɯŋ˨˩,,,iˈsa,,,biɾ̝̊,,,,,bir,oˈdɪn,,,,mot̚˧˨ʔ,,,,,,,it˥,,,
two,,ɥpa,,tvɪə̯,,,,(ʔi)θnaːn,dui,,pa.ja,iki,iˈkɪ̞,dva,,,,,,*gȵis,,,ˈdos,,,,,dva,,ˈikʲːɘ,daɨ̯,toː,t͡svaɪ̯,,,,ˈðiˌo̞,tuː,du,dos,,,duː,,ˈkɑksi,,,dø,,d̪ˠoː,,,,,d̪eː,,,,,,,ˈkɛtːøː,jɛɾˈku,,,,,,n̠ʲi˨˩,,,tʰveiːr,ˈdu.e,,ɲ̟i,,,,,,,,bīr,,tuːɭ,,,,,,,ˈdu.o,t͡sweː,,,,sɔːŋ˩˧,,,,,rˠɨwɜw,,,,xɔjər,,duə,,n̥ɪʔ,,,,,,tʋeː,,,,nɑ̀ːkʰɪ̀,,,,,,,,,dva,dwa,ˈdojʃ,,,,doj,dva,,,,,ˈku̯okːte,,,ˈdva.ja,ˈdʋáː,,,,dy,,,,,tvoː,,,,,sɔːŋ˩˩˦,,,da.laˈwa,,,iki,,,,,iˈkːi,ˈdʋɑ,,,,haːj˧˧,,,,,tsvɛj,,ŋei˧,,,
three,,xpʰa,,,,sɔst,,θa.laː.θa,tini,,,ʏtʃ,ʏ̞s,,,,,,,*ksum,,,ˈtɾəs,,,,,tr̝ɪ,,,triː,,dʁaɪ̯,,,,ˈtri.a,θɹiː,tri,tɾes,,,,,ˈkolme,,trʊdʒɪr,tʁwɑ,,tʲɾʲiː,,,,,t̪riː,,,t̪in,,,,ˈhaːrom,jɛˈɾɛkʰ,,,ti.ɡa,,,sɔ˧,,,θriːr,tre,,*/sam,,ˈsɑmi,,,,,,pī,,sʰe̞ːt̚,,,,,,,treːs,dʀæi̯,,,,saːm˩˧,,,trîːs,,tʲɨlʲɨw,,,,ɢʊrəw,,tiɡə,,θóʊɴ,,,,,,dri,,,,tʰɑ́ːʔ,,tres,,,,,t̪ɪn̪ː,,tʂɨ,d̪re,ˈtɾeʃ,,,,trej,trʲi,,t̪ɽí,,ʈi,ˈkolːpma,,,ˈtri,ˈtríːjɛ,,,,tɾɛ,,,,,treː,,,muːɖu,,saːm˩˩˦,,,tatˈlɔ,,,,,,,,yt͡ʃ,trɪ,,,,ʔɓaː˧˧,,,,,dʁaj,,θaːm˨˦,,,
four,,pʰʃpa,,,,,,ʔar.ba.ʕa,sa.ɹi,,,dœɾd,dʏrt,t͡ʂaˈtɨrɨ,,,,,,*bʑi,,,ˈkwa.tɾə,,,,,ˈt͡ʃtɪr̝ɪ,,,ˈpɛdwar,fiːrə,fiːɐ̯,,,,ˈte̞se̞ˌra,fɔː,kvar,ˈkwatɾo,,,tʃæˈhɒːɾ,,ˈneljæ,,ˈfʊiːɹa,katʁ,,ˈcahəɾʲ,,,,,kʲeːə(r),,,,,,,ˈneːɟ,t͡ʃʰɔɾs,,,əm.pat,,,lz̩˧,,kwar,ˈfjouːrir,ˈkwat.tro,,jo̞,,ɔtʰxi,,,,,,puan,,ne̞ːt̚,,,,,,,ˈkʷat.tu.or,ˈfɜɪ̯ɐ,,,,siː˧˧,kʲɛt̪ʊˈrʲɪ,,tsætri,,jɜmʲanʲ,,,,torəw,,əmpat,,lé,,,,,,vir,,,,tĩ́ːʔ,,ˈkatre,,,,,,,ˈt͡ʂtɛ.rɨ,t͡sa.lor,ˈkwa.tɾu,,,,ˈpa.tru,t͡ɕɪˈtɨrʲe,,t͡ɕɐ́.t̪uɽ,,,ˈɲe̯aʎːʎe,,,ˈʃtiri,ˈʃtìːrjɛ,,,,ˈkatəɾ,,,,,ˈfyːˌra,,,n̪aːl̪uɡu,,siː˨˩,,,ˈa.pat,,,dœɾt,,,,,tøt,t͡ʃoˈtɪrɪ̞,,,,ʔɓon˧˦,,,,,fiʀ,,θei˧˥,,,
