,aa,ab,ae,af,ak,am,an,ar,as,av,ay,az,ba,be,bg,bh,bi,bm,bn,bo,br,bs,ca,ce,ch,co,cr,cs,cu,cv,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,ff,fi,fj,fo,fr,fy,ga,gd,gl,gn,gu,gv,ha,he,hi,ho,hr,ht,hu,hy,hz,ia,id,ie,ig,ii,ik,io,is,it,iu,ja,jv,ka,kg,ki,kj,kk,kl,km,kn,ko,kr,ks,ku,kv,kw,ky,la,lb,lg,li,ln,lo,lt,lu,lv,mg,mh,mi,mk,ml,mn,mr,ms,mt,my,na,nb,nd,ne,ng,nl,nn,no,nr,nv,ny,oc,oj,om,or,os,pa,pi,pl,ps,pt,qu,rm,rn,ro,ru,rw,sa,sc,sd,se,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tl,tn,to,tr,ts,tt,tw,ty,ug,uk,ur,uz,ve,vi,vo,wa,wo,xh,yi,yo,za,zh,zu,
I,,,,ɛk,,ɨne,,ʔa.na,mɔɪ,,na.ja,mæn,mʲin,,as,,,,ˈɑmiː,*ŋa,,,ˈʒɔ,,,,,jaː,,,miː,jaj,ɪç,,ŋɑ˩,ˈɲɛ,eˈɣo,aɪ,mi,ɟ͡ʝo,,,mæn,,ˈminæ,,eː,ʒə,ɪk,mʲeː,mi,ˈew,ʃe,,miː,,(ʔ)aˈni,mɛ̃ː,,,,ˈeːn,jɛs,,ˈi.o,saja,,,ŋa˧,,me,jɛɣ,ˈi.o,,ɰᵝa̠ta̠ɕi,,,,,,,,k̥ʰñuṃ,,na̠,,,,,,,ˈe.ɡoː,eχ,,ɪx,,kʰɔːj˨˩,ɐʂ,,ɛs,ˈa.u,,,jas,,,,sajə,jɪːn,t͡ɕʊ̀ɴdɔ̀/,/t͡ɕənɔ̀,,jæɪ̯,,mɒ,,ɪk,eːɡ,,,,ˈi.ne,ˈjew,,,,,,,ja,zə,ˈew,ˈɲoqɑ,,,jew,ja,,ɐ.ɦɐ́m,ˈɛo,ɑːuːn,ˈmun,,,ˈja,,,,,ˈun,,,,,ˈjɑː(ɡ),,n̪aːn,,mæn,pʰom˩˩˦,,,ˈko,,,bɛn,,,,,mæn,ˈjɑ,mɛ̃,,,toj˧˧,ob,,,,ɪχ,,kou˨˦,,miːná
thou,,,,,,,,ʔanta,tɔɪ,,,,,,ti,,,,ˈθʊiː,,,,ˈtu,,,,,tɪ,,,tiː,du,duː,,,,,ðaʊ,t͡si,ˈtu,,,to,,ˈsinæ,,tʰʉuː(w),ty,,t̪ˠuː,hu,,,,,,(ʔ)aˈta,tʊm,,,,ˈtɛ,du,,,kamu,,,,,tu,θu,t̪u,,⟨ki1mi1⟩,,ʃɛn,,,,,,,,ta̠ŋɕʰin,,,,,,,tuː,,,,,,tʊ,,,,,,ti,,,,əŋkau̯,,,,,,,,ɣɛi̯,,,,,,,,,,,,,tɨ,,tu,,,,tu,tɨ,,,,,,,,ˈti,ˈtíː,,,,,,,,,dʉː,,,,,kʰun˧,,,,,,sen,,,,,,ˈtɪ,tʊm,,,maj˨˩,,,,,,,,,,
he,,,,,,ɨsːu,,hu.wa,xi,,,ɔ,uɫ,jon,t̪ɔj,,,,ˈʃe,,,,ˈeʎ,,,,,on,,,eːv,han,ʔeːɐ̯,,kʰo˥,ˈɛjæ,aˈftos,ˈhiː,li,el,,,ʔoː,,ˈhæn,,,il,hɛi̯,ʃeː,ɛ,ˈel,,,,,(h)u,ʋəʱ,,,,ˈøː,nɑ,,,dia,,,,,il,ˈhanː,ˈlui,,ka̠,,,,,,,,gāt´,,kɯ,,,,,,,is,,,hɛː,,kʰao˩˨,jɪs,,viɲʃ,,,,tɔj,,,,diə,uː,θù,,,,,,ɦɛi̯,,,,,ˈi.jé,,,,,,,,ɔn,haɣə,ˈe.li,,,,,on,,,,,,,,ɔn,ˈɔ́n,,,,,,,,,hanː,,,,ɵ,kʰaw˩˩˦,,,niˈja,,,o,,,,,u,ˈʋʲin,,,,ʔajŋ̟˧˧ ʔəj˧˦,,,,,,,te˨˦,,jeːná,
we,,,,,,ɨɲːa,,naħ.nu,ami,,,,bɪ̞ð,,ˈni.ɛ,,,,,,,,noˈzal.tɾəs,,,,,mɪ,,eˈbir,niː,,viːɐ̯,,,,e̞ˈmis,wiː,ni,noˈsotɾos,,,mɒː,,ˈme,,,nu,vɛi̯,mˠɪdʲ,ʃiɲ,,,,,,(ʔ)aˈnaχnu,ɦəm,,,,ˈmi,mɛŋkʰ,,,kami,,,,,,vɪð,ˈnoi,,ɰᵝa̠ta̠ɕi̥ta̠t͡ɕi,,tʃvɛn,,,,,,yoeṅ,,uɾi,,,,,,,noːs,,,,,pʰuak˥˧ hau˦˥,mʲæːs,,mɛ̄ːs,,,,niɛ,,,,kami,,t͡ɕoʊʔto̰,,,,,,ʋɛi̯,meː,,,,ˈi.fe,nus,,,,,,,mɨ,muʐ,ˈnɔʃ,,,,noj,mɨ,,,,,ˈmoɑ̯j,,,ˈmi,ˈmíː,,,,nɛ,,,,,viː,,,,mɔː,raw˧,,,ˈnaːmɪn,,,bɪz,,,,,,ˈmɪ,ɦəm,,,t͡ɕʊwŋ͡m˧˦ toj˧˧,,,,,,,,,tʰiːná,
you,,,,jəi,,antə,,ʔanta,,,,sæn,hin,,ti,,,,ˈθʊiː,,,,ˈtu,,,,,tɪ,,,tiː,du,duː,,,wo,e̞ˈsi,juː,t͡si,ˈtu,,,to,,ˈsinæ,,tʰʉuː(w),ty,doː,t̪ˠuː,hu,,,,u,,(ʔ)aˈta,t̪uː,,,,ˈtɛ,du,,,,,,nɯ˧,,,θu,t̪u,,kipau,,ʃɛn,,,,,,lok,,ta̠ŋɕʰin,,,tʊ,,,,tuː,du,,,,tɕao˥˦,tʊ,,tu,,,,ti,,,,kamu,,nɪ̀ɴ,,dʉː,,,,jɛi̯,dʉː,,,,ˈi.we,ty,,,,,,,tɨ,ˈtɑse,tu,,,,tu,tɨ,,,,,,,,ˈti,ˈtíː,,,,ti,,,,,dʉː,,,,t̪u,kʰun˧,,,iˈkaw,,,sen,,,,,,ˈtɪ,aːp,,,ʔɓaːn˧˨ʔ,,,,,,,mɯŋ˧˩,,weːná,
they,,,,,,ɨnːəsːu,,hu.maː,xiʱɔt,,,o(n)lar,uˈɫɑr,,t̪ɛ,,,,t̪ara,,,,ˈeʎs,,,,,ˈoɲɪ,,,huːɨ̯,di,ziː,,kʰoŋ˥,,,ðeɪ,ˈili,ˈeʎos,,,ʔeːˈʃɒːn,,ˈhe,,tʰaiːɹ,il,ja,ʃiəd̪ˠ,iət̪,,,,,,,ʋeː,,,,ˈøːk,nəˈɾɑŋkʰ,,,məreka,,,,,,θeiːr,,,ka̠ɾe̞ɾa̠,,,,,,,,gāt´,,kɯdɯɭ,,,,,,,ˈi.iː,,,,,,jæ,,,,,,tiɛ,,,,mərekə,ˈuːmɐ,θùdo̰,,,,,,zɛi̯,,,,,ˈi.wó,,,,,,,,ˈɔ.ɲi,,ˈe.lɨʃ,,,,jej,ɐˈnʲi,,,,,,,,ˈɔɲi,ˈɔ̀ːni,,,,aˈta,,,,,dɔm,,,,,kʰaw˩˩˦,,,,,,onˈlar,,,,,uˈlɑr,wɔˈnɪ,,,,hɔ˧˨ʔ,,,,,,,,,ɓoːná,
this,,,,dɨt,,,,haː.ðaː,,,,bu,,,ˈt̪ɔzi,,,,,,,,əˈkəst,,,,,ˈtɛnto,,,hʊn,,ˈdiːzər,,,,aˈftos,ðɪs,,ˈeste,,,ʔin,,ˈtæmæ,,,sə,,ʃɔ,ʃɔ,,,,,,ˈe.le,jəʱ,,,,,ɑjs,,,,,,,,ˈi.tso,ˈθɛsːɪ,ˈkwes.to,,ko̞no̞,,,,,,,manːa,neḥ,,i,,,,,,,hik,des,,,,niː˥˦,,,ʃis,,,,ˈɔvɔj,,,,ini,,,,ˈdɛn,,,,ˈdeːzə,,,,,,,,,,,,,tɛn,,ˈɛʃ.tɨ,,,,aˈt͡ʃest,ˈɛtət,,,,,,,,,ˈtáː,,,,ky,,,,,,,,iː,,niː˦˥,,,,,,bu,,,,,bu,,,,,naj˨˩,,,,,,,,,,
that,,,,,,,,ðaː.li.ka,,,,ɔ,,toj,ˈɔnzi,,,,,,,,əˈkəʃ,,,,,ˈtamtɛn,,,ˈhʊnʊ,dən,ˈjeːnɐ,,,,,ˈðæt,ˈtiu,ˈese,,,ɒːn,,ˈtuo̯,,,sə,,ənˠ,ʃɪn,,,,,,,,,,,ˈɒz,ɑjd,,,,,,,,ta,,ˈkwello,,⟨so2 no2⟩,,,,,,,,noḥ,a,kɯ,,,,,,,ˈis.te,,,,,,,,tas,,,,,,,,itu,,hò,,,,,,dɑt,,,,,,,,,,,,,ˈtam.tɛn,,ˈe.sɨ,,,,aˈt͡ʃela,tot,,,,,,,,tɛn,,,,,,,,,,dɛnː,,,aː,,nan˥˩,,,,,,ʃu,,,,,,,,,,ʔɗɔ˧˦,,,,,,,,,,
here,,,,,,,,hu.naː,iat,,,burɑˈdɑ,,,ˈtuk,,,,,,,,əˈki,,,,,ˈtoto,,,,,hiːɐ,,,,,hɪə(ɹ),ˈtie,aˈki,,,iːnˈdʒɒː,,ˈtæsːæ,,,i.si,,,,,,,,,kan,,,,,ˈitː,ɑjsˈtɛʁ,,,,,,,,,çɛːr,kwa,,⟨ko2ko2⟩,,ɑkʰ,,,,,,neḥ,,jʌ̹ɡi,,,,,,,hik,hai̯,,,,,tʃʲɛ,,,,,,ˈtuka,,,,sini,aʊ̯n,,,,,,,ɦir,,,,,,,,,,,,,tu,ˈd̪əlt̪a,ɐˈki,,,,aˈit͡ʃʲ,zʲdʲesʲ,,ɐ́t̪.ɽɐ,,,,,,,ˈtúːkaj,,,,,,,,,hæːr,,,,,tʰiː˥˩.niː˥˩,,,,,,,,,,,,,,,,,,,,,,,,,,
there,,,,dɑːr,,,,hu.naː.ka,tat,,,,unˈdɑ,,,,,,,,,,əˈʎa,,,,,tam,,,ˈəna,dar,dɔrt,,,,e̞ˈci,ðɛə(ɹ),ˈtie,aˈʎi,,,ɒːnˈdʒɒː,,ˈtuolːɑ,,,la,,ənʲˈʃɪnʲ,,,,,,,,,,,,ˈotː,ɑjnˈtɛʁ,,ˈil.lak,,,,,,ˈi.be,ˈθartna,,,,,ɪkʰ,,,,,,,,kʌ̹ɡi,,,,,,,ˈi.bi,do,,,,nan˥˦,,,tùɾ,,,,ˈtamu,,,,,ɛːmː,hòm̥à,,,,,,daːr,,,,,,,,,,,,,tam,ˈhalta,ɐ.ˈi,,,,aˈko.lo,tam,,,,,ˈtoppe,,,ˈtam,ˈtám,,,,,,,,,dɛːr,,,,,tʰiː˥˩.nan˥˩,,,,,,,,,,,,ˈtɑm,,,,,,,,,,,,,,
