,be,bg,cs,lt,lv,mk,pl,ru,sk,sl,uk
be,,,,,,,,,,,
bg,8.32196,,,,,,,,,,
cs,8.9466,8.27469,,,,,,,,,
lt,20.625,16.44191,17.28703,,,,,,,,
lv,18.57407,16.20943,15.09062,7.05555,,,,,,,
mk,4.125,4.5606,7.17171,17.16666,17.75925,,,,,,
pl,8.3409,9.57253,5.32638,16.96212,16.80106,7.5505,,,,,
ru,5.44444,9.18841,6.92929,17.1574,16.27248,3.91666,8.03724,,,,
sk,10.29761,9.93785,3.73977,18.43181,16.85802,9.50757,6.18232,7.84886,,,
sl,8.93154,8.86171,5.83468,17.16388,16.29648,5.14285,7.03113,6.7991,6.44122,,
uk,5.88611,6.97041,8.72238,16.93333,16.97222,2.5,10.02414,7.8306,9.79561,7.999,
