word,pt,sl,da,lzz,cs,sva,fy,uk,sk,oc,is,lv,br,gl,be,gv,ka,ca,ga,fo,it,cy,te,pl,gd,de,lt,nl,el,es,mk,bg,fr,ro,no,sv,sq,ru,xmf,af,yi,hy
leg,ˈpɛɾ.nɐ,nɔ̀ːɡa,beːn,kʼutʃχɛ,ˈnoɦa,tʃʼiʃχ,skoŋk,,ˈnɔɦa,ˈkambo,ˈfouːtʏr,kāːja,ˈɡɑːr,,naˈɣa,,pʰɛχi,ˈka.mə,kɔsˠ,,ˈɡamba,koːɨ̯s,kaːlu,ˈnɔ.ɡa,kʰas,baɪ̯n,,beːn,ˈpoði,ˈpjerna,,krak,ʒɑ̃b,,bæɪn,ˈbeːn,kəm.bə,nɐˈɡa,kʼutʃχi,,fʊs,vɔtkʰ
see,veɾ,ˈʋiːdɛti,seː,ɔtsʼkʼɔmilu,ˈvɪɟɛt,lisgdi,,ˈbɑt͡ʃete,ˈviɟi̯ɛc,,ˈsjauː,ɾɛdzɛ̂ːt,,,ˈbat͡ʂɨt͡sʲ,,χɛdvä,ˈvəw.ɾə,fʲɛc,ˈsʊt͡ʃːa,veˈde.re,ɡwɛld,,ˈvʲi.d͡ʑɛt͡ɕ,,ˈzeː.ən,mɐˈtʲîːtʲɪ,zin,ˈvlepo,ˈbeɾ,ˈɡlɛda,ˈviʒdəm,vwaʁ,veˈde̯a,ʃoː,seː,,ˈvʲidʲɪtʲ,rtsʼqʼɛbä,,,tɛsˈnɛl
this,ˈɛʃ.tɨ,ˈtáː,,äjä,ˈtɛnto,äli,,,,,ˈθɛsːɪ,ʃis,,,,,ɛs,əˈkəst,ʃɔ,,ˈkwes.to,hʊn,iː,tɛn,ʃɔ,ˈdiːzər,,ˈdeːzə,aˈftos,ˈeste,ˈɔvɔj,ˈt̪ɔzi,sə,aˈt͡ʃest,,,ky,ˈɛtət,tʰɛnä,dɨt,,ɑjs
drink,be.ˈbeɾ,ˈpiːti,drekə,ɔʃu,piːt,litʰrɛ,ˈdrɪŋkə,,ˈpic,ˈbewre,ˈtrɛhka,dzɛɾ̂t,ˈe.vɑ̃,,,,smä,ˈbəw.ɾə,oːl̪ˠ,ˈtɾɛʰkːa,ˈbe.re,ˈəvɛd,,pʲit͡ɕ,ɔːɫ̪,ˈtʁɪŋkən,ˈɡʲɛrʲ.tʲɪ,ˈdrɪŋkə(n),ˈpi.no,beˈβeɾ,ˈpi.ɛ,ˈpijə,bwaʁ,be̯a,,drɪkːa,pi,pʲitʲ,ʃumä,,,χəˈmɛl
smooth,ˈli.zu,,,pʰrändɛri,ˈɦlatkiː,mərkʼənɛ,,,,,ˈstljɛhtʏr,,,,ˈɣɫatkʲi,,pʼriälä,,kiːnʲ,,ˈliʃʃo,,,ˈɡwat.kʲi,miːn,ɡlat,,ɣlɑt,,ˈliso,,,lis,ˈne.ted,,,,ˈɡlatkʲɪj,värkʼälä,,,hɑɾtʰ
red,vɨɾ.ˈmɐ(j).ʎu,ərˈdɛ́tʃ,røːd,mtʃʼitʰä,ˈt͡ʃɛrvɛniː,tsʼərni,,t͡ʃeˈrwɔnei̯,ˈt͡ʃɛrvɛniː,,ˈrøyːðʏr,sâɾkans,,beɾˈmeʎo̝,t͡ʂɨˈrvonɨ,,tsʼitʰɛli,ˈrɔt͡ʃ,ˈdʲaɾˠəɡ,,ˈros.so,koːχ,,t͡ʂɛrˈvɔ.nɨ,ˈtʲɛrɛk,roːt,rɐʊˈdoːnɐs,roːt,ˈkocinos,ˈroxo,,tʃɛrˈvɛn,ʁuʒ,ˈro.ʃu,ræʉ,røːd,kuc,ˈkrasnɨj,tʃʼitʰä,roːi̯,,kɑɾˈmiɾ
heavy,pɨ.ˈza.ðu,ˈtɛ̀ːʒək,tɔnɡ,mɔnkʼä,ˈcɛʃkiː,gwæmi,swiər,ʋɐˈʒkɪi̯,ˈcaʃ.kiː,,ˈθuŋkʏr,smaks,,,ˈt͡sʲaʂkʲi,,mdzimɛ,,t̪ˠɾˠuːmˠ,,peˈsante,trʊm,,ˈt͡ɕɛŋ.ʂkʲi,,ʃveːɐ̯,sʊŋˈkʊs,zʋaːr,,peˈsado,ˈtɛʒɔk,ˈtɛʒək,luʁ,ɡrew,tʊŋː,tɵŋ,,tʲɪˈʐolɨj,mɔnkʼä,,,ˈtsɑnəɾ
fingernail,ˈu.ɲɐ,ˈnóːxt,najl,butsχä,,tsχä,,,ˈɲɛxt,,nœkl,,,,paˈznoɣat͡sʲ,,pʰrtʃχili,ˈuŋ.ɡlə,,,ˈun.ɡja,,ɡoːru,pazˈnɔ.kʲɛt͡ɕ,,ˈfɪŋɐnaːɡl̩,,,ˈniçi,ˈu.ɲa,nɔkt,ˈnɔkət,ɔ̃ɡl,,,,,ˈnoɡətʲ,birtsχä,,,jɛˈʁunɡ
dust,ˈpɔ,ˈpráːx,støːv,mtʼvɛri,,pʼisw,,,,,rɪːk,,,pɔ,pɨɫ,dʒaun,mtʼvɛri,ˈpols,dʲanˠəx,,ˈpol.ve.re,ɬuːχ,,kuʂ,,ʃtaʊ̯p,,,,ˈpol.bo,,,pu.sjɛʁ,,,dam,,pɨlʲ,tʼvɛri,stɔf,,pʰoˈʃi
cold,ˈfɾi.u,,kɔl,qʼini,ˈstudɛniː,mətsχi,,xɔˈlɔdnei̯,,,ˈkʰaltʏr,āūksts,,ˈfɾiʊ,xaˈɫodnɨ,,tsivi,ˈfɾət,fˠuəɾˠ,,ˈfreddo,oːɨ̯r,,ˈʑim.nɨ,fuəɾ,kalt,ˈʃaltɐs,kɑu̯t,,ˈfɾio,,stuˈdɛn,fʁwɑ,ˈret͡ʃe,,kal,,xɐˈlodnɨj,ʔini,kœut,,ˈsɑrə
