word,pt,sl,da,lzz,cs,sva,fy,uk,sk,oc,is,lv,br,gl,be,gv,ka,ca,ga,fo,it,cy,te,pl,gd,de,lt,nl,el,es,mk,bg,fr,ro,no,sv,sq,ru,xmf,af,yi,hy
belly,bɐ.ˈʁi.ɡɐ,ˈtrèːbux,,kʰɔrbä,ˈbr̝ɪxo,qʰæd,,,ˈbruxɔ,,ˈmaːjɪ,,ˈkofː,banˈduʎo̝,,,mutsɛli,ˈbuk,ˈbˠɔlˠəɡ,,ˈpan.t͡ʃa,,poʈːa,bʐux,,baʊ̯x,,bœy̯k,,bäˈriɣä,mɛf,koˈrɛm,vɑ̃tʁ,,,²mɑːɡɛ,,ʐɨˈvot,kʰɔrä,,bɔɪχ,pʰɔɾ
count,kõ.ˈtaɾ,,,ɔkʼɔrɔtsχu,ˈpot͡ʃiːtat,liʃɛldɛ,,,,,ˈtʰɛlja,skàjtîːt,,,,,tʰvlä,komˈta,ɾˠiːvˠ,,konˈtare,,,ˈlʲi.t͡ʂɨt͡ɕ,,ˈt͡sɛːlən,,ˈtɛlə(n),,konˈtaɾ,ˈbrɔi,,kɔ̃.te,,,,,ɕːɪˈtatʲ,kʼɔrɔtsχuä,tɛ̞ːl,,
swell,ĩ.ˈʃa(ɹ),,,ɔbäru,,liʃiɛ,,,,,,,,,,,ʃɛʃupʼɛbä,imˈflaɾ.sə,,ˈpœlna,,,,ˈpux.nɔɲt͡ɕ,,ˈʃvɛlən,,ˈzʋɛlə(n),ˈpɾizome,,,,ɡɔ̃.fle,,,,,rəzdʊˈvat͡sːə,mbäruä,,,uˈrɛl
road,iʃ.ˈtɾa.ðɐ,ˈtsèːsta,,gzä,ˈt͡sɛsta,ʃukʼw,,dɔˈrɔɦɐ,ˈt͡sɛsta,,ˈvɛːɣʏr,tsɛʎʃ,hɛ̃nd,esˈtɾaða̝,,reːd̪,gzä,kə.rəˈte.ɾə,ˈbˠoːhəɾˠ,ˈveːvʊɹ,ˈstrada,,,ˈdrɔ.ɡa,,ˈʃtraːsə,ˈkælʲɐs,baːn,ˈðromos,kaˈmino,,pɤt,ʁut,,,vɛːɡ,ˈruɡə,dɐˈroɡə,ʃärä,pɑt,,t͡ʃɑnɑˈpɑɾ
good,bõ,ˈdòːbər,ɡoð,kʼäi,ˈdobriː,χɔtʃä,,ˈdɔbrɪj,ˈdɔbriː,,ˈkouːðʏr,,,ˈbo,ˈdobrɨ,,kʼärgi,ˈbɔ,mˠa,ˈkɔuːwʊɹ,ˈbwɔː.no,daː,maɲt͡ʃi,ˈdɔ.brɨ,maː,ɡuːt,ˈɡʲæɾɐs,ɣut,kaˈlos,ˈbweno,,doˈbɤr,bɔ̃,bun,,ɡuːd,majɾ,xɐˈroʂɨj,dʒgiri,χut,ɡʊt,lɑv
round,ʁɨ.ˈdõ.du,otˈkròːɡəw,,mɔrgväli,ˈkulatiː,kʼurpʼi,,,,,,,,reˈðondo̝,ˈkruɣɫɨ,,mrgväli,roˈdo,kɾˠiːnʲ,,roˈtondo,krʊn,,ɔˈkrɔŋ.ɡwɨ,kʰruɪɲ,ʀʊnt,,rɔnt,,reˈdondo,,,ʁɔ̃,roˈtund,,,,ˈkruɡlɨj,rgväli,,,
father,paj,ˈɔ̀ːtʃɛ,,bäbä,ˈotɛt͡s,mu,hai̯t,ˈbɑtʲkɔ,ˈɔcɛt͡s,ˈpajɾe,ˈfaːðɪr,tǣːws,ˈtɑːt,,ˈbat͡sʲka,ˈeːar,mämä,ˈpa.ɾə,ˈahəɾʲ,ˈfɛaːjɪɹ,ˈpa.dre,taːd,,ˈɔj.t͡ɕɛt͡s,ˈahəɾʲ,ˈfaːtɐ,ˈtʲeːvɐs,ˈvaː.dər,paˈteras,ˈpadɾe,,bɐˈʃta,pɛʁ,ˈta.tə,,,baba,ɐˈtʲet͡s,mumä,fɑːdər,ˈfɔtəʁ,hɑjɾ
meat,ˈkaɻ.ne,mɛˈsóː,,χɔrtsi,ˈmaso,lɛʁw,flai̯s,ˈmjɑsɔ,ˈmæso,,kʰjœːt,ɡaʎa,,,ˈmʲasa,feːlʲ,χɔrtsi,ˈkaɾn,fʲoːlʲ,t͡ʃʰøːʰt,ˈkar.ne,kiːɡ,,ˈmʲɛ̃.sɔ,,flaɪ̯ʃ,,vleːs,ˈkre̞as,ˈkarne,,mɛˈsɔ,vjɑ̃d,ˈkarne,çøːt,ɕœtː,miʃ,ˈmʲasə,χɔrtsi,fləis,flɛɪʃ,mis
hear,owˈviɾ,,høːrə,ɔʃkʼinu,ˈslɪʃɛt,səmæn,ˈjɛ(ː)rə,ˈt͡ʃute,,,ˈheiːra,dzìɾdɛ̂ːt,,ɔˈiɾ,,,smɛnä,sənˈti,klˠɔʃ,,,ˈkləu̯ɛd,,ˈswɨ.ʂɛt͡ɕ,,ˈhøːrən,,ˈɦoːrə(n),aˈkuo,oˈiɾ,,ˈtʃuvəm,ɑ̃.tɑ̃dʁ,,,,,ˈslɨʂətʲ,rtʃkʰilä,,,ləˈsɛl
cut,kuɾˈtaɾ,rézati,skɛːrə,ɔtʃʼkʼiru,ˈr̝ɛzat,likʰtʃɛ,,,ˈrɛzac,,ˈscɛːra,ɡrīɛ̄st,,,,,tʃʼrä,təˈʎa,ɟaːɾˠ,,taʎˈʎare,ˈtɔrɪ,,t͡ɕɔɲt͡ɕ,kʲaːrˠ,,,ˈsnɛi̯də(n),,,,,ku.pe,,,ˈɧæːˌra,,ˈrʲezətʲ,tʃʼkʼiruä,,,kətˈɾɛl
die,mu.ˈʁeɾ,,dø,ʁurä,ˈumr̝iːt,dägrä,,,ˈumri̯ɛc,,ˈteiːja,mīɾt,,,,,sikʼvdili,muˈɾi,,,moˈrire,,,uˈmʲɛ.rat͡ɕ,,ˈʃtɛʁbən,ˈmʲɪrʲ.tʲɪ,ˈdoːtxaːn,peˈθeno,,,oˈmiɾəm,mu.ʁiʁ,muˈri,,,vdɛs,ʊmʲɪˈratʲ,ʁurä,,,mɛrˈnɛl
dry,ˈse.ku,ˈsúːx,tœːr,χɔmulä,ˈsuxiː,pʰikʼwi,,,ˈsuxiː,,θʏrː,sàws,ˈsɛːχ,,suˈxʲi,,mʃräli,əˈʃut,ˈtʲɪɾʲəmʲ,,ˈsekko,sɨːχ,,ˈsu.xɨ,ˈtʃʰiɾəm,ˈtʁɔkən,,droːx,,ˈseko,,,sɛk,usˈkat,,,,sʊˈxoj,skʰiru,,,t͡ʃʰoɾ
big,mɐjˈɔɾ,,,didi,,χɔʃä,,ʋeˈlɪkei̯,,,,,,,,,didi,ˈɡɾan,,,ˈɡran.de,,,dɔˈrɔ.swɨ,,ɡʁoːs,,,,maˈɟ͡ʝoɾ,ˈɡɔlɛm,,ɡʁɑ̃,,,ˈvɵkˌsɛn,,bɐlʲˈʂoj,didi,,,mɛt͡s
think,pẽˈsaɾ,ˈmiːsliti,,ɔsimädu,ˈpr̝̊ɛmiːʃlɛt,liskʼɔrɛ,,ˈdumɐte,ˈmisli̯ɛc,,ˈhʏxsa,,,,,,pʰikʰri,pənˈsa,capˠ,,,ˈmɛðʊl,,ˈmɨɕ.lɛt͡ɕ,,ˈdɛŋkən,,ˈdɛŋkə(n),ˈsceftome,penˈsaɾ,,,pɑ̃.se,ɡɨnˈdi,,,mɛnˈdɔj,ˈdumətʲ,gurtʃämä,dəŋk,,mətɑˈt͡sɛl
smoke,ˈfu.mu,ˈdím,røj,kʼɔmä,diːm,zinqʰ,,dɪm,ˈdim,,ˈreiːkʏr,,,ˈfume̝,dɨm,ˈd͡ʒeːax,bɔli,ˈfum,ˈdʲat̪ˠəx,ˈɹɔiːjkʊɹ,,muːɡ,,dɨm,t̪ɔʰtʲ,ʁaʊ̯x,,roːk,kaˈpno̞s,ˈumo,,,fy.me,,,,,dɨm,kʼumä,,,t͡suχ
near,ˈpɛɾ.tu,,nɛːr,χɔlɔs,ˈbliːskiː,pʰɛdiä,,,,,,,,,ˈblʲiskʲi,,äχlɔ,,d̪ˠlˠuː,,viˈtʃino,,,ˈblʲis.kʲi,dɫ̪uː,naː,,,,ˈθerka,,ˈblizək,pʁɛ,a.ˈpro̯a.pe,næːr,,,ˈblʲiskʲɪj,χɔlɔ,,,mɔt
some,al.ˈɡũʃ,,noən,bäzi,ˈɲɛkolɪk,ɛrχi,,ˈkilʲka,ˈɲi̯ɛkɔʎkɔ,,,,,,,,zɔgi,,ɾˠəɪn̠ʲtʲ,,,,,ˈtrɔ.xɛ,,,,ʋɑt,,,,,dy,,,ˈnoːˌ(ɡ)ra,,nʲɪˈmnoɡə,nämtʰinɛ,,,
moon,ˈlu.ɐ,ˈlùːna,,tʰutʰä,ˈmjɛsiːt͡s,dɔʃdul,ˈmwanə,,ˈmɛsi̯at͡s,ˈlyno,tʰuŋl,,,ˈluɐ,,eːs,mtʰvärɛ,ˈʎu.nə,ɟəˈl̪ˠɑx,ˈmɔanɪ,ˈlu.na,ˈɬeɨ̯ad,,ˈkɕɛŋ.ʐɨt͡s,,moːnt,mʲeːˈnʊlʲɪs,maːn,,ˈluna,,luˈna,lyn,ˈlunə,,ˈmoːˌnɛ,hənə,lʊˈna,tʰutʰä,,,luˈsin
hand,ˈmɐ̃w̃,rɔ̀ːka,hɔnˀ,χɛ,ˈruka,ʃi,,rʊˈkɑ,ˈruka,ma,hœnt,ɾùoka,ˈdɔʁn,,,,χɛli,ˈma,l̪ˠɑːvˠ,hɔnt,ˈmaːno,ɬaːu̯,,ˈrɛŋ.ka,ɫ̪ãːv,hant,ɾɐŋˈkɐ,ɦɑnt,ˈçeɾi,ˈmano,,rəˈka,mɛ̃,ˈmɨ.nə,hɑnd,hand,dɔɹ,rʊˈka,χɛ,,hant,d͡zɛrkʰ
float,,,,mɔmkʰu,ˈplavat,,,,,,,,,,,,tʼivtʼivi,floˈta,,,ɡalledˈdʒare,,teːlu,,,ˈtʀaɪ̯bm̩,,ˈdrɛi̯və(n),,,,,flɔ.te,,,flyːta,,ˈplavətʲ,pʰäpʰäpʰi,,,
old,ˈvɛ.ʎu,ˈstár,ɡaməl,mdʒvɛʃi,ˈstariː,dʒwinɛl,ɔːt,,ˈstariː,,ˈkaːmatl,,,,staˈrɨ,,dzvɛli,ˈveʎ,ʃanˠ,kɛaːmal,ˈvɛk.kjo,heːn,,ˈsta.rɨ,ʃɛn,alt,ˈsʲæːnɐs,ɑu̯t,,anˈtiɡwo,,star,vjø,vekʲ,²ɡɑːmɑl,,,ˈstarɨj,dʒvɛʃi,œu,,hin
day,ˈdi.ɐ,,døjn,dʁä,dɛn,lädɛʁ,,ˈdɛnʲ,,,ˈtaːɣʏr,,ˈdɛj,ˈd̪iɐ,,,dʁɛ,ˈdi.ə,l̪ˠɑː,ˈtɛaːvʊɹ,ˈd͡ʒorno,dɨːð,roːdʒu,d͡ʑɛɲ,,tɑːk,,dɑx,,ˈdia,,,ʒuʁ,zi,,,,ˈsutkʲɪ,dʁä,daχ,tɔɡ,ɔɾ
stand,pɨɾ.mɐ.nɨ.ˈseɾ,,,dɔdginu,staːt,lignɛ,ˈsteən,,ˈstaːc,,ˈstanta,stāːvɛ̂ːt,,,,,dgɔmä,,ʃasˠ,,,ˈsɛvɨ̞ɬ,,stat͡ɕ,,ˈʃteː.ən,,staːn,ˈstekome,,,,ɛ.tʁə d(ə).bu,,,,ri,stɐˈjætʲ,gɛrinä,,,kɑŋɡˈnɛl
split,pɐɾ.ˈtiɾ,,,ɔrtʰu,,lirdɛ,,,,,ˈkʰlɔpna,,,,,,qʼɔpʰä,pəɾˈti,,,ˈfɛndere,,,ˈd͡ʑɛ.lʲit͡ɕ,,ˈʃpaltn̩,,,,parˈtiɾ,,,fɑ̃dʁ,,,deːla,,rəɕːɪˈplʲætʲ,rtʰuälä,,,
child,ˈfi.ʎu,ɔˈtrɔ́k,barn,bɛrɛ,ˈɟiːcɛ,bɛpʰʃw,bɛːn,deˈtɪnɐ,ˈɟi̯e.ca,,ˈpartn,bæ̀ːɾns,,ˈne.na,,,bävʃvi,ˈnən,ˈpˠɑːʃtʲə,ˈpatn,bamˈbi.no,ˈplɛntɨ̞n,paːpa,ˈd͡ʑɛt͡s.kɔ,,kɪnt,ˈvɐɪ̯ˑkɐs̪,kɪnt,peˈði,ˈixo,ˈdɛtɛ,dɛˈtɛ,ɑ̃.fɑ̃,fiw,bɑːrn,bɑːrn,,rʲɪˈbʲɵnək,bäʁänä,kənt,kɪnd,jɛɾɛˈχɑ
we,ˈnɔʃ,ˈmíː,,tʃkʰin,mɪ,næ,vɛi̯,ˈmɪ,ˈmi,nus,vɪð,mɛ̄ːs,,,,,tʃvɛn,noˈzal.tɾəs,mˠɪdʲ,,ˈnoi,niː,,mɨ,ʃiɲ,viːɐ̯,mʲæːs,ʋɛi̯,e̞ˈmis,noˈsotɾos,niɛ,ˈni.ɛ,nu,noj,meː,viː,nɛ,mɨ,tʃkʰi,,,mɛŋkʰ
flow,,ˈtɛtʃi,,ɔzimzilu,tɛːt͡st,lizi,,,ˈci̯ɛt͡sc,,ˈrɛnːa,,,,,,dinɛbä,fluˈi,,,fluˈire,,,ˈpwɨ.nɔɲt͡ɕ,,ˈfliːsn̩,ˈbʲeːk.tʲɪ,ˈvlujə(n),ˈre.o,ˈflwiɾ,,tɛˈkə,ku.le,,,,,tʲet͡ɕ,ulä,flui,,hoˈsɛl
blood,ˈsɐ̃.ɡɨ,ˈkríː,bloːd,ditsχiri,krɛv,zisχ,bluə̯t,ˈkrɔu̯,ˈkr̩w,,plouːð,asinis,ˈɡwaːt,,,folʲ,sisχli,ˈsaŋk,fˠɪlʲ,plɔuːw,ˈsan.ɡwe,ˈɡwaːi̯d,,krɛf,,bluːt,krɒ͜úˑjæs,blut,ˈema,ˈsanɡɾe,kr̩f,krɤf,sɑ̃,ˈsɨn.d͡ʒe,bluː,,ɟ͡ʝak,krofʲ,zisχiri,blut,blʊt,ɑɾˈjun
give,ˈdaɾ,ˈdati,ɡiː,mɛtʃämu,ˈdaːvat,lihwdi,jaːn,,,,ˈcɛːva,duôt,ˈrɛĩ,,,,mitsɛmä,doˈna,ˈt̪ˠuːɾʲ,t͡ʃeːʋa,ˈda.re,r̥ɔi̯,,ˈda.vat͡ɕ,,ˈɡeːbən,ˈduɔtʲɪ,ˈɣeːvə(n),,ˈdaɾ,,ˈdavəm,dɔ.ne,da,,jeː,,dɐˈvatʲ,mɛtʃämä,,,tɑl
sand,ɐˈɾɐjɐ,ˈpèːsək,san,ʁumi,ˈpiːsɛk,kʰwiʃɛ,,pʲiˈsɔk,ˈpi̯ɛsɔk,ˈsaβlo,ˈsantʏr,,tʁɛs,ˈʃaβɾe̝,pʲaˈsok,ˈɡʲanʲax,kʰviʃä,ˈso.rə,ˈɡanʲəvˠ,,ˈsab.bja,,,ˈpʲa.sɛk,,zant,,zɑnt,,aˈɾena,,ˈpʲasək,sɑbl,niˈsip,sɑnd,,,pʲɪˈsok,kʰviʃä,sant,,ɑˈvɑz
there,ɐ.ˈi,ˈtám,dar,ɛkʰ,tam,ɛtʃɛtʃu,,ˈtɑm,ˈtam,,ˈθartna,tùɾ,,,,,ikʰ,əˈʎa,ənʲˈʃɪnʲ,,,ˈəna,,tam,,dɔrt,,daːr,e̞ˈci,aˈʎi,ˈtamu,,la,aˈko.lo,,dɛːr,,tam,tʰɛkʰ,dɑːr,,ɑjnˈtɛʁ
narrow,iʃ.ˈtɾɐj.tu,ˈòːzək,snɛvər,ndäri,ˈuːskiː,näχwtsʼi,,wʊˈzʲkɪi̯,ˈuːski,,ˈθrøyŋkʏr,ʃàuɾs,,,ˈvuskʲi,,vitsʼrɔ,əsˈtɾət,kuːŋ,,ˈstretːo,kɨːl,,ˈvɔ̃s.kʲi,kʰɯːɫ̪,ɛŋ,,nɑu,,es̺ˈtɾe.tʃo,,ˈtɛsɛn,e.tʁwa,strɨmt,,,,ˈuskʲɪj,intsʼrɔ,,,nɛʁ
root,ʁa.ˈis,kɔrɛˈnìːna,roːd,dʒidʒi,ˈkor̝ɛn,tsʼusχund,,ˈkɔrʲinʲ,ˈkɔrɛɲ,rraˈis,rouːt,,,raˈiθ,ˈkoranʲ,,pʰɛsvi,əˈrɛl,fʲɾʲeːvˠ,ɹɔuːt,raˈditʃe,ɡwrai̯ð,ʋeːru,ˈkɔ.ʐɛɲ,,ˈvʊʁt͡sl̩,ʃɐkʲˈn̪ʲɪs̪,ˈʋɔr.təl,,raˈiθ,,ˈkɔrɛn,ʁa.sin,,ruːt,,rəːɲ,ˈkorʲɪnʲ,dʒindʒi,,,ɑɾˈmɑt
small,pɪ.ˈke.nʊ,ˈmáːjxən,lilə,tʃʼutʼä,ˈmaliː,χɔχrä,,mɐˈlɛnʲkei̯,ˈmaliː,,smauːr,,,peˈkeno̝,maˈlʲenʲkʲi,,pʼätʼärä,pəˈtit,bʲɔɡ,,pikˈko.lo,baːχ,,ˈma.wɨ,pek,klaɪ̯n,ˈmaːʒɐs,klɛi̯n,miˈkro̞s,peˈkeɲo,maɫ,ˈmalək,pə.ti,mik,,ˈliːˌtɛn,ˈvɔɡəl,ˈmalʲɪnʲkʲɪj,tʃʼitʃʼɛ,,ˈkleɪn,ˈpʰɔkʰəɾ
snow,ˈnɛ.vɨ,,,mtʰviri,sɲiːx,musw,sniə,ˈsʲnʲiɦ,ˈsɲɛx,ˈnɛw,snjouːr,snìɛks,,ˈnɛβɪ,sʲnʲex,ˈʃnʲaxt̪ə,tʰɔvli,ˈnew,ˈʃnʲaxt̪ˠə,,ˈne.ve,ˈei̯ra,,ɕɲɛk,,ʃneː,sʲnʲjæɡɐs,sneːu̯,,ˈnjebe,,snʲak,nɛʒ,zəˈpadə,snøː,snøː,,sʲnʲek,tʰiri,sniu,,d͡zjun
left,iʃ.ˈkeɾ.ðu,,,kʼväntʃχäri,ˈlɛviː,lɛrtʰɛn,,,,,,kɾèjs,,,,,märtsχɛnä,əsˈkɛ.rə,clʲeː,,,χwiːθ,,ˈlɛ.vɨ,kʰʲaːrˠ,lɪŋk,,lɪŋks,,,,ˈlʲaf,ɡoʃ,stɨŋɡ,,,,ˈlʲevɨj,kʼvärtʃχäni,,,d͡zɑχ
laugh,ˈʁiɾ,,leː,dzitsini,smaːt,litswnäl,ˈlai̯tsjə,,ˈsmi̯ac sa,,ˈl̥aiːja,,,,,,sitsili,ˈriw.ɾə,ɡɑːɾʲ,,ˈri.de.re,,naʋːu,ɕmʲat͡ɕ ɕɛ,,ˈlaχn̩,,ˈlɑxə(n),,,sɛ ˈsmɛ.ɛ,,ʁiʁ,,,,cɛʃ,smʲɪˈjat͡sːə,dzitsä,ɫɐχ,,t͡sit͡sɑˈʁɛl
woman,muˈʎɛɾ,ˈʒèːnska,ˈkʰvenə,ɔχɔrdʒä,ˈʒɛna,zuräl,,ˈʒʲinkɐ,ˈʒe.na,ˈfenno,ˈkʰɔːna,,,muˈʎɛɾ,ʐanˈt͡ʂɨna,bɛᵈn,kʰäli,ˈdɔ.nə,bʲanˠ,,ˈdɔn.na,,,kɔˈbʲɛ.ta,b̥ɛn,fʁaʊ̯,ˈmoːtʲɛrʲɪs,vrɑu̯,ʝiˈne̞ka,muˈxeɾ,ˈʒɛna,ʒɛˈna,fam,feˈmeje,²kʋɪnːə,ˈkvɪnːˌa,ˈɡɾua,ˈʐɛnʲɕːɪnə,ɔsuri,,,kin
sea,maɾ,ˈmóːrjɛ,hav,zuʁä,mor̝ɛ,dzuʁwä,seː,,ˈmɔrɛ,,haːv,jūːɾa,ˈmoːʁ,,,,zʁvä,ˈmar,,hɛaːv,ˈmaːre,moːr,,ˈmɔ.ʐɛ,,meːɐ̯,ˈjuːrɐ,zeː,ˈθalasa,ˈmaɾ,,moˈrɛ,mɛʁ,ˈma.re,hɑːʋ,ɧøː,dɛt,ˈmorʲe,zʁvä,,,t͡sɔv
louse,pi.ˈo.ʎu,ˈúːʃ,,tʼi,ˈvɛʃ,tʼiʃ,,ˈwɔʃɐ,ˈvɔʃ,peˈzul,luːs,,ˈlɔw,,voʂ,,tʼili,ˈpoʎ,,lʉuːs,pi.ˈdɔk̚.kjo,ˈɬeɨ̯ɛn,,vɛʂ,,laʊ̯s,,lœy̯s,,ˈpjo.xo,ˈvɔʃka,ˈvɤʃkə,pu,,,,mɔr,voʂ,tʼi,,,vɔˈt͡ʃʰil
five,ˈsĩ.ku,péːt,,χutʰ,ˈpjɛt,wɔχuʃd,,ˈpjɑtʲ,ˈpɛc,siŋk,fɪmː,pìɛtsi,ˈpɛmp,,,kwɛɡ,χutʰi,ˈsiŋk,kuːɟ,fɪmː,ˈt͡ʃin.kwe,pɨ̞mp,aid̪u,pʲɛɲt͡ɕ,koːɡ̊ʲ,fʏnf,,vɛi̯f,ˈpe̞(n)de̞,ˈθinko,,,sɛ̃k,t͡ʃint͡ʃʲ,,fɛm,pɛs(ə),pʲætʲ,χutʰi,,fɪnf,hiŋɡ
earth,ˈtɛʁɐ,ˈzɛ̀ːmlja,joːr,lɛtʼä,ˈzɛmjɛ,gim,,zeˈmlʲɑ,ˈzɛm,,jœrð,zɛmɛ,,,zʲaˈmlʲa,,mitsʼä,ˈtɛ.rə,,jøːɹ,ˈtɛr.ra,,,ˈʑɛ.mʲa,,ˈeːɐ̯də,ˈʒʲæːmʲeː,ˈaːr.də,,ˈtje̞.ra̠,,zɛˈmʲa,tɛʁ,pəˈmɨnt,,juːɖ,ðɛ,zʲɪˈmlʲa,diχä,ˈɑːr.də,,hɔʁ
