word,sv,yi,sk,lzz,cs,gon,kru,lo,my,id,ur,yea,mn,ml,ar,ga,af,gdb,lb,fo,cy,se,pci,tr,tcy,de,it,zu,vi,he,lt,uk,az,ba,ku,ka,te,fa,sl,th,fy,xmf,gd,kfb,bfq,br,es,hy,bn,el,nl,kxv,gv,be,tg,kfe,kn,da,ug,pl,ko,hi,la,sa,bg,ro,tcx,kff,oc,mjt,sva,sq,ca,km,ms,as,hu,ny,ja,za,fr,ru,pt,bo,en,mk,kfa,tl,xub,ps,nn,lv,mt,fi,is,gl,brh,ta
egg,ɛɡː,,ˈvajt͡sɛ,mäkʰväli,ˈvɛjt͡sɛ,mi:ndʒ,bi:,kʰāi,ʔṵ,,,muʈʈe,,muʈʈa,,uː,ˈəiər,kaɾbə,e,ɛkː,uːɨ̯,ˈmonniː,tūk,jumuɾˈta,ketti,aɪ̯,ˈwɔ.vo,íːǃaːndá,t͡ɕɨŋ˧˦,,,,jumurˈtɑ,kʏˈkæj,,kʼvɛrtsχi,guɖɖu,t̪ʰoχm,ˈjàːjtsɛ,kʰaj˨˩,aːi̯,märkʰväli,u,sanku,moʈʈe,,ˈwebo,d͡zu,ɖim,ta.oˈa,ɛi̯,tala,au,ˈjajka,tuxm,mooʈə,moʈʈe,ɛːɡ,,ˈja.jɔ,ta̠ɭɡja̠ɭ,ən.ɖɑː,ˈoː.wum,,jəiˈt͡sɛ,ow,muʈʈe,gaɾbam,,ɾaɾapa:ndu,ləgrɛ,,ˈɔw,s′ut,təlo(r),kɔ.ni,ˈtojaːʃ,ˈd͡zi.ɽa,ta̠ma̠ɡo̞,kʲai˧˥,œf,(j)ɪjˈt͡so,ˈo.vu,*zɡoŋ.ŋa,ɛɡ,ˈjajt͡sɛ,muʈʈe,ʔitˈloɡ,mujɾgi,həɡəi,ɛɡː,uōla,ˈbɐjdɐ,,ˈɛkː,ˈɔ.βʊ,xuahae,muʈʈe
narrow,,,ˈuːski,ndäri,ˈuːskiː,,,,t͡ɕɪ́ɴ,,,,narʲiŋ,,dˁaj.jiq,kuːŋ,,,,,kɨːl,,,,,ɛŋ,ˈstretːo,,hɛp̚˧˨ʔ,,,wʊˈzʲkɪi̯,dɑr,ˈtɑr,,vitsʼrɔ,,,ˈòːzək,kʰɛːp̚˥˩,,intsʼrɔ,kʰɯːɫ̪,,,,es̺ˈtɾe.tʃo,nɛʁ,,,nɑu,,,ˈvuskʲi,,,,snɛvər,,ˈvɔ̃s.kʲi,,t̪əŋɡ,anˈɡus.tus,,ˈtɛsɛn,strɨmt,,,,,näχwtsʼi,,əsˈtɾət,cṅ̥ʾiat,,,ˈsyːk,,se̞ma̠i,,e.tʁwa,ˈuskʲɪj,iʃ.ˈtɾɐj.tu,,ˈnæɹoʊ,,,,,,,ʃàuɾs,,ˈkɑpeɑ,ˈθrøyŋkʏr,,,
hand,hand,hant,ˈruka,χɛ,ˈruka,kaj,kʰekkʰa,mɯː˦˥,lɛʔ,taŋan,ɦat̪ʰ,kaj,ɢar,kaj,jad,l̪ˠɑːvˠ,,ki:,hant,hɔnt,ɬaːu̯,,key,el,kai,hant,ˈmaːno,isáːnɮa,taj˧˧,jad,ɾɐŋˈkɐ,rʊˈkɑ,,quɫ,,χɛli,tʃejji,dæst,rɔ̀ːka,mɯː˧,,χɛ,ɫ̪ãːv,keju,kaj,ˈdɔʁn,ˈmano,d͡zɛrkʰ,ɦat̪,ˈçeɾi,ɦɑnt,keju,,,,kaij,kaj,hɔnˀ,,ˈrɛŋ.ka,sʰo̞n,ɦaːt̪ʰ,ˈma.nus,ɦɐ́s̪.t̪ɐ,rəˈka,ˈmɨ.nə,koi,kaj,ma,ʈeʈu,ʃi,dɔɹ,ˈma,ṭai,taŋan,,ˈkeːz,ˈd͡za.ⁿd͡ʒa,,mɯ˧˩,mɛ̃,rʊˈka,ˈmɐ̃w̃,,hænd,,kaj,,ki:ja,lɑs,hɑnd,ɾùoka,,ˈkæsi,hœnt,,ɖu:,kaj
breast,,,ˈpr̩sɲiːk,gjɔnkʰsi,pr̩s,dudo,jeʋakʰ,tuː˥˦,no̰,,pɪst̪an,mele,,māṟu,,,bɔ(ː)rs,palgil,,brœst,brɔn,ˈt͡ʃidːd͡ʒiː,edram,,tigala,bʁʊst,ˈse.no,îːɓéːle,vu˧˦,ʃad,,,,im.ˈsæk,,mkʼɛrdi,gunde,pʰesˈt̪ʰɒːn,,taː˥˩.nom˧,,kʼidiri,kʰʲiəx,sa:tti,ma:ɾə,,ˈpet͡ʃo,kuɾt͡skʰ,,ˈstiθos,bɔrst,sipadaki,,,,me:l,ede,brøst,,pʲɛrɕ,juba̠ŋ,,ˈmam.ma,,ɡərˈda,pjept,nidʒikuɖi,eddam,,daibuku,mutʃʼwɛd,,ˈpit,ṭoḥ,,,ˈmɛlː,ˈɓé.ɽe,mɯ̟ᵝna̠,,sɛ̃,ɡrutʲ,ˈsɐj.u,,bɹɛst,ˈɡrada,mele,,kujndigi,,,,,ˈrin̪t̪ɑ,prjoust,,xad,ma:ɾbə
fog,,,ˈɦmɫa,mpʼulä,mɫ̩ɦa,,,,mjù,,,,manəŋ,,dˁa.baːb,coː,,,ˈnivəl,ˈtʰoːʰka,,,,,,ˈneːbl̩,ˈnebbja,ínkuːnɡú,sɨəŋ˧˧ mu˨˩,,ˈruːkɐs,,,tʊ̞ˈmɑn,,nisli,,mæh,məˈɡlá,mɔːk̚˨˩,,nirsi,,,,,,mɑrɑˈχuʁ,,,mɪst,,kʲeː,,,,,tɔːɡə,,mɡwa,a̠nɡe̞,,kaːˈliː.ɡoː,,məˈɡɫa,ˈt͡ʃe̯a.t͡sə,,,ˈnɛβlo,,bintʼw,ˈmjɛɡuɫ,ˈbɔj.ɾə,ʾ˘b̥d,kabos,,ˈkød,ˈᵑkʰú.ᵑɡu,,,bʁu.jaʁ,tʊˈman,nɨ.ˈvwɐj.ɾu,*zmuk.pa,fɒɡ,ˈmaɡla,,,,,,,,,ˈθɔːka,ˈnɛβo̯a̝,,
far,,,,mɛndrä,ˈdalɛkiː,,,,wékwà,,,,χɔɬ,,ba.ʕiːd,ˈfˠɑd̪ˠə,,,,,pɛɬ,,,uˈzac,,fɛʁn,lonˈtano,,saː˧˧,ʁaˈχɔk,,,uˈzɑχ,ɑˈɫɯ̞θ,,ʃɔri,,,ˈdàːlɛtʃ,klaj˧,,ʃɔri,,,,,,hɛˈru,,makriˈa,vɛr,,,daˈlʲokʲi,,,,,,daˈlɛ.kʲi,,d̪uːɾ,ˈpro.kul,,dəˈlɛtʃɛn,deˈpar.te,,,,,dʒwɛdiä,,ʎuˈɲa,c̥ʰṅāy,d͡ʒaoh,,ˈmɛsːɛ,,,,lwɛ̃.tɛ̃,dɐˈlʲɵkʲɪj,ˈlõ.ʒɨ,,fɑː,,,,,ˈləre,,tâːls,,ˈkɑukɑine̞n,,,,
they,dɔm,,ˈɔɲi,ɛntʰɛpʰɛ,ˈoɲɪ,,,,θùdo̰,məreka,,,,,hu.maː,ʃiəd̪ˠ,,,,tʰaiːɹ,huːɨ̯,,,onˈlar,,ziː,,ɓoːná,hɔ˧˨ʔ,,jæ,wɔˈnɪ,o(n)lar,uˈɫɑr,,isini,,ʔeːˈʃɒːn,ˈɔ̀ːni,kʰaw˩˩˦,ja,tʰinɛpʰi,iət̪,,,,ˈeʎos,nəˈɾɑŋkʰ,t̪ara,,zɛi̯,,,,,,,di,uˈlɑr,ˈɔ.ɲi,kɯdɯɭ,ʋeː,ˈi.iː,,t̪ɛ,jej,,,,,ɛdʒær,aˈta,ˈeʎs,gāt´,mərekə,xiʱɔt,ˈøːk,ˈi.wó,ka̠ɾe̞ɾa̠,,il,ɐˈnʲi,ˈe.lɨʃ,,ðeɪ,tiɛ,,,,,,,ˈuːmɐ,ˈhe,θeiːr,,,
sleep,soːva,,ˈspac,ndʒiri,spaːt,mi:ɳɖa,khandaɾna,nɔːn˦˥,ʔeɪʔ,ti.dur,,oɾa,,uɾanguga,naː.ma,ˈkɔd̪ˠɪlʲ,,tukud,ˈʃloːfən,,ˈkəsɡɨ̞,ˈoɑ̯ððiːh(t),maḍ,,dʒippaɾa,ˈʃlaːfn̩,dorˈmire,,ŋu˧˩,,,,jɑtˈmɑχ,,,dzili,nidɾapoʋu,xɒːbiˈdæn,ˈspaːti,nɔːn˧,,luri,,i:mangsati,oɾəgədə,,dorˈmiɾ,kʰəˈnɛl,,ciˈmame,ˈslaː.pə(n),,,,xɔːbiˈdæn,oɾəgə,malagu,,,spat͡ɕ,t͡ɕa̠da̠,soː.nɑː,ˈdor.mi.oː,s̪ʋɐ́.pi.t̪i,spʲɤ,dorˈmi,oɾkʰə,undʒaʈam,,andaɾpo ko:ɖa,uʒ,,duɾˈmi,ṭek,tido(r),xʊa,ˈɒlsik,,,,dɔʁ.miʁ,spatʲ,duɾ.ˈmiɾ,,sliːp,,oɾa,ma.ˈtu.loɡ,aɾgu,,,ɡulɛ̂ːt,ˈraːʔɐt,ˈnukːuɑˣ,ˈsɔːva,,xatʃing,uṟaṅku
you,dʉː,,ˈti,tʰkʰvän,tɪ,,,tɕao˥˦,nɪ̀ɴ,,aːp,,,,ʔanta,t̪ˠuː,jəi,,du,tʰʉuː(w),tiː,,,sen,,duː,t̪u,weːná,ʔɓaːn˧˨ʔ,(ʔ)aˈta,tʊ,ˈtɪ,sæn,hin,tʊ,tʰkʰvɛn,,to,ˈtíː,kʰun˧,doː,tʰkʰvä,hu,,,,ˈtu,du,ˈθʊiː,e̞ˈsi,jɛi̯,,u,,t̪u,,,du,,tɨ,ta̠ŋɕʰin,t̪uː,tuː,,ti,tu,,,ty,,sgæ,ti,ˈtu,lok,kamu,,ˈtɛ,ˈi.we,kipau,mɯŋ˧˩,ty,tɨ,tu,,juː,ti,,iˈkaw,,ˈtɑse,dʉː,tu,,ˈsinæ,θu,,,
sea,ɧøː,,ˈmɔrɛ,zuʁä,mor̝ɛ,,,,pɪ̀ɴlɛ̀,,,,taɮai,,baħr,,,,miːə̯,hɛaːv,moːr,,,,,meːɐ̯,ˈmaːre,ûːlwâːnɮe,ʔɓiən˧˩,,ˈjuːrɐ,,dæˈniz,dʲiŋˈɡɪ̞ð,,zʁvä,,dæɾˈjɒː,ˈmóːrjɛ,tʰa˦˥.leː˧,seː,zʁvä,,,,ˈmoːʁ,ˈmaɾ,t͡sɔv,,ˈθalasa,zeː,,,,bæhr,,,hav,,ˈmɔ.ʐɛ,pa̠da̠,,ˈma.re,s̪ɐ.mud̪.ɽɐ́,moˈrɛ,ˈma.re,,,,,dzuʁwä,dɛt,ˈmar,smud̥r,laot,xaɡɔɹ,ˈtɛŋɡɛr,,⟨umi1⟩,haːi˥,mɛʁ,ˈmorʲe,maɾ,,siː,,,,,,hɑːʋ,jūːɾa,ˈbaːħɐr,ˈmeri,haːv,,,
and,ɔ,ʊn,,dɔ,a,,,lɛʔ˦,nɛ̰,dan,,,,,waːw,ˈɑɡəsˠ,ɛn,,an,oː,,ˈja,,ve,,ʊnt,e,nʱa,vaː˨˩,,,ˈi,,hæm,ˈuː,dä,,o,in,lɛʔ˦˥,ɛn,dɔ,,,,,ʝ,ɛv,,ce̞,ɛn,,,i,,,,ˈɒw,,i,wa̠,ɔːɾ,et,t͡ɕɐ,i,ʃi,,,,,i,ðɛ,ˈi,nẏṅ,dan,a.ɹu,ˈeːʃ,,to̞,ɕau˧˥,e,i,ˈɛ,*daŋ,ænd,i,,at,,aw,oː,ùn,,ˈjɑ,ɔːɣ,,,
animal,jʉːr,,ˈʒivɔt͡ʃiːx,häjväni,ˈʒɪvot͡ʃɪx,,,sat˦˥,təɹeɪʔsʰàɴ,,,,,,ħa.ja.waːn,anʲəvʲiː,,,dei̯(e)ʀ,t͡ʃɔuːr,aˈnɪvai̯l,,,hajˈvan,,tiːɐ̯,aniˈmale,isílwaːne,tʰu˧˦ vət̚˧˨ʔ,,ɡʲiːˈʋuːnɐs,tʋɐˈrɪnɐ,,χɑjˈwɑn,,tsχɔvɛli,,dʒɒːnˈvæɾ,ʒiˈʋáːw,sat̚˨˩,,tsχɔvɛli,,,,ˈlo.ɛ̃n,aniˈmal,kɛntʰɑˈni,,ˈzo.o,dir,,,,,,,dyːr,,ˈzvʲɛ.ʐɛ,ˈto̞ːŋmuɭ,pə.ʃuː,ˈa.ni.mal,pɐ́.ɕu,ʒiˈvɔtno,a.niˈmal,,,,,tsχɔwɛl,,ə.niˈmal,st̥v,binataŋ,,ˈaːlːɒt,ˈɲa.ma,do̞ːbɯ̟ᵝt͡sɨᵝ,,a.ni.mal,ʐɨˈvotnəjə,ˌɐ.ni.ˈmaw,*sems.t͡ɕan,ˈænɪməl,ʒiˈvɔtnɔ,,,,,,dzîunìɛks,,ˈe̞læ͡in,tiːr,,,
knee,,knɪ,ˈkɔlɛnɔ,burgili,ˈkolɛno,tongɾa,muka,,dú,,,mu:leka:lə,owtəɡ,muḻaṅkāl,ruk.ba,ɡl̪ˠuːnʲ,,ʋangul,knɜɪ̯,knɛaː,,,tūk,,meɳaka:ləganʈu,kniː,dʒiˈnɔkkjo,íːdoːlo,ʔɗəw˨˩ ɣoj˧˦,,ˈkʲæ̌ːlʲɪs,,,tuˈβɯ̞q,,muχli,mo:ka:lu,zɒːˈnuː,kɔˈlèːnɔ,kʰaw˨˩,,birguli,,muɖsu,muʈʈi,ˈɡliːn,roˈdiʎa,t͡suŋk,ˈɦaʈu,ˈɣɔnatɔ,kni,mendaja,ɡlʲuːnʲ,kaˈlʲena,zɔːnu,mo:ga:l,muṇakālo,,tiz,kɔˈla.nɔ,muɾɯp̚,ɡʱʊʈ.nɑː,ˈɡe.nuː,d͡ʑɑ́ː.n̪u,koˈlʲano,dʒeˈnunkʲ,muʈʈi,mo:ka:l,(d)ʒeˈnul,mu:ka,kʰutʰul,,ʒəˈnoʎ,jṅ̥gṅ´,lutot,atʰu,ˈteːrd,ˈɓó.ⁿdo,çiza̠,,ʒə.nu,kɐˈlʲenə,ʒu.ˈe.ʎu,,niː,,maɳɖi,,mannga:lə,,,tsɛlis,,ˈpolʋi,n̥jɛː,ʃeˈonʎo̝,go:ɖ,muḻaṅkāl
road,vɛːɡ,,ˈt͡sɛsta,gzä,ˈt͡sɛsta,haɾɾi,ɖahaɾe,,láɴ,,səɽək,raste,,ʋaɻi,tˁa.riːq,ˈbˠoːhəɾˠ,pɑt,rasta,,ˈveːvʊɹ,,,pāv,jɔɫ,paɾvata,ˈʃtraːsə,ˈstrada,uḿ̩ɡwaːǃo,ʔɗɨəŋ˨˩,,ˈkælʲɐs,dɔˈrɔɦɐ,,jul,,gzä,ma:ɾgamu,,ˈtsèːsta,tʰa˨˩.non˩˩˦,,ʃärä,,daaɾ,ta:ɾi,hɛ̃nd,kaˈmino,t͡ʃɑnɑˈpɑɾ,ɾast̪a,ˈðromos,baːn,,reːd̪,,,ta:ɾi,mārga,,,ˈdrɔ.ɡa,kiɭ,səɽək,ˈwi.a,,pɤt,,a:laɾ,aɾɾi,,pa:odu,ʃukʼw,ˈruɡə,kə.rəˈte.ɾə,p̥ʰlūv,d͡ʒalan,bat,ˈuːt,mˈse.(w)u,dau,lo˧,ʁut,dɐˈroɡə,iʃ.ˈtɾa.ðɐ,,ɹəʊd,,ba:te,,baʈʈi,wɑʈ,,tsɛʎʃ,triːʔ,,ˈvɛːɣʏr,esˈtɾaða̝,saɖak,vaḻi
head,ˈhʉːˌvɵd,,ɦɫava,dudi,ˈɦlava,talla,kuk,hua˩˨,ɡáʊɴ,kə.pa.la,,tile,tʰɔɮɢɔi,tala,ra.ʔa.sa,caun̪ˠ,,ta:l,,hœtː,pɛn,ˈoɑ̯jːviː,tel,ˈbɑʃ,manɖa,kɔpf,ˈtɛs.ta,îːkʰâːnda,ʔɗəw˨˩,ʁɔʃ,,ɦɔlɔˈu̯ɑ,bɑʃ,ˈbɑʂ,,tʰävi,tala,sæɾ,ˈɡlàːʋa,hua̯˩˩˦,ˈholə,dudi,,tal,manɖe,pɛ̃n,kaˈbeθa,ɡəˈluχ,mat̪ʰa,ce̞ˈfali,ɦoːft,tɾajun,caun,ɣaɫaˈva,sær,manɖə,tale,hoːvəd,,ˈɡwɔ.va,mʌ̹ɾi,sɪɾ,ˈka.put,,ɡləˈva,kap,maʈʈə,talaka:j,kap,kukudu,tʰχwim,kɔkə,ˈkap,k̥pāl,kəpalə,muɹ,ˈfɛj,ˈmu.tú,a̠ta̠ma̠,kʲau˥,tɛt,ɡəlɐˈva,kɐ.ˈβe.sɐ,*mɡo,hɛd,,maɳɖe,,maɳɖi,,,ɡâlva,ˈrɐːs,pæː,hœːvʏθ,ˈtɛsta̝,ka:ʈum,talə
he,hanː,,ɔn,ɛjä,on,,,kʰao˩˨,θù,dia,,,,,hu.wa,ʃeː,,,,,eːv,,,o,,ʔeːɐ̯,ˈlui,jeːná,ʔajŋ̟˧˧ ʔəj˧˦,(h)u,jɪs,ˈʋʲin,ɔ,uɫ,,is,,ʔoː,ˈɔ́n,kʰaw˩˩˦,hɛi̯,tʰinä,ɛ,,,,el,nɑ,ˈʃe,aˈftos,ɦɛi̯,,,jon,ɵ,,,han,u,ɔn,kɯ,ʋəʱ,is,,t̪ɔj,,,,,,ɛdʒi,,ˈeʎ,gāt´,diə,xi,ˈøː,ˈi.jé,ka̠,te˨˦,il,on,ˈe.li,,ˈhiː,tɔj,,niˈja,,haɣə,,viɲʃ,uː,ˈhæn,ˈhanː,ˈel,,
stick,ɕɛp,,,bigä,ɦuːl,,,,doʊʔ,,,,,,ʕa.sˁan,ˈbˠat̪ˠə,,,,,,,,tʃubuk,,ʃtaːp,basˈtone,índuːɠu,ɣəj˧˨ʔ,,lɐzˈdɐ,,,tɑ.ˈjɑq,,dʒɔχi,,t͡ʃoːb,,dun˥˩,,bigä,,,,,,pʰɑjt,,,,,,,tʃɵb,,,kɛp,,kʲij,mak̚d̬ɛːɡi,t͡ʃʰə.ɽiː,ˈba.ku.lum,,ˈprɤtʃkə,,,,,,pʰäu,,,ṭṃpṅ,bataŋ,,ˈbot,,,,bɑ.tɔ̃,ˈpalkə,ˈpaʊ,,stɪk,stap,,,,,çɛp,,,ˈke̞pːi,ˈstaːvʏr,,,
lake,ɧøː,,ˈjazɛrɔ,tʼɔbä,ˈjɛzɛro,,,nɔːŋ˩˨,kàɴ,,,,nʊːr,,bu.ħaj.ra,l̪ˠɔx,,,zɜɪ,vaʰtn,ɬɨ̞n,ˈjaːvːriː,,ɟœl,,zeː,ˈlaɡo,íːǀʰiːɓí,ho˨˩,,ˈæːʒʲɛɾɐs,ˈɔzerɔ,ɡœl,kʏl,,tʼbä,,dæɾjɒːˈtʃʰe,ˈjéːzɛrɔ,saːp̚˨˩,,tʼɔbä,,,,,ˈla.ɡo,lit͡ʃ,,,meːr,,laːx,ˈvozʲera,kɵl,,,søː,køl,jɛˈʑɔ.rɔ,ɸʷo̞sʰu,d͡ʒʱiːl,ˈla.kus,,ˈɛzɛro,,,,,,tʼɔb,liˈcɛn,ˈʎak,pẏṅ,taseʔ,bil,ˈtoː,ˈɲa.ⁿd͡ʒá,mʲizɨᵝɯ̟ᵝmʲi,hu˧˩,lak,ˈozʲɪrə,ˈla.ɣu,*mt͡sʰo,leɪk,,,,,,,æzæɾs,aˁːˈdiːr,ˈjærʋi,vaʰtn,ˈlaɣo̝,,
star,²ɧæːɳa,ˈʃtɛʁən,ˈɦvi̯ɛzda,murutsχi,ˈɦvjɛzda,sukku,bi:nko,daːu˩˨,t͡ɕɛ̀,,,natʃtʃatiɾa,,nakʂatɾam,,ˈɾˠeːl̪ˠt̪ˠə,,puʈ,ʃteːʀ,ˈʃœtna,ˈsɛrɛn,ˈnaːsːtiː,cukka,jɯɫˈdɯ́z,nakʂatɾe,ʃtɛʁn,ˈstel.la,ímbaːsa,saːw˧˧,,ʒʋɐjɡʲʒʲˈdʲeː,,uɫdúz,jʊ̞nˈdʊ̞ð,,värskʼvlävi,nakʂatɾamu,sitɒːɾæ,ˈzʋèːzda,daːw˧,,murutsχi,rˠeːɫ̪,sukka,natʃtʃatɾa,ste.ˈʁe.dɛ̃n,esˈtɾeʎa,ˈɑstəʁ,,,stɛr,huka,,ˈzorka,,nakʂaʈiɾam,nakʂatɾ,stjɛrnə,julˈtuz,ˈɡvʲaz.da,pjɘːɭ,,,,zvɛzˈda,,naʈtʃatiɾam,ukka,,bi:nka,ämtʼqʼwæsg,yɫ,əsˈtɾə.ʎə,tārā,bintaŋ,,ˈt͡ʃilːɒɡ,ɲéˈɲe.zí,posi,ɗaːu˨˦ ɗei˧˥,e.twal,zvʲɪzˈda,ɨʃˈtɾelɐ,,stɑː(ɹ),ˈd͡zvɛzda,nakʂatɾa,,mi:nu,st̪oˈ.raɪ,²stjɛrnə,zvàjɡznɛ,,ˈtæhti,ˈstjartna,es̺ˈtɾelɐ,isʈa:ɾ,mīṉ
other,,,ˈdruɦiː,tʃkʰvä,ˈdruɦiː,,,,ʔət͡ɕʰá,,,,,,,ˈɛlʲə,,,,,ˈaraɬ,,,di(j)eɾ,,ˈʔandəʀə,ˈal.tro,,xaːk̚˧˦,,,ˈinʃɪj,bɑʃˈkɑ,bɑʂˈqɑ,,sχvä,,diːˈɡʲæɾ,ˈdrùːɡi,ʔɯːn˨˩,,ʃχvä,ˈelə,,,ˈalː,ˈotɾo,ɑjl,,,ˈɑn.dər,,,ˈjinʂɨ,,,,andrə,,ˈin.nɨ,ta̠ɾɯn,ənj,ˈal.ter,,druk,alt,,,,,iʃgɛn,,,,,an,ˈmaːʃik,,ho̞ka̠,,otʁ,drʊˈɡoj,ˈo(w).tɾu,,ˈʌðə(ɹ),,,,,bəl,,,,ˈtoi̯nen,,,,
wet,voːt,,ˈmokriː,ʃu,ˈmokriː,,,,sò,,ɡiːlaː,,t͡ɕʰiːɡ,,,fʲlʲʊx,,,naːs,,ɡwlɨːb,,,,,nas,baɲˈɲato,,ʔɨət̚˧˦,,,,,jɪ̞ˈwɪ̞ʃ,,svɛli,,xiːs,ˈmòːkər,pia̯k̚˨˩,,ʃɔliri,flux,,,,moˈxado,tʰɑt͡sʰ,,,nɑt,,,ˈmokrɨ,,,,vɔːd,,ˈmɔ.krɨ,,ɡiːlaː,ˈuː.dus,,,ud,,,,,məʒir,,ˈmɔʎ,,basah,ti.ta,ˈnɛdvɛʃ,,nɯ̟ᵝɾe̞ɾɯ̟ᵝ,,mu.je,ˈmokrɨj,muˈʎaðu,,wɛt,,,,,lund̪,,slapʲʃ,,,ˈvɔːtʏr,,,
good,ɡuːd,ɡʊt,ˈdɔbriː,kʼäi,ˈdobriː,assal,da:ʋ,,káʊɴ,,əˈtːʃʰaː,nallə,sɛ̃ːŋ,nalla,,mˠa,χut,tukud,,ˈkɔuːwʊɹ,daː,,tūk,,eɖɖedana,ɡuːt,ˈbwɔː.no,,tot̚˧˦,,ˈɡʲæɾɐs,ˈdɔbrɪj,jɑχˈʃɯ,jɑqˈʂɯ̞,,kʼärgi,mantʃi,xuːb,ˈdòːbər,diː˧,,dʒgiri,maː,sobhatan,oɭɭajadə,,ˈbweno,lɑv,bʱɑlo,kaˈlos,ɣut,nejun,,ˈdobrɨ,,oludə,oɭɭijadu,ɡoð,jɑχʃi,ˈdɔ.brɨ,ˈt͡ɕo̞ːtʰa̠,ət͡ʃ.t͡ʃʰɑː,ˈbo.nus,s̪ɑː.d̪ʱú,doˈbɤr,bun,ulti,mantʃid,,he:ɖu,χɔtʃä,majɾ,ˈbɔ,l̥ʾ,baeʔ,bʱal,ˈjoː,,joɕi,ɗei˨˦,bɔ̃,xɐˈroʂɨj,bõ,,ɡʊd,,nalla,maˈbu.ti,nall,xə,,,ˈtɐjːɛp,ˈhyʋæ,ˈkouːðʏr,ˈbo,dʒua:n,nalla
what,vɑː(d),vɔs,ˈt͡ʃɔ,mu,t͡so,baʈʈal,je:ndra,ɲaŋ˩˨,bà,,kjaː,entai,,endə,maː.ðaː,kad̪ˠ,vat,enna:ʈ,,kvɛaːʰt,beːθ,,nāto,,entʃina,vas,,,zi˨˩,,,ʃtʃɔ,næ,,,rä,ēmi,tʃʰe,ˈkàːj,ʔa˨˩.raj˧,,mu,tʲeː,em,e:nə,ˈpe.tʁa,ˈke,int͡ʃʰ,,,ʋɑt,ena,,ʂto,,eta:nə,je:nu,vad,nemɛ,t͡sɔ,muʌ̹t̚,kjɑː,kʷid,,kɐkˈvɔ,t͡ʃe,inno,ba:ta,,indiɾdu,mæ,tʃfaɹ(ə),ˈkə,ʾī,apə,ki,ˈmi,t͡ʃiˈjá.ni,na̠ɲ̟i,,kwa,ʂto,u ˌki,*ɡa.re,wɔt,,jentə,aˈno,ajindi,,kʋɑː,,,,xʷaːð,,antə,enne
see,seː,,ˈviɟi̯ɛc,ɔtsʼkʼɔmilu,ˈvɪɟɛt,huɖa,je:ɾna,hen˩˧,twḛ,,d̪ekʰnaː,no:ku,ut͡səx,ka:ɳuka,ra.ʔaː,fʲɛc,,tʃu,ɡeˈzin,ˈsʊt͡ʃːa,ɡwɛld,ˈoɑ̯jːtniːh(t),tūk,ɟœɾmɛc,tuʋa:ɾa,ˈzeː.ən,veˈde.re,ɓoːná,ɲin˨˩ tʰəj˧˦,,mɐˈtʲîːtʲɪ,ˈbɑt͡ʃete,ɡœrˈmæk,,ˈdiːtɯn,χɛdvä,tʃu:ɖu,d̪iːˈd̪æn,ˈʋiːdɛti,hen˩˩˦,,rtsʼqʼɛbä,,ta:na,no:ɖə,,ˈbeɾ,tɛsˈnɛl,ˈd̪ækʰa,ˈvlepo,zin,,,ˈbat͡ʂɨt͡sʲ,diˈdan,no:ʈə,no:ɖu,seː,,ˈvʲi.d͡ʑɛt͡ɕ,po̞da̠,d̪eːkʰ.nɑː,ˈwi.de.oː,pɐ́ɕ.jɐ.t̪i,ˈviʒdəm,veˈde̯a,nu:ʈ,u:ɖa,,ʈunɖpo,lisgdi,,ˈvəw.ɾə,gʰoeñ,lihat,dɛkʰa,ˈlaːt,,mʲiɾɯ̟ᵝ,,vwaʁ,ˈvʲidʲɪtʲ,veɾ,*mtʰoŋ,siː,ˈɡlɛda,no:ʈə,kiˈta,no:ɖ,,ʃoː,ɾɛdzɛ̂ːt,,ˈnæhdæˣ,ˈsjauː,,unning,kāṇ
old,,,ˈstariː,mdʒvɛʃi,ˈstariː,,,kau˧˧,háʊɴ,la.ma,,,,,qa.diːm,ʃanˠ,œu,,,kɛaːmal,heːn,,,,,alt,ˈvɛk.kjo,,ku˦ˀ˥,,ˈsʲæːnɐs,,æsˈki,iθˈkɪ̞,ˈkɛvn,dzvɛli,,ɢæd̪iːˈmiː,ˈstár,kaw˨˩,ɔːt,dʒvɛʃi,ʃɛn,,,,anˈtiɡwo,hin,,,ɑu̯t,,,staˈrɨ,,,,ɡaməl,,ˈsta.rɨ,na̠k̚t͈a̠,pʊ.ɾɑː.nɑː,ˈwe.tus,,star,vekʲ,,,,,dʒwinɛl,,ˈveʎ,cās´,,pu.ɹɔ.na,ˈreːɡi,,,,vjø,ˈstarɨj,ˈvɛ.ʎu,*rȵiŋ.pa,ˈəʊld,,,ˈlu.maʔ,,,²ɡɑːmɑl,,ʔɐˈdiːm,,ˈkaːmatl,,,
