Symbol,LB,LD,LL,DE,AL,PO,RE,PA,VE,UV,PH,GL,PL,SP,VI,TA,CL,OP,NA,LA,VO,AS,EJ,IN
p,12,,,,,,,,,,,,12,,,,,,,,,,,
b,12,,,,,,,,,,,,12,,,,,,,,12,,,
t,,,,,12,,,,,,,,12,,,,,,,,,,,
d,,,,,12,,,,,,,,12,,,,,,,,12,,,
ʈ,,,,,,,12,,,,,,12,,,,,,,,,,,
ɖ,,,,,,,12,,,,,,12,,,,,,,,12,,,
c,,,,,,,,12,,,,,12,,,,,,,,,,,
ɟ,,,,,,,,12,,,,,12,,,,,,,,12,,,
k,,,,,,,,,12,,,,12,,,,,,,,,,,
g,,,,,,,,,12,,,,12,,,,,,,,12,,,
q,,,,,,,,,,12,,,12,,,,,,,,,,,
ɢ,,,,,,,,,,12,,,12,,,,,,,,12,,,
ʡ,,,,,,,,,,,12,,12,,,,,,,,,,,
ʔ,,,,,,,,,,,,12,12,,,,,,,,,,,
m,12,,,,,,,,,,,,,,,,,,12,,12,,,
ɱ,,12,,,,,,,,,,,,,,,,,12,,12,,,
n,,,,,12,,,,,,,,,,,,,,12,,12,,,
ɳ,,,,,,,12,,,,,,,,,,,,12,,12,,,
ɲ,,,,,,,,12,,,,,,,,,,,12,,12,,,
ŋ,,,,,,,,,12,,,,,,,,,,12,,12,,,
ɴ,,,,,,,,,,12,,,,,,,,,12,,12,,,
ʙ,12,,,,,,,,,,,,,,12,,,,,,12,,,
r,,,,,12,,,,,,,,,,12,,,,,,12,,,
ʀ,,,,,,,,,,12,,,,,12,,,,,,12,,,
ʜ,,,,,,,,,,,12,,,,12,,,,,,,,,
ʢ,,,,,,,,,,,12,,,,12,,,,,,12,,,
ⱱ,,12,,,,,,,,,,,,,,12,,,,,12,,,
ɾ,,,,,12,,,,,,,,,,,12,,,,,12,,,
ɽ,,,,,,,12,,,,,,,,,12,,,,,12,,,
ɸ,12,,,,,,,,,,,,,12,,,,,,,,,,
β,12,,,,,,,,,,,,,12,,,,,,,12,,,
f,,12,,,,,,,,,,,,12,,,,,,,,,,
v,,12,,,,,,,,,,,,12,,,,,,,12,,,
θ,,,,12,,,,,,,,,,12,,,,,,,,,,
ð,,,,12,,,,,,,,,,12,,,,,,,12,,,
s,,,,,12,,,,,,,,,12,,,,,,,,,,
z,,,,,12,,,,,,,,,12,,,,,,,12,,,
ʃ,,,,,,12,,,,,,,,12,,,,,,,,,,
