Symbol,LB,LD,LL,DE,AL,PO,RE,PA,VE,UV,PH,GL,PL,SP,VI,TA,CL,OP,NA,LA,VO,AS,EJ,IN
ʒ,,,,,,12,,,,,,,,12,,,,,,,12,,,
ʂ,,,,,,,12,,,,,,,12,,,,,,,,,,
ʐ,,,,,,,12,,,,,,,12,,,,,,,12,,,
ç,,,,,,,,12,,,,,,12,,,,,,,,,,
ʝ,,,,,,,,12,,,,,,12,,,,,,,12,,,
x,,,,,,,,,12,,,,,12,,,,,,,,,,
ɣ,,,,,,,,,12,,,,,12,,,,,,,12,,,
χ,,,,,,,,,,12,,,,12,,,,,,,,,,
ʁ,,,,,,,,,,12,,,,12,,,,,,,12,,,
ħ,,,,,,,,,,,12,,,12,,,,,,,,,,
ʕ,,,,,,,,,,,12,,,9,,,3,,,,12,,,
h,,,,,,,,,,,,12,,9,,,3,,,,,,,
ɦ,,,,,,,,,,,,12,,9,,,3,,,,12,,,
ɬ,,,,,12,,,,,,,,,12,,,,,,12,,,,
ɮ,,,,,12,,,,,,,,,12,,,,,,12,12,,,
ʋ,,12,,,,,,,,,,,,6,,,6,,,,12,,,
ɹ,,,,,12,,,,,,,,,6,,,6,,,,12,,,
ɻ,,,,,,,12,,,,,,,6,,,6,,,,12,,,
j,,,,,,,,12,,,,,,6,,,6,,,,12,,,
ɰ,,,,,,,,,12,,,,,6,,,6,,,,12,,,
l,,,,,12,,,,,,,,,6,,,6,,,12,12,,,
ɭ,,,,,,,12,,,,,,,6,,,6,,,12,12,,,
ʎ,,,,,,,,12,,,,,,6,,,6,,,12,12,,,
ʟ,,,,,,,,,12,,,,,6,,,6,,,12,12,,,
ʘ,12,,,,,,,,,,,,12,,,,,,,,,,6,6
ǀ,,,,12,,,,,,,,,12,,,,,,,,,,6,6
ǃ,,,,,12,,,,,,,,12,,,,,,,,,,6,6
‼,,,,,,,12,,,,,,12,,,,,,,,,,6,6
ǂ,,,,,,,,12,,,,,12,,,,,,,,,,6,6
ʞ,,,,,,,,,12,,,,12,,,,,,,,,,6,6
ǁ,,,,,,,,,,,,,12,,,,,,,12,,,6,6
ɓ,12,,,,,,,,,,,,12,,,,,,,,12,,,12
ɗ,,,,,12,,,,,,,,12,,,,,,,,12,,,12
ᶑ,,,,,,,12,,,,,,12,,,,,,,,12,,,12
ʄ,,,,,,,,12,,,,,12,,,,,,,,12,,,12
ɠ,,,,,,,,,12,,,,12,,,,,,,,12,,,12
ʛ,,,,,,,,,,12,,,12,,,,,,,,12,,,12
ʍ,6,,,,,,,,6,,,,,6,,,6,,,,12,,,
w,6,,,,,,,,6,,,,,6,,,6,,,,12,,,
ɥ,6,,,,,,,6,,,,,,6,,,6,,,,12,,,
ɫ,,,,,6,,,,6,,,,,6,,,6,,,12,12,,,
ɺ,,,,,12,,,,,,,,,,,12,,,,12,12,,,
ɕ,,,,,6,,,6,,,,,,12,,,,,,,,,,
ʑ,,,,,6,,,6,,,,,,12,,,,,,,12,,,
ɧ,,,,,,6,,,6,,,,,12,,,,,,,,,,
i,,,,,,,,12,,,,,,,,,12,,,,12,,,
y,6,,,,,,,6,,,,,,,,,12,,,,12,,,
ɨ,,,,,,,,6,6,,,,,,,,12,,,,12,,,
ʉ,6,,,,,,,3,3,,,,,,,,12,,,,12,,,
ɯ,,,,,,,,,12,,,,,,,,12,,,,12,,,
u,6,,,,,,,,6,,,,,,,,12,,,,12,,,
ɪ,,,,,,,,8,4,,,,,,,,10,2,,,12,,,
ʏ,6,,,,,,,4,2,,,,,,,,10,2,,,12,,,
ʊ,6,,,,,,,2,4,,,,,,,,10,2,,,12,,,
e,,,,,,,,12,,,,,,,,,8,4,,,12,,,
ø,6,,,,,,,6,,,,,,,,,8,4,,,12,,,
ɘ,,,,,,,,6,6,,,,,,,,8,4,,,12,,,
ɵ,6,,,,,,,3,3,,,,,,,,8,4,,,12,,,
ɤ,,,,,,,,,12,,,,,,,,8,4,,,12,,,
o,6,,,,,,,,6,,,,,,,,8,4,,,12,,,
ə,,,,,,,,6,6,,,,,,,,6,6,,,12,,,
ɛ,,,,,,,,12,,,,,,,,,4,8,,,12,,,
œ,6,,,,,,,6,,,,,,,,,4,8,,,12,,,
ɜ,,,,,,,,6,6,,,,,,,,4,8,,,12,,,
ɞ,6,,,,,,,3,3,,,,,,,,4,8,,,12,,,
ʌ,,,,,,,,,12,,,,,,,,4,8,,,12,,,
ɔ,6,,,,,,,,6,,,,,,,,4,8,,,12,,,
æ,,,,,,,,12,,,,,,,,,2,10,,,12,,,
ɐ,,,,,,,,6,6,,,,,,,,2,10,,,12,,,
a,,,,,,,,12,,,,,,,,,,12,,,12,,,
ɶ,6,,,,,,,6,,,,,,,,,,12,,,12,,,
ä,,,,,,,,6,6,,,,,,,,,12,,,12,,,
ɑ,,,,,,,,,12,,,,,,,,,12,,,12,,,
ɒ,6,,,,,,,,6,,,,,,,,,12,,,12,,,
ɚ,,,,,6,,,3,3,,,,,,,,6,6,,,12,,,
ɝ,,,,,6,,,3,3,,,,,,,,4,8,,,12,,,
