,LB,LD,LL,DE,AL,PO,RE,PA,NE,VE,UV,PH,GL,LZ,LH,RZ,PZ,VZ,HZ,GZ,LA,NZ,NA,PL,NF,SF,NS,SS,VI,TA,SV,CL,NC,MC,MI,MO,NO,OP,VO,AS,EJ,IT,IN,X
LB,0,1,2,2,3,4,5,5,4,3,5,6,3,1,2,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
LD,1,0,3,1,2,3,5,5,5,4,5,6,3,2,3,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
LL,2,3,0,2,2,3,5,5,5,5,5,6,3,3,4,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
DE,2,1,2,0,1,3,5,5,5,4,5,6,3,7,6,3,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
AL,3,2,2,1,0,2,4,4,4,3,5,6,3,7,6,2,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
PO,4,3,3,3,2,0,2,2,3,3,5,6,3,7,6,2,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
RE,5,5,5,5,4,2,0,4,4,3,5,6,3,7,6,2,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
PA,5,5,5,5,4,2,4,0,1,2,4,6,2,7,6,7,1,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
NE,4,5,5,5,4,3,4,1,0,1,3,5,2,7,6,7,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
VE,3,4,5,4,3,3,3,2,1,0,2,4,2,7,6,7,7,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
UV,5,5,5,5,5,5,5,4,3,2,0,3,3,7,6,7,7,3,7,7,,,,,,,,,,,,,,,,,,,,,,,,4
PH,6,6,6,6,6,6,6,6,5,4,3,0,3,7,6,7,7,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,4
GL,3,3,3,3,3,3,3,2,2,2,3,3,0,5,4,5,5,5,5,1,,,,,,,,,,,,,,,,,,,,,5,8,,2
LZ,1,2,3,7,7,7,7,7,7,7,7,7,5,0,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,2
LH,2,3,4,6,6,6,6,6,6,6,6,6,4,1,0,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,1
RZ,7,7,7,3,2,2,2,7,7,7,7,7,5,5,4,0,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,2
PZ,7,7,7,7,7,7,7,1,2,7,7,7,5,5,4,5,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,2
VZ,7,7,7,7,7,7,7,7,7,1,3,7,5,5,4,5,5,0,2,5,,,,,,,,,,,,,,,,,,,,,,,,2
HZ,7,7,7,7,7,7,7,7,7,7,7,1,5,5,4,5,5,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,2
GZ,7,7,7,7,7,7,7,7,7,7,7,7,1,5,4,5,5,5,5,0,,,,,,,,,,,,,,,,,,,,,4,7,,2
LA,,,,,,,,,,,,,,,,,,,,,0,11,9,11,11,11,9,9,9,9,8,11,11,10,10,10,11,11,,,,,,5
NZ,,,,,,,,,,,,,,,,,,,,,11,0,2,5,7,7,6,7,6,5,4,6,7,8,9,10,11,12,,,,,,3
NA,,,,,,,,,,,,,,,,,,,,,9,2,0,3,5,5,4,5,4,3,2,4,5,6,7,8,9,10,,,,,,3
PL,,,,,,,,,,,,,,,,,,,,,11,5,3,0,2,2,4,4,5,4,6,8,9,10,11,12,13,14,,,,,,5
NF,,,,,,,,,,,,,,,,,,,,,11,7,5,2,0,1,2,3,4,3,4,6,7,8,9,10,11,12,,,,,,5
SF,,,,,,,,,,,,,,,,,,,,,11,7,5,2,1,0,3,2,5,4,5,7,8,9,10,11,12,13,,,,,,5
NS,,,,,,,,,,,,,,,,,,,,,9,6,4,4,2,3,0,1,2,1,2,4,5,6,7,8,9,10,,,,,,3
SS,,,,,,,,,,,,,,,,,,,,,9,7,5,4,3,2,1,0,3,2,3,5,6,7,8,9,10,11,,,,,,3
VI,,,,,,,,,,,,,,,,,,,,,9,6,4,5,4,5,2,3,0,1,3,5,6,7,8,9,10,11,,,,,,3
TA,,,,,,,,,,,,,,,,,,,,,9,5,3,4,3,4,1,2,1,0,3,5,6,7,8,9,10,11,,,,,,3
SV,,,,,,,,,,,,,,,,,,,,,8,4,2,6,4,5,2,3,3,3,0,2,3,4,5,6,7,8,,,,,,2
CL,,,,,,,,,,,,,,,,,,,,,11,6,4,8,6,7,4,5,5,5,2,0,1,2,3,4,5,6,,,,,,5
NC,,,,,,,,,,,,,,,,,,,,,11,7,5,9,7,8,5,6,6,6,3,1,0,1,2,3,4,5,,,,,,5
MC,,,,,,,,,,,,,,,,,,,,,10,8,6,10,8,9,6,7,7,7,4,2,1,0,1,2,3,4,,,,,,4
MI,,,,,,,,,,,,,,,,,,,,,10,9,7,11,9,10,7,8,8,8,5,3,2,1,0,1,2,3,,,,,,4
MO,,,,,,,,,,,,,,,,,,,,,10,10,8,12,10,11,8,9,9,9,6,4,3,2,1,0,1,2,,,,,,4
NO,,,,,,,,,,,,,,,,,,,,,11,11,9,13,11,12,9,10,10,10,7,5,4,3,2,1,0,1,,,,,,5
OP,,,,,,,,,,,,,,,,,,,,,11,12,10,14,12,13,10,11,11,11,8,6,5,4,3,2,1,0,,,,,,5
VO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,10,7,10,3
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,11,8,11,4
EJ,,,,,,,,,,,,,5,,,,,,,4,,,,,,,,,,,,,,,,,,,10,11,0,3,13,6
IT,,,,,,,,,,,,,8,,,,,,,7,,,,,,,,,,,,,,,,,,,7,8,3,0,10,3
IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,13,10,0,6
X,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,2,2,2,2,5,3,3,5,5,5,3,3,3,3,2,5,5,4,4,4,5,5,3,4,6,3,6,0
